A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,A65,A66,A67,A68,A69,A70,L1,L2,L3,L4
0.52178,-0.23118,-0.55277,-0.29895,0.25039,-0.31615,0.17264,-0.54453,0.48822,-0.43354,1.10115,-0.98566,-0.21393,-0.60974,-0.41352,-0.44997,-0.17272,-0.94197,1.31504,-0.48706,1.58487,-0.25091,0.82931,1.18477,0.31339,-0.08471,0.25906,0.22793,0.57749,0.46650,-0.70382,-0.87731,-0.50378,-0.40791,-0.20867,0.17214,-0.03848,0.45831,-0.38602,0.54754,-0.79104,0.70102,-0.49715,-0.46125,-0.60692,-0.73417,1.29853,0.66159,0.26125,-0.42307,-0.55872,-0.88420,0.41453,0.74313,1.50023,-0.52012,0.48824,-0.78403,-0.06064,0.09141,0.10323,0.51941,-0.65669,2.27847,-0.89188,-0.01331,0.27003,1.28134,-0.39265,-1.34263,0.87200,0.10000,0.00800,0.02000
-0.45077,0.24360,-0.55277,-0.06976,-0.64135,0.42036,-0.61930,-0.54453,-0.65550,0.72272,0.85012,-0.48959,1.46489,-0.14942,0.10208,-0.44997,-0.17272,1.95101,1.95089,0.29070,0.34635,0.19054,1.15916,1.31017,-0.94952,-0.40419,0.12499,-0.69364,-0.24968,-0.74269,-0.11602,0.06199,-1.29717,-0.05131,-0.30317,-0.41635,1.15045,0.09052,0.39643,-0.09202,-0.05716,0.70102,1.09693,-0.24881,1.15619,-0.25029,3.32557,-0.10745,0.69632,-1.02537,0.08496,0.70909,-0.93323,-1.02332,-0.74478,-0.30304,-0.05572,-0.78403,-0.54178,-0.23995,0.10323,-0.26861,-0.28850,0.28629,-0.89188,-0.20971,0.45741,1.79073,-0.22146,-1.34263,0.96600,0.01600,0.00200,0.01600
0.71629,0.00621,-0.55277,-0.18436,-0.83244,0.42036,2.28447,0.18790,-0.19801,0.46577,-0.15402,1.24668,0.62548,2.15213,2.68006,-0.90591,-0.96649,0.98669,1.73894,-0.48706,-0.89217,1.07345,1.15916,-0.50817,-1.04666,0.87373,0.25906,1.14950,1.75917,-0.41291,0.47177,0.06199,-0.10708,0.30530,-0.20867,-0.12211,0.62203,0.45831,0.96548,-1.15795,1.41061,2.17368,0.64148,-0.46125,0.71541,1.68526,-1.23526,1.43062,-0.60889,1.38381,-0.30125,1.16432,-0.03472,1.80300,0.75190,0.13113,0.33282,-0.78403,-0.54178,-0.96894,0.29574,-0.53128,1.18422,-0.56750,2.23505,0.57589,-0.10472,0.77196,0.29209,-1.34263,0.83400,0.03800,0.02400,0.10400
0.23001,-0.70597,-0.55277,-0.18436,-0.83244,0.42036,1.22855,0.73722,1.17446,0.33730,-0.15402,0.99864,0.06588,-0.60974,1.64887,0.46190,-0.96649,1.46885,0.89115,-1.00557,-0.10402,-0.25091,-0.81990,0.80856,-1.14381,0.87373,-0.81353,0.68871,0.57749,3.21465,0.47177,1.94057,0.28962,0.30530,-0.11417,0.46638,1.15045,0.45831,-1.52414,0.54754,-0.79104,1.68279,-0.49715,-0.24881,1.59697,0.95943,0.28501,-0.10745,-0.17382,-0.87479,-0.65527,-0.65659,0.41453,1.09642,0.00356,-0.30304,0.48824,2.39173,-0.06064,-0.17368,-0.28178,-0.53128,-0.65669,-0.56750,-0.50102,1.16508,-0.85421,1.53604,-0.39265,-1.34263,0.96800,0.02400,0.00200,0.00600
-0.06175,-0.94336,-0.55277,-0.18436,-0.38657,0.42036,-0.61930,-0.91075,0.48822,0.72272,0.09701,-0.73763,1.18509,-1.07005,0.61767,0.00596,1.41482,-0.94197,0.25530,-0.74632,0.57153,0.19054,1.32408,0.55775,-0.65808,-0.08471,-0.00909,-0.23286,0.34116,0.24665,1.64736,0.06199,0.68632,-0.05131,-0.20867,-0.41635,1.81097,0.82609,-0.24376,1.61348,-0.79104,1.68279,-0.49715,-0.67368,-0.16614,1.68526,-1.23526,-0.10745,1.56645,-0.42307,-0.75182,1.16432,-0.03472,-0.31674,0.00356,-0.95428,-0.36655,1.20082,-1.02291,0.22395,0.68075,0.25674,-0.65669,0.00169,1.84419,0.57589,-1.22896,0.26257,-0.39265,-1.34263,0.95400,0.04000,0.00200,0.00400
0.42452,-1.18075,-0.55277,-0.29895,-1.02352,0.42036,-0.88328,0.37100,1.86069,0.72272,0.09701,1.49472,1.18509,-0.60974,0.10208,-0.44997,-0.17272,0.02236,0.46725,-0.48706,0.34635,-0.25091,0.82931,1.24747,0.31339,-0.40419,-0.00909,0.22793,-1.07686,0.02680,0.47177,-0.87731,-0.10708,-0.40791,-0.30317,1.05486,1.81097,-0.27726,-0.31489,-0.73158,0.67672,1.68279,-0.49715,-0.46125,-0.16614,-0.73417,0.28501,1.81514,0.69632,-0.42307,-0.23688,-0.20136,-0.03472,0.03655,-0.74478,-0.73720,0.64365,-0.38706,0.42049,1.21803,1.06576,-0.53128,0.07968,0.28629,0.67158,-0.99531,-0.29209,0.26257,-0.22146,-1.34263,0.98400,0.01400,0.00000,0.00200
0.32727,-0.70597,-0.55277,-0.52814,-0.70505,0.78862,0.43662,-1.09385,-0.65550,0.72272,0.85012,1.24668,1.46489,-0.60974,2.16447,-0.90591,-0.17272,-0.94197,-0.80445,-1.26483,0.23375,0.19054,0.99424,1.62368,-0.85237,1.51268,-0.54538,0.68871,-0.36785,0.24665,-0.11602,0.06199,1.08302,1.01850,-0.39767,1.64335,2.73570,1.56166,-0.88395,-0.51839,0.67672,3.15546,-0.95260,-0.24881,1.15619,1.20137,-1.23526,1.04610,0.26125,-1.02537,-0.97710,-0.42897,0.41453,0.03655,-0.74478,0.34821,0.64365,-0.78403,1.38276,0.29023,0.48824,-0.53128,0.07968,-0.28290,1.06245,-0.01331,-0.66684,2.80950,-0.39265,-1.34263,0.98200,0.01400,0.00000,0.00400
-1.03430,-0.94336,-0.55277,-0.06976,-0.51396,-0.31615,0.43662,1.28654,0.03073,0.85119,1.60322,0.25453,2.02450,-1.07005,1.64887,-0.90591,-0.17272,0.50452,-0.80445,-0.48706,1.69746,0.63200,0.49947,2.50150,-0.85237,1.83216,-0.14316,0.22793,-0.24968,0.02680,-0.70382,-0.40766,-0.50378,0.30530,-0.39767,1.93759,2.99990,-0.27726,0.25416,-0.51839,0.67672,1.68279,-1.18033,-0.67368,1.59697,-0.97612,-0.22174,0.66159,-1.47903,-0.57365,-0.52653,-0.20136,0.41453,-1.37662,0.00356,-1.17136,1.10990,-1.18099,-1.02291,0.09141,-0.85929,1.04475,-0.28850,-0.56750,-1.28275,-0.40611,0.08266,3.06420,-0.22146,-1.34263,0.97000,0.02400,0.00000,0.00600
-0.06175,0.48100,-0.55277,-0.18436,-0.51396,0.78862,2.54844,2.20208,1.17446,1.49355,-0.15402,-0.24155,-1.05334,2.15213,0.61767,0.00596,-0.17272,1.46885,0.25530,-1.00557,-0.10402,-0.25091,0.99424,-0.38277,-1.33810,1.83216,0.66128,1.14950,0.93199,2.11539,-0.11602,1.00128,-1.29717,1.01850,-0.39767,-0.41635,0.75414,0.45831,0.89435,0.33436,-0.79104,2.17368,0.86920,-0.24881,1.15619,-0.25029,-0.72850,-0.87648,-0.60889,0.32979,-0.52653,0.70909,-0.48397,-1.72991,0.00356,-0.73720,0.33282,-0.78403,-0.54178,-0.96894,-0.08927,-0.79395,-0.28850,1.14008,-0.11015,-0.79891,0.45741,-0.24682,-0.05028,-1.34263,0.91000,0.01200,0.01400,0.06400
0.32727,-0.70597,-0.55277,0.38861,-0.51396,0.78862,-0.35532,-0.17832,-0.42675,0.59424,0.59908,-0.48959,0.34568,0.31089,0.61767,-0.44997,-0.96649,-0.45980,-1.44030,0.54995,0.12116,0.63200,0.66439,0.68315,-0.94952,-0.40419,1.06351,-0.23286,0.81383,-0.19306,1.05957,0.53163,1.87642,0.66190,-0.49217,1.34911,0.22572,-0.64504,1.67680,-0.09202,-0.79104,0.70102,-0.26943,-0.67368,-0.60692,-0.25029,0.79177,1.04610,2.00152,0.78151,0.21369,-0.20136,-1.38248,-0.31674,-0.74478,-0.30304,1.34302,-0.78403,-1.02291,-0.23995,-0.66678,0.25674,-0.65669,0.00169,-0.11015,-0.20971,-0.66684,-0.24682,0.46328,-1.34263,0.98000,0.02000,0.00000,0.00000
-1.13156,-0.23118,-0.55277,0.15942,-0.76874,-1.05266,0.17264,0.18790,-1.34173,0.97966,0.34805,0.25453,0.06588,1.69182,-0.67132,0.00596,-0.96649,-0.45980,0.89115,-1.00557,0.00857,-0.25091,1.15916,0.80856,-1.04666,-0.72367,-0.00909,-0.23286,-0.48602,0.35657,0.47177,-0.40766,1.87642,1.01850,0.83084,-1.00483,0.35783,-0.64504,1.03662,-0.73158,-0.42410,2.17368,-0.72488,-0.46125,-1.04770,1.92720,0.79177,1.04610,0.26125,-0.57365,-0.33343,1.61954,-0.93323,-0.67003,0.00356,-0.08596,-0.21113,0.00991,-1.02291,-0.23995,0.29574,-0.26861,-0.65669,-0.85210,0.67158,1.16508,0.27003,2.04542,0.80565,-1.34263,0.87600,0.08600,0.00600,0.03200
0.42452,0.71839,-0.55277,-0.52814,0.05930,-0.68440,0.17264,-1.46007,0.71697,0.85119,-0.15402,0.99864,0.34568,-0.60974,0.87547,-0.44997,-0.17272,0.98669,0.04335,-1.00557,0.12116,-0.25091,0.66439,1.24747,-0.36664,-0.08471,0.25906,-0.69364,0.34116,0.13672,1.05957,1.00128,0.28962,-0.40791,0.16934,1.93759,1.28255,-0.64504,0.60982,0.76073,1.04367,2.66457,-0.72488,-0.67368,-0.60692,1.20137,-0.22174,1.04610,0.69632,-0.72422,-0.49435,-0.20136,0.86378,1.44971,0.00356,-0.30304,0.56594,-1.18099,0.42049,0.15768,-0.28178,-0.53128,-0.65669,0.00169,-0.11015,-0.20971,0.64478,-1.26559,-0.73502,-1.34263,0.93600,0.04800,0.00400,0.01200
-0.93705,-0.46858,-0.55277,-0.18436,-0.57765,0.78862,-0.09134,-0.17832,0.25948,1.49355,-0.15402,1.49472,0.06588,-0.14942,1.39107,1.37377,0.62105,0.50452,0.46725,-1.00557,-0.66699,0.63200,-0.32514,0.49505,-0.07520,0.23477,-0.14316,-0.69364,0.81383,0.68635,-0.70382,0.06199,-0.50378,0.30530,0.26384,1.34911,1.94307,-0.64504,-0.10150,-0.30521,-0.42410,1.19191,-0.49715,-0.46125,-0.16614,0.23360,1.29853,1.81514,-0.60889,-0.42307,-1.00929,-0.42897,1.76229,0.03655,0.75190,-1.17136,1.26531,-0.38706,1.38276,0.15768,-0.66678,0.25674,-0.65669,0.00169,-0.50102,0.18309,-0.47946,1.53604,0.63447,-1.34263,0.98200,0.00800,0.00200,0.00800
0.23001,-1.41815,-0.55277,0.04483,-0.76874,-1.05266,-0.09134,1.65276,-0.19801,0.59424,0.59908,-0.73763,2.02450,3.53307,1.13327,0.00596,-0.17272,1.46885,0.46725,-0.74632,0.79672,2.83927,-0.49006,1.12206,-0.85237,0.87373,0.25906,-0.23286,-0.01335,-0.52283,0.47177,0.06199,1.08302,-0.05131,0.54734,0.17214,-0.30269,0.82609,0.25416,0.76073,-0.42410,0.70102,-0.95260,0.38850,1.15619,0.23360,0.28501,0.27707,0.69632,-1.32651,-0.59090,0.93670,-1.38248,-0.67003,0.00356,-0.08596,0.48824,-0.78403,0.42049,0.09141,-0.85929,-0.26861,-0.65669,0.00169,-1.28275,-0.01331,0.27003,0.51726,0.63447,-1.34263,0.95000,0.02600,0.00600,0.01800
0.32727,0.71839,-0.55277,0.38861,-1.15092,0.05211,1.22855,1.10343,-1.11299,2.00744,0.34805,0.50257,-0.49373,0.31089,1.13327,-0.44997,-0.96649,-0.45980,1.73894,-1.00557,-0.21662,-0.25091,0.49947,-0.06926,-0.46379,-0.72367,-0.54538,-0.23286,1.05016,1.01613,3.41075,1.00128,1.08302,1.01850,0.64184,0.17214,0.88624,-0.64504,1.17888,-0.51839,2.51143,-0.28076,0.41375,-0.46125,1.15619,1.68526,0.79177,0.66159,1.56645,0.93209,-0.30125,-0.20136,-0.93323,-0.67003,0.75190,0.13113,0.72136,-0.78403,0.42049,-0.17368,0.68075,1.04475,-1.02487,-0.28290,-0.89188,-0.40611,-0.66684,-0.24682,0.29209,-1.34263,0.93400,0.03000,0.00000,0.03600
-0.54803,-0.94336,-0.55277,-0.41354,-0.70505,-0.31615,0.70059,-0.17832,0.03073,1.75050,0.09701,1.99080,-0.21393,2.61245,1.13327,-0.44997,-0.17272,0.02236,1.95089,-1.00557,0.12116,0.19054,0.16963,1.99988,0.21624,1.51268,-0.27724,0.22793,1.40467,0.79628,-0.70382,-0.87731,-0.50378,1.73170,0.26384,1.05486,1.41466,-1.01283,-0.67055,-0.73158,-1.15798,2.17368,0.18603,-0.67368,1.15619,1.92720,-1.23526,-0.49196,-1.04396,-0.12193,-1.45986,0.25387,0.41453,-1.37662,1.50023,0.13113,0.02199,0.40688,-0.06064,0.42277,-0.85929,1.83277,-0.65669,0.00169,-0.11015,0.37949,-0.10472,0.51726,-0.22146,-1.34263,0.92400,0.05000,0.00400,0.02200
0.23001,-1.18075,-0.55277,-0.64273,-0.13178,0.42036,-0.09134,0.00479,1.63195,1.10813,0.34805,1.24668,1.18509,1.23151,-0.92912,0.00596,-0.17272,0.02236,1.10310,0.03144,0.00857,0.63200,0.16963,2.18799,1.18771,-1.04315,1.19758,0.22793,-0.48602,-0.19306,0.47177,1.47093,-0.90047,-0.40791,-0.87017,-0.71059,0.88624,0.09052,0.32530,-0.94477,-0.42410,1.68279,-0.04170,-0.67368,-1.04770,1.44332,0.79177,0.66159,-1.47903,-0.42307,0.02059,0.93670,-0.03472,-1.02332,-0.74478,-0.30304,0.64365,-1.18099,0.90163,0.75413,0.10323,-0.26861,0.07968,0.57089,-1.28275,0.37949,0.27003,1.02665,0.46328,-1.34263,0.96400,0.02800,0.00400,0.00400
1.49432,-0.70597,-0.55277,0.27401,-1.15092,1.15687,-0.61930,0.55411,-0.42675,0.72272,-0.40506,0.50257,0.34568,0.77120,-0.67132,-0.90591,1.41482,0.50452,-0.38055,-0.22781,0.00857,0.63200,0.00471,0.49505,-1.14381,-1.36263,0.66128,4.37500,0.10482,-0.19306,2.23516,1.00128,-0.90047,0.30530,-0.68117,1.05486,0.62203,-1.01283,1.32114,0.54754,1.04367,-0.28076,0.64148,-0.24881,-0.16614,0.47554,1.80529,1.43062,-0.17382,-1.02537,0.05277,-0.42897,-0.48397,0.38984,-0.74478,0.78237,0.41053,-0.78403,-1.02291,-0.37249,-0.85929,-0.00593,-0.28850,0.28629,-1.28275,3.32547,0.27003,-0.50151,2.85988,-1.34263,0.95000,0.03800,0.00800,0.00400
0.61903,-1.41815,0.69022,0.04483,-0.13178,-0.31615,-1.14725,0.55411,1.86069,0.85119,0.09701,-1.72978,0.90528,-0.60974,-1.18692,-0.90591,1.41482,0.02236,0.25530,0.03144,0.23375,-0.25091,-0.98482,2.06259,-0.65808,-0.40419,1.59981,1.61028,-0.60419,1.45583,1.64736,0.06199,-0.10708,-0.40791,-0.96467,-0.12211,0.22572,-1.38061,1.03662,0.97392,2.51143,1.19191,-0.72488,-0.67368,0.71541,0.47554,0.79177,1.04610,0.26125,-0.42307,0.59989,-0.42897,-0.48397,-0.67003,-0.74478,0.34821,-0.28884,-0.38706,0.90163,0.82040,0.10323,-0.26861,0.44786,0.85548,-0.50102,-0.60251,0.64478,-0.24682,-0.90621,-1.34263,0.88600,0.10400,0.00200,0.00800
1.49432,-1.41815,0.69022,-0.29895,-0.32287,-0.31615,-0.88328,-0.17832,0.94571,-0.30507,0.34805,0.50257,0.62548,-1.07005,-0.67132,-0.44997,-0.17272,1.95101,-1.01640,0.29070,0.79672,-0.69236,0.16963,2.25069,-1.43525,0.23477,2.00203,0.22793,-0.84052,1.67568,2.82296,-0.87731,-0.10708,0.66190,-0.96467,-1.29907,0.88624,0.09052,0.39643,0.76073,0.67672,-0.28076,-0.72488,-0.67368,0.27464,1.20137,1.80529,-0.10745,1.13139,-1.17594,0.95391,-0.88420,-0.93323,-0.31674,-0.74478,-0.52012,0.25511,-0.38706,-1.02291,0.55531,-0.08927,0.51941,-1.39305,0.57089,-1.28275,-0.99531,2.14378,-0.24682,-0.90621,-1.34263,0.90400,0.09400,0.00000,0.00200
1.29982,-0.94336,-0.55277,0.27401,-0.70505,1.15687,-0.35532,1.10343,-0.19801,0.72272,1.10115,0.50257,0.90528,-0.14942,-0.67132,-0.90591,0.62105,0.02236,0.04335,-0.74632,0.23375,0.19054,0.66439,1.31017,0.02195,-1.04315,0.66128,-0.23286,0.10482,0.46650,2.23516,1.47093,-0.10708,-1.12111,-0.49217,-1.59332,0.09362,0.09052,0.96548,-0.73158,-0.79104,1.19191,-0.26943,-0.67368,1.59697,-0.00834,-0.22174,0.27707,-0.17382,-0.57365,0.34242,-1.11181,-0.48397,-0.67003,-0.74478,0.34821,0.17741,-0.38706,-0.06064,0.29023,-1.05179,-1.05662,0.44786,0.57089,-0.11015,-0.40611,0.08266,1.28134,-0.05028,-1.34263,0.94800,0.04600,0.00200,0.00400
0.91080,-0.23118,-0.55277,-0.29895,-0.51396,1.52513,-0.61930,0.55411,0.25948,-0.43354,1.60322,-0.98566,1.18509,-1.07005,-0.67132,-0.90591,1.41482,0.50452,1.10310,-0.22781,0.79672,-0.69236,0.00471,1.43557,0.21624,0.23477,1.06351,0.22793,-0.60419,2.00546,0.47177,-0.40766,-0.90047,0.30530,-0.49217,0.76062,0.75414,0.45831,0.25416,-1.58433,0.30978,0.70102,-0.26943,-0.46125,-0.16614,-0.00834,0.28501,1.04610,-0.60889,-1.02537,0.14932,-0.65659,1.31303,-0.31674,-0.74478,-0.08596,0.33282,-1.18099,-0.54178,0.68786,0.48824,-0.53128,-0.28850,1.42468,-1.28275,-0.79891,1.01953,0.26257,-0.73502,-1.34263,0.92800,0.05600,0.00400,0.01200
-0.06175,2.61753,-0.55277,0.27401,-0.00439,-0.31615,-1.14725,0.18790,-0.19801,0.97966,1.10115,-1.72978,2.02450,-1.07005,-0.92912,-0.90591,-0.17272,0.50452,-1.01640,1.06846,0.90931,-0.25091,-0.32514,0.68315,-0.56093,-1.04315,0.25906,0.68871,-1.19503,-0.41291,2.23516,-0.40766,0.68632,0.30530,-0.87017,-0.41635,-0.43480,-1.01283,2.24586,-0.30521,-1.15798,-0.28076,0.18603,-0.46125,0.27464,-0.25029,1.80529,0.27707,0.69632,0.32979,1.14701,0.48148,-1.38248,-0.67003,-0.74478,-0.52012,-0.36655,-0.38706,-0.54178,0.82040,1.25826,0.78208,1.18422,2.56306,-0.89188,-0.99531,0.27003,-0.24682,-0.73502,-1.34263,0.84000,0.15600,0.00400,0.00000
