A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,L1,L2,L3,L4,L5
-0.97758,-0.76449,-0.99093,-0.97544,-0.53376,0.27719,-0.99962,-0.98916,-0.98140,-0.94270,1.00000,0.00000,0.00000,0.00000,0.00000
-0.98007,-0.67754,-0.98885,-0.96278,-0.56118,0.54371,-0.99952,-0.98728,-0.97268,-0.94021,1.00000,0.00000,0.00000,0.00000,0.00000
-0.98007,-0.92391,-0.99735,-0.99092,-0.50211,0.61194,-0.99940,-0.99661,-0.99328,-0.98630,1.00000,0.00000,0.00000,0.00000,0.00000
-0.98007,-0.67029,-0.98860,-0.96195,-0.50633,0.75480,-0.99962,-0.98570,-0.96852,-0.92401,1.00000,0.00000,0.00000,0.00000,0.00000
-0.98007,-0.96014,-0.99860,-0.99506,-0.17300,0.95949,-0.99971,-0.99715,-0.99571,-0.98318,1.00000,0.00000,0.00000,0.00000,0.00000
-0.98007,-0.81884,-0.99372,-0.97892,-0.48523,0.54371,-0.99946,-0.99182,-0.98465,-0.96450,1.00000,0.00000,0.00000,0.00000,0.00000
-0.98007,-0.71377,-0.99010,-0.96692,-0.40717,0.73987,-0.99959,-0.98552,-0.97290,-0.92650,1.00000,0.00000,0.00000,0.00000,0.00000
-0.98257,-0.65942,-0.98954,-0.95580,-0.47046,0.86567,-0.99969,-0.98613,-0.96943,-0.91965,1.00000,0.00000,0.00000,0.00000,0.00000
-0.97758,-0.81159,-0.99274,-0.98029,-0.48945,0.61407,-0.99968,-0.99061,-0.98149,-0.94643,1.00000,0.00000,0.00000,0.00000,0.00000
-0.98007,-0.67029,-0.98860,-0.96195,-0.49367,0.66525,-0.99958,-0.98540,-0.97004,-0.92713,1.00000,0.00000,0.00000,0.00000,0.00000
-0.97509,-0.69565,-0.98711,-0.97125,-0.56751,0.77399,-0.99973,-0.98552,-0.96405,-0.91093,1.00000,0.00000,0.00000,0.00000,0.00000
-0.98007,-0.70290,-0.98972,-0.96568,-0.51055,0.67804,-0.99963,-0.98722,-0.97281,-0.93149,1.00000,0.00000,0.00000,0.00000,0.00000
-0.98007,-0.77174,-0.99210,-0.97354,-0.47890,0.93603,-0.99967,-0.98964,-0.97607,-0.94145,1.00000,0.00000,0.00000,0.00000,0.00000
-0.97509,-0.63406,-0.98451,-0.96549,-0.63924,0.50533,-0.99979,-0.98492,-0.96293,-0.89910,1.00000,0.00000,0.00000,0.00000,0.00000
-0.97260,-0.80072,-0.99076,-0.98264,-0.56962,0.63113,-0.99959,-0.98964,-0.97620,-0.94768,1.00000,0.00000,0.00000,0.00000,0.00000
-0.98007,-0.69928,-0.98960,-0.96527,-0.64135,0.86567,-0.99967,-0.98988,-0.96960,-0.94270,1.00000,0.00000,0.00000,0.00000,0.00000
-0.98007,-0.80797,-0.99335,-0.97768,-0.49367,0.90832,-0.99981,-0.99146,-0.98014,-0.94083,1.00000,0.00000,0.00000,0.00000,0.00000
-0.98007,-0.85507,-0.99497,-0.98306,-0.48101,0.52026,-0.99964,-0.99340,-0.98790,-0.96450,1.00000,0.00000,0.00000,0.00000,0.00000
-0.97758,-0.70290,-0.98857,-0.96911,-0.54852,0.63113,-0.99956,-0.98667,-0.97056,-0.93522,1.00000,0.00000,0.00000,0.00000,0.00000
-0.97758,-0.98913,-0.99954,-0.99854,-0.31857,-0.27932,-0.99435,-0.99915,-0.99961,-1.00000,0.90600,0.00600,0.00000,0.03000,0.05800
-0.97260,-0.96377,-0.99826,-0.99661,-0.32700,1.00000,-0.99975,-0.99709,-0.99458,-0.98194,1.00000,0.00000,0.00000,0.00000,0.00000
-0.97260,-0.84420,-0.99276,-0.98637,-0.55907,0.50320,-0.99944,-0.99170,-0.98274,-0.96450,1.00000,0.00000,0.00000,0.00000,0.00000
-0.97758,-0.88043,-0.99537,-0.98736,-0.48312,0.75480,-0.99971,-0.99394,-0.98725,-0.96387,1.00000,0.00000,0.00000,0.00000,0.00000
-0.98007,-0.72826,-0.99060,-0.96858,-0.46203,0.74840,-0.99966,-0.98734,-0.97416,-0.92962,1.00000,0.00000,0.00000,0.00000,0.00000
-0.97260,-0.95290,-0.99776,-0.99568,-0.35654,0.91045,-0.99947,-0.99643,-0.99332,-0.98443,1.00000,0.00000,0.00000,0.00000,0.00000
-0.97260,-0.97826,-0.99893,-0.99785,-0.65823,0.11087,-0.99895,-0.99897,-0.99818,-0.99751,0.93000,0.00400,0.00000,0.00000,0.06600
-0.97260,-0.84420,-0.99276,-0.98637,-0.48945,0.44989,-0.99947,-0.99067,-0.98331,-0.95889,1.00000,0.00000,0.00000,0.00000,0.00000
-0.97758,-0.77536,-0.99135,-0.97656,-0.61814,0.37100,-0.99972,-0.99116,-0.98105,-0.94643,1.00000,0.00000,0.00000,0.00000,0.00000
-0.98007,-0.88768,-0.99610,-0.98678,-0.53797,0.13433,-0.99950,-0.99534,-0.99289,-0.97882,1.00000,0.00000,0.00000,0.00000,0.00000
-0.99502,-0.58333,-0.99526,-0.85601,-0.29747,-0.07889,-0.98688,-0.99194,-0.99285,-0.99813,0.01600,0.98400,0.00000,0.00000,0.00000
-1.00000,-0.96739,-0.99996,-0.96278,1.00000,1.00000,-0.99637,-0.99945,-0.99987,-1.00000,0.01413,0.98587,0.00000,0.00000,0.00000
-1.00000,-0.95652,-0.99992,-0.95161,1.00000,1.00000,-0.99516,-0.99927,-0.99974,-1.00000,0.00600,0.99400,0.00000,0.00000,0.00000
-1.00000,-0.97464,-0.99999,-0.97023,1.00000,1.00000,-0.99717,-0.99958,-0.99996,-1.00000,0.00000,1.00000,0.00000,0.00000,0.00000
-1.00000,-0.84420,-0.99949,-0.83615,-0.58228,1.00000,-0.99952,-0.99939,-0.99840,-0.99751,0.03800,0.96000,0.00000,0.00000,0.00200
-0.99751,-0.93116,-0.99954,-0.96278,0.41983,0.73348,-0.98870,-0.99830,-0.99879,-1.00000,0.00467,0.99400,0.00000,0.00133,0.00000
-0.99751,-0.93116,-0.99954,-0.96278,0.52532,0.68017,-0.98789,-0.99818,-0.99883,-1.00000,0.00167,0.99700,0.00000,0.00133,0.00000
-0.97011,-0.96739,-0.99829,-0.99716,-0.47679,0.59062,-0.99778,-0.99770,-0.99575,-0.99689,0.97200,0.00600,0.00000,0.00000,0.02200
-0.97509,-0.69203,-0.98696,-0.97091,-0.23840,0.68657,-0.99915,-0.97638,-0.96531,-0.92214,1.00000,0.00000,0.00000,0.00000,0.00000
-0.97509,-0.93116,-0.99704,-0.99326,-0.75527,0.46695,-0.99905,-0.99782,-0.99315,-0.99377,0.99800,0.00000,0.00000,0.00000,0.00200
-0.98007,-0.98551,-0.99947,-0.99796,-0.31224,0.85714,-0.99926,-0.99903,-0.99848,-0.99689,0.99000,0.00000,0.00000,0.00000,0.01000
-0.98257,-0.99275,-0.99976,-0.99863,-0.22996,-0.24307,-0.99637,-0.99945,-0.99987,-1.00000,0.92383,0.01000,0.00000,0.02217,0.04400
-0.99502,-0.59420,-0.99539,-0.85974,-0.35654,-0.32623,-0.98819,-0.99273,-0.99475,-0.99813,0.00200,0.99800,0.00000,0.00000,0.00000
-0.75841,-0.99275,-0.99601,-0.99991,-0.09705,-0.09595,-0.94348,-0.99152,-0.99410,-1.00000,0.05000,0.00067,0.01600,0.91533,0.01800
-0.99751,-0.82971,-0.99876,-0.91064,0.20886,0.31130,-0.98829,-0.99643,-0.99749,-0.99938,0.00800,0.99200,0.00000,0.00000,0.00000
-0.97509,-0.76812,-0.99017,-0.97802,-0.28692,0.73774,-0.99935,-0.98316,-0.97312,-0.93398,1.00000,0.00000,0.00000,0.00000,0.00000
-0.98007,-0.86957,-0.99547,-0.98471,0.00000,0.78252,-0.99912,-0.98946,-0.98734,-0.96637,1.00000,0.00000,0.00000,0.00000,0.00000
-0.98007,-0.92754,-0.99747,-0.99134,-0.49578,0.49254,-0.99977,-0.99673,-0.99406,-0.97882,1.00000,0.00000,0.00000,0.00000,0.00000
-0.98257,-0.97464,-0.99921,-0.99630,-0.61603,-0.43284,-0.99839,-0.99915,-0.99939,-0.99875,0.90800,0.02000,0.00000,0.00000,0.07200
-0.97758,-0.64130,-0.98621,-0.96278,-0.18987,0.80810,-0.99938,-0.97365,-0.96085,-0.89349,1.00000,0.00000,0.00000,0.00000,0.00000
-0.98007,-0.88768,-0.99610,-0.98678,-0.47257,0.53305,-0.99957,-0.99479,-0.99055,-0.97446,1.00000,0.00000,0.00000,0.00000,0.00000
-0.97509,-0.63768,-0.98467,-0.96583,-0.27004,0.76119,-0.99929,-0.97329,-0.95751,-0.90097,1.00000,0.00000,0.00000,0.00000,0.00000
-0.97509,-0.57246,-0.98191,-0.95974,-0.55907,0.56930,-0.99964,-0.97940,-0.95499,-0.88789,1.00000,0.00000,0.00000,0.00000,0.00000
-0.97758,-0.54710,-0.98260,-0.95310,-0.21308,0.70576,-0.99932,-0.96759,-0.95322,-0.87605,1.00000,0.00000,0.00000,0.00000,0.00000
-0.98007,-0.95652,-0.99847,-0.99465,-0.60549,-0.14712,-0.99852,-0.99836,-0.99796,-0.99689,0.93600,0.00600,0.00000,0.00200,0.05600
-0.98007,-0.73188,-0.99072,-0.96899,-0.56962,0.15991,-0.99952,-0.98958,-0.98257,-0.95142,1.00000,0.00000,0.00000,0.00000,0.00000
-0.97509,-0.57246,-0.98191,-0.95974,-0.61181,0.46055,-0.99970,-0.98134,-0.95790,-0.89038,1.00000,0.00000,0.00000,0.00000,0.00000
-0.97758,-0.84420,-0.99399,-0.98364,-0.28059,0.68443,-0.99913,-0.98958,-0.98404,-0.96637,1.00000,0.00000,0.00000,0.00000,0.00000
-0.98007,-0.85870,-0.99510,-0.98347,-0.35865,0.92964,-0.99948,-0.99231,-0.98521,-0.96574,1.00000,0.00000,0.00000,0.00000,0.00000
-0.98257,-0.82971,-0.99476,-0.97768,-0.47257,0.81663,-0.99969,-0.99303,-0.98508,-0.95951,1.00000,0.00000,0.00000,0.00000,0.00000
-0.98007,-0.84420,-0.99460,-0.98182,-0.13924,0.86567,-0.99926,-0.98904,-0.98422,-0.96076,1.00000,0.00000,0.00000,0.00000,0.00000
-0.98007,-0.83333,-0.99422,-0.98058,-0.53165,0.46055,-0.99943,-0.99303,-0.98660,-0.97073,1.00000,0.00000,0.00000,0.00000,0.00000
-0.98007,-0.85870,-0.99510,-0.98347,-0.43671,0.82729,-0.99945,-0.99309,-0.98595,-0.97010,1.00000,0.00000,0.00000,0.00000,0.00000
-0.99751,-0.93841,-0.99960,-0.96651,0.41350,0.40725,-0.98991,-0.99849,-0.99918,-1.00000,0.02060,0.97400,0.00000,0.00540,0.00000
-1.00000,-0.94203,-0.99986,-0.93671,0.50422,1.00000,-0.99909,-0.99927,-0.99957,-0.99813,0.01000,0.99000,0.00000,0.00000,0.00000
-1.00000,-0.97464,-0.99999,-0.97023,1.00000,1.00000,-0.99717,-0.99958,-0.99996,-1.00000,0.00000,1.00000,0.00000,0.00000,0.00000
-0.99751,-0.75362,-0.99818,-0.87153,0.20464,0.79957,-0.99606,-0.99485,-0.99488,-0.99564,0.01800,0.98200,0.00000,0.00000,0.00000
-0.99751,-0.83696,-0.99882,-0.91436,0.12869,0.49041,-0.99314,-0.99679,-0.99727,-0.99875,0.00800,0.99200,0.00000,0.00000,0.00000
-0.97509,-0.72464,-0.98833,-0.97395,-0.38186,0.73134,-0.99942,-0.98237,-0.96822,-0.92588,1.00000,0.00000,0.00000,0.00000,0.00000
-0.98007,-0.85507,-0.99497,-0.98306,-0.47468,0.75693,-0.99963,-0.99334,-0.98612,-0.96450,1.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,-0.79710,-0.99931,-0.78773,-0.14768,1.00000,-0.99891,-0.99849,-0.99783,-0.99626,0.02800,0.97200,0.00000,0.00000,0.00000
-1.00000,-0.96739,-0.99996,-0.96278,0.78903,1.00000,-0.99677,-0.99952,-0.99987,-1.00000,0.06857,0.93143,0.00000,0.00000,0.00000
-0.96762,-0.33333,-0.96412,-0.95081,-0.57384,0.25586,-0.99949,-0.96026,-0.92716,-0.82062,1.00000,0.00000,0.00000,0.00000,0.00000
-0.97758,-0.45290,-0.97898,-0.94341,-0.48312,0.52665,-0.99953,-0.97268,-0.94905,-0.87107,1.00000,0.00000,0.00000,0.00000,0.00000
-0.99751,-0.58333,-0.99687,-0.78401,0.18987,0.57783,-0.99319,-0.99140,-0.99224,-0.99564,0.00400,0.99200,0.00000,0.00000,0.00400
-0.98007,-0.55797,-0.98472,-0.94912,-0.34599,0.97015,-0.99935,-0.97577,-0.95300,-0.90533,1.00000,0.00000,0.00000,0.00000,0.00000
-0.99751,-0.94203,-0.99962,-0.96837,0.13080,0.93817,-0.99771,-0.99885,-0.99887,-0.99875,0.13500,0.86500,0.00000,0.00000,0.00000
-1.00000,-0.96014,-0.99993,-0.95533,0.12025,1.00000,-0.99899,-0.99964,-0.99978,-0.99938,0.94403,0.05597,0.00000,0.00000,0.00000
-0.98755,-0.90580,-0.99785,-0.98327,-0.78481,-0.10661,-0.99928,-0.99855,-0.99692,-0.99502,0.95200,0.00200,0.00000,0.00800,0.03800
-0.98506,-0.94928,-0.99864,-0.99204,-0.42616,0.49254,-0.99916,-0.99800,-0.99683,-0.99377,1.00000,0.00000,0.00000,0.00000,0.00000
-0.98506,-0.79348,-0.99446,-0.96917,-0.68354,0.46908,-0.99946,-0.99509,-0.98708,-0.97882,1.00000,0.00000,0.00000,0.00000,0.00000
-0.98506,-0.83696,-0.99562,-0.97555,-0.78270,0.11940,-0.99872,-0.99703,-0.99211,-0.99315,0.97400,0.00200,0.00000,0.00000,0.02400
-1.00000,-0.90580,-0.99972,-0.89947,0.14135,1.00000,-0.99879,-0.99909,-0.99913,-0.99813,0.63800,0.36200,0.00000,0.00000,0.00000
-0.98506,-0.94203,-0.99844,-0.99098,-0.63080,0.10448,-0.99931,-0.99843,-0.99731,-0.99439,0.99800,0.00000,0.00000,0.00000,0.00200
-0.99751,-0.89130,-0.99924,-0.94230,-0.70042,-0.03198,-0.99960,-0.99933,-0.99892,-0.99689,0.87800,0.12000,0.00000,0.00000,0.00200
-1.00000,-0.96014,-0.99993,-0.95533,0.12025,1.00000,-0.99899,-0.99964,-0.99978,-0.99938,0.94403,0.05597,0.00000,0.00000,0.00000
-0.99751,-0.94203,-0.99962,-0.96837,-0.42616,1.00000,-0.99929,-0.99939,-0.99883,-0.99813,0.74300,0.25300,0.00000,0.00000,0.00400
-0.99751,-0.96377,-0.99979,-0.97954,-0.24684,0.90405,-0.99677,-0.99952,-0.99939,-1.00000,0.73817,0.25783,0.00000,0.00000,0.00400
-0.99751,-0.93478,-0.99957,-0.96464,-0.60970,1.00000,-0.99968,-0.99952,-0.99866,-0.99751,0.82800,0.17000,0.00000,0.00000,0.00200
-0.98506,-0.61594,-0.98969,-0.94309,-0.54008,0.26226,-0.99976,-0.98782,-0.97906,-0.92214,1.00000,0.00000,0.00000,0.00000,0.00000
-0.99004,-0.97101,-0.99947,-0.99332,-0.54641,0.52665,-0.99971,-0.99933,-0.99879,-0.99626,1.00000,0.00000,0.00000,0.00000,0.00000
-0.97509,-0.97101,-0.99872,-0.99698,-0.08650,0.41791,-0.99798,-0.99715,-0.99718,-0.99564,1.00000,0.00000,0.00000,0.00000,0.00000
-0.97509,-0.97464,-0.99887,-0.99732,0.37764,1.00000,-0.99727,-0.99630,-0.99649,-0.99564,1.00000,0.00000,0.00000,0.00000,0.00000
-0.97509,-0.97464,-0.99887,-0.99732,-0.17511,-0.13859,-0.98466,-0.99770,-0.99853,-1.00000,0.99600,0.00200,0.00000,0.00000,0.00200
-0.97509,-0.97826,-0.99903,-0.99766,0.14979,1.00000,-0.99808,-0.99727,-0.99696,-0.99564,0.99800,0.00000,0.00000,0.00000,0.00200
-0.97509,-0.97826,-0.99903,-0.99766,-0.12236,1.00000,-0.99895,-0.99788,-0.99696,-0.99439,1.00000,0.00000,0.00000,0.00000,0.00000
-0.97509,-0.97101,-0.99872,-0.99698,-0.10759,0.22388,-0.99408,-0.99721,-0.99757,-0.99875,0.99600,0.00000,0.00000,0.00200,0.00200
-0.97509,-0.97464,-0.99887,-0.99732,-0.03165,0.68443,-0.99677,-0.99733,-0.99705,-0.99751,1.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,-0.84783,-0.99950,-0.83988,0.80380,1.00000,-0.99647,-0.99770,-0.99844,-0.99813,0.02800,0.97200,0.00000,0.00000,0.00000
-0.97758,-0.64855,-0.98648,-0.96353,-0.28481,0.64819,-0.99943,-0.97686,-0.96484,-0.90159,1.00000,0.00000,0.00000,0.00000,0.00000
-0.97758,-0.82609,-0.99329,-0.98178,-0.01266,0.91684,-0.99920,-0.98461,-0.97988,-0.94706,1.00000,0.00000,0.00000,0.00000,0.00000
-0.97758,-0.92754,-0.99718,-0.99220,-0.41561,0.66525,-0.99937,-0.99588,-0.99263,-0.98381,1.00000,0.00000,0.00000,0.00000,0.00000
-0.98007,-0.93478,-0.99772,-0.99216,-0.49367,0.48827,-0.99934,-0.99703,-0.99467,-0.98879,1.00000,0.00000,0.00000,0.00000,0.00000
-0.98007,-0.80435,-0.99322,-0.97727,-0.47890,1.00000,-0.99963,-0.99110,-0.97884,-0.95266,1.00000,0.00000,0.00000,0.00000,0.00000
-0.98007,-0.95290,-0.99835,-0.99423,-0.84177,0.86567,-0.99969,-0.99909,-0.99519,-0.99502,0.94400,0.00400,0.00000,0.00000,0.05200
-0.98257,-0.92029,-0.99754,-0.98932,-0.50211,1.00000,-0.99981,-0.99685,-0.99233,-0.97820,1.00000,0.00000,0.00000,0.00000,0.00000
-0.98257,-0.87681,-0.99621,-0.98373,-0.31013,0.75693,-0.99973,-0.99364,-0.98955,-0.96076,1.00000,0.00000,0.00000,0.00000,0.00000
-0.98007,-0.65580,-0.98810,-0.96030,-0.51688,0.60554,-0.99961,-0.98534,-0.96978,-0.92339,1.00000,0.00000,0.00000,0.00000,0.00000
-0.98007,-0.76449,-0.99185,-0.97271,-0.42827,0.58422,-0.99960,-0.98843,-0.97958,-0.94083,1.00000,0.00000,0.00000,0.00000,0.00000
-0.98007,-0.88043,-0.99585,-0.98596,-0.39873,0.60981,-0.99967,-0.99382,-0.98946,-0.96512,1.00000,0.00000,0.00000,0.00000,0.00000
-0.98257,-0.70290,-0.99087,-0.96138,-0.42405,0.80384,-0.99969,-0.98698,-0.97416,-0.92401,1.00000,0.00000,0.00000,0.00000,0.00000
-0.98257,-0.71377,-0.99121,-0.96278,-0.47046,0.83369,-0.99971,-0.98831,-0.97472,-0.93024,1.00000,0.00000,0.00000,0.00000,0.00000
-0.98007,-0.65942,-0.98822,-0.96071,-0.50844,0.40938,-0.99956,-0.98528,-0.97351,-0.92837,1.00000,0.00000,0.00000,0.00000,0.00000
-0.98257,-0.71377,-0.99121,-0.96278,-0.48101,0.75053,-0.99971,-0.98849,-0.97581,-0.93149,1.00000,0.00000,0.00000,0.00000,0.00000
-0.97758,-0.95652,-0.99829,-0.99518,-0.88186,0.32836,-0.99946,-0.99921,-0.99644,-0.99689,0.81800,0.05600,0.00000,0.00000,0.12600
-0.98257,-0.75000,-0.99232,-0.96744,-0.39030,0.82516,-0.99973,-0.98849,-0.97802,-0.92899,1.00000,0.00000,0.00000,0.00000,0.00000
-0.97509,-0.69928,-0.98726,-0.97159,-0.55696,0.61620,-0.99972,-0.98540,-0.96744,-0.91155,1.00000,0.00000,0.00000,0.00000,0.00000
-0.98007,-0.64493,-0.98772,-0.95906,-0.54008,0.61194,-0.99962,-0.98546,-0.96869,-0.92277,1.00000,0.00000,0.00000,0.00000,0.00000
-0.98007,-0.71377,-0.99010,-0.96692,-0.49156,0.71855,-0.99966,-0.98728,-0.97320,-0.92962,1.00000,0.00000,0.00000,0.00000,0.00000
-0.97509,-0.63768,-0.98467,-0.96583,-0.60549,0.61194,-0.99975,-0.98401,-0.96089,-0.89785,1.00000,0.00000,0.00000,0.00000,0.00000
-0.97260,-0.90942,-0.99576,-0.99196,-0.64346,1.00000,-0.99976,-0.99588,-0.98678,-0.97384,1.00000,0.00000,0.00000,0.00000,0.00000
-0.97260,-0.85870,-0.99343,-0.98761,-0.53797,0.43070,-0.99961,-0.99219,-0.98504,-0.95951,1.00000,0.00000,0.00000,0.00000,0.00000
