A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,L1,L2,L3,L4,L5,L6,L7
1.12514,-0.14643,-0.35697,-0.19451,-0.31064,-0.11996,-0.62549,-0.13960,-0.93852,-0.92408,-0.94880,-0.92981,0.89416,-0.83839,0.52385,-0.98432,0.00685,-0.45468,0.00000,0.00000,0.03000,0.00000,0.97000,0.00000,0.00000
-1.62993,-1.25979,-0.35697,-0.19451,-0.08421,-0.08271,-0.22537,-0.10434,-0.45732,-0.40082,-0.42551,-0.54482,0.88457,-0.16282,-0.61115,-0.45363,-0.02828,-0.20604,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.07031,1.01912,-0.35697,-0.19451,0.67742,-0.06985,0.32863,-0.11118,0.46820,0.47445,0.54961,0.35960,-0.32404,0.92719,-1.24598,0.53524,-0.03803,-0.39956,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000
1.61858,-0.05945,-0.35697,-0.19451,0.94501,-0.03009,-0.24076,-0.10899,0.28290,0.34125,0.27903,0.22821,0.29944,0.20619,-0.64963,0.26084,-0.04243,-0.35451,0.00000,0.00000,0.00000,0.99800,0.00000,0.00200,0.00000
0.28902,-0.45956,-0.35697,-0.19451,3.04463,-0.02478,-0.50237,-0.13041,0.28581,0.37614,0.23308,0.25877,0.58721,-0.11740,-0.38992,0.21425,-0.04588,-0.30921,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000
0.80988,0.37546,-0.35697,-0.19451,-0.43414,-0.11367,-0.61010,-0.13554,-0.95598,-0.92725,-0.98709,-0.93592,1.03804,-0.99167,0.63927,-1.02315,-0.02220,-0.36112,0.00000,0.00000,0.00800,0.00000,0.99200,0.00000,0.00000
0.72764,0.07972,-0.35697,-0.19451,-0.53707,-0.11971,-0.42543,-0.13664,-0.81531,-0.71161,-0.86712,-0.84426,1.60398,-1.01438,0.11025,-0.86783,-0.01963,0.41518,0.99800,0.00000,0.00000,0.00000,0.00200,0.00000,0.00000
0.09713,0.18410,-0.35697,-0.19451,0.28631,-0.05694,-0.25615,-0.11391,-0.80852,-0.87334,-0.75225,-0.80453,0.06923,-0.28771,0.41805,-0.78499,-0.00027,-0.66245,0.00000,0.00000,0.97000,0.00400,0.02600,0.00000,0.00000
-0.57450,-1.65990,-0.35697,-0.19451,-0.55765,-0.12427,-0.42543,-0.13243,1.98844,1.90152,1.99697,2.04010,-2.40554,1.68792,-0.44763,2.00303,-0.04270,-0.66328,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.01489,1.97591,-0.35697,-0.19451,-0.35181,-0.12194,-0.39465,-0.13186,-0.81919,-0.81626,-0.91817,-0.69454,0.69272,-1.33230,1.56266,-0.84453,-0.02033,2.23908,0.00000,0.00000,0.00000,0.00000,0.00200,0.00000,0.99800
1.37186,-1.13801,-0.35697,-0.19451,-0.57824,-0.11791,-0.54854,-0.13432,-0.75225,-0.77820,-0.69098,-0.79231,0.37618,-0.20823,-0.02441,-0.72286,-0.01543,-0.45664,0.00000,0.00000,0.00000,0.00200,0.99800,0.00000,0.00000
-1.52027,-0.05945,-0.35697,-0.19451,-0.57824,-0.12434,-0.54854,-0.13513,-0.92882,-0.93677,-0.92583,-0.91453,0.68313,-0.74188,0.57194,-0.96102,0.01162,-0.61658,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000
-1.64363,1.50621,-0.35697,4.39036,0.10105,-0.09007,0.55947,-0.09574,0.37313,0.36028,0.46282,0.27404,-0.41997,0.90448,-1.11132,0.44723,-0.03725,-0.42580,0.00000,0.00000,0.00000,0.00200,0.00000,0.99800,0.00000
-0.62933,-1.06843,-0.35697,-0.19451,-0.49590,-0.11872,-0.42543,-0.12984,1.91568,1.93640,1.90508,1.88733,-1.36959,1.50057,-1.16903,1.90984,-0.04510,-0.52756,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.46545,-0.70311,-0.35697,4.39036,1.58313,0.09543,2.89859,0.34928,-0.59412,-0.67989,-0.49443,-0.62426,-0.29527,0.17781,-0.00518,-0.52353,-0.01239,-0.58972,0.00200,0.00000,0.97200,0.00200,0.02400,0.00000,0.00000
1.22109,2.13247,-0.35697,-0.19451,0.34806,-0.08455,0.15935,-0.10635,-0.51165,-0.53084,-0.66035,-0.30955,0.24189,-1.41178,2.14940,-0.51835,-0.03196,2.32684,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000
-0.42373,0.28848,-0.35697,-0.19451,-0.63999,-0.12656,-0.57932,-0.13942,-0.89098,-0.88603,-0.87478,-0.90536,0.76946,-0.62266,0.28338,-0.90924,-0.00285,-0.40307,0.01400,0.00000,0.00600,0.00000,0.98000,0.00000,0.00000
-0.97200,0.32327,-0.35697,-0.19451,-0.43414,-0.10885,-0.11765,-0.10432,-0.92300,-0.91140,-0.93093,-0.91453,0.85579,-0.81001,0.51423,-0.96620,-0.00489,-0.47336,0.00000,0.00000,0.14200,0.00200,0.85600,0.00000,0.00000
-0.24554,0.39285,-0.35697,-0.19451,-0.00187,-0.10484,-0.08687,-0.11775,-0.41076,-0.45791,-0.33361,-0.45316,-0.09383,0.17781,-0.20717,-0.36044,-0.02900,-0.51903,0.00200,0.00000,0.00200,0.95200,0.04400,0.00000,0.00000
-0.43744,1.95851,2.41015,-0.19451,-0.04304,-0.06719,-0.11765,-0.12430,-0.64262,-0.66404,-0.76756,-0.46538,0.32822,-1.36068,1.97627,-0.65038,-0.02797,2.34907,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000
1.64600,2.18466,-0.35697,-0.19451,0.03930,-0.09857,-0.25615,-0.12978,-0.58441,-0.62915,-0.66290,-0.44093,0.06923,-1.00303,1.63000,-0.62967,-0.03091,2.65732,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000
-1.05424,0.86255,-0.35697,-0.19451,-0.26947,-0.10345,-0.27154,-0.11225,-0.46703,-0.46742,-0.63738,-0.25761,0.37618,-1.51964,2.19750,-0.47434,-0.03496,2.24058,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000
1.56376,-0.02466,-0.35697,-0.19451,-0.59882,-0.12590,-0.57932,-0.13715,-0.82501,-0.73698,-0.86201,-0.85648,1.46969,-0.92355,0.09101,-0.88336,-0.01836,0.26497,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.80988,0.37546,-0.35697,-0.19451,-0.35181,-0.11637,-0.17921,-0.12427,-0.88128,-0.87017,-0.88243,-0.88092,0.81742,-0.73053,0.41805,-0.91701,-0.01297,-0.43590,0.00200,0.00000,0.02200,0.00200,0.97400,0.00000,0.00000
-0.21813,0.39285,-0.35697,-0.19451,-0.68116,-0.12427,-0.65626,-0.13786,-0.96957,-0.93677,-1.01262,-0.93897,1.08600,-1.08251,0.74508,-1.04903,-0.05204,-0.47336,0.00000,0.00000,0.74800,0.00000,0.25200,0.00000,0.00000
-0.19071,2.13247,-0.35697,-0.19451,0.47157,-0.08059,0.94419,-0.07022,-0.29240,-0.33423,-0.49953,-0.00095,-0.14179,-1.62183,2.89004,-0.25689,-0.03214,2.31465,0.00000,0.00000,0.00000,0.00000,0.00000,0.00600,0.99400
0.41238,-1.45114,-0.35697,-0.19451,-0.00187,-0.08109,-0.65626,-0.13786,-0.93755,-0.90188,-0.97944,-0.91148,1.08600,-1.04844,0.68737,-1.01538,-0.05164,-0.13453,0.00000,0.00000,0.00600,0.00000,0.99400,0.00000,0.00000
0.91954,0.58421,-0.35697,-0.19451,-0.31064,-0.11599,-0.45621,-0.13740,-0.49031,-0.54036,-0.61951,-0.28205,-0.05546,-1.26417,2.19750,-0.49505,-0.03005,2.45999,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000
1.15255,2.18466,-0.35697,-0.19451,0.20397,-0.04637,0.09780,-0.06863,-0.69501,-0.72112,-0.82883,-0.50204,0.32822,-1.46287,2.14940,-0.68144,-0.02180,2.27761,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000
-0.09477,0.02753,-0.35697,-0.19451,-0.57824,-0.12066,-0.42543,-0.13432,-0.94046,-0.93677,-0.94370,-0.92981,0.79824,-0.79297,0.54309,-0.97914,0.01162,-0.52594,0.00200,0.00000,0.99400,0.00000,0.00400,0.00000,0.00000
-1.12278,0.49723,-0.35697,-0.19451,0.01871,-0.08924,-0.33310,-0.12606,-0.93076,-0.90823,-0.94880,-0.92064,0.96130,-0.88381,0.53347,-0.98432,-0.01354,-0.36907,0.01000,0.00000,0.01000,0.00000,0.98000,0.00000,0.00000
1.67341,-0.54654,-0.35697,-0.19451,-0.37239,-0.11575,-0.54854,-0.13816,-0.65427,-0.72112,-0.54293,-0.71593,-0.07465,0.20619,-0.27450,-0.57271,-0.01473,-0.50148,0.00000,0.00000,0.00400,0.00000,0.99600,0.00000,0.00000
-0.84864,1.34964,-0.35697,-0.19451,0.08047,-0.08864,0.02085,-0.11200,0.64380,0.62984,0.74106,0.53376,-0.65018,1.17698,-1.34217,0.72940,-0.03857,-0.43435,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000
-1.25984,-0.11164,-0.35697,-0.19451,-0.59882,-0.12690,-0.64087,-0.13967,-0.94240,-0.93677,-0.94370,-0.93592,0.81742,-0.78162,0.50461,-0.97914,0.01162,-0.49810,0.00000,0.00000,0.94600,0.00000,0.05400,0.00000,0.00000
-0.09477,-0.66831,-0.35697,-0.19451,0.51274,-0.02878,-0.04070,-0.02423,-0.75613,-0.83529,-0.67312,-0.77092,-0.10342,-0.06631,0.21605,-0.70474,-0.00456,-0.62523,0.00000,0.00000,0.98600,0.00000,0.01400,0.00000,0.00000
-0.05365,-1.10322,-0.35697,-0.19451,0.14222,-0.07536,0.12857,-0.09130,-0.27008,-0.23275,-0.20598,-0.37983,0.55843,0.20619,-0.90933,-0.23101,-0.02975,-0.26740,0.99800,0.00000,0.00000,0.00200,0.00000,0.00000,0.00000
1.27591,-0.14643,-0.35697,-0.19451,-0.35181,-0.11540,-0.56393,-0.13355,-0.36904,-0.38179,-0.33872,-0.38899,0.18434,-0.10037,-0.01479,-0.36562,-0.03571,-0.50848,0.00000,0.00000,0.00200,0.01800,0.97800,0.00200,0.00000
1.15255,-1.95563,-0.35697,-0.19451,-0.39298,-0.12161,-0.07148,-0.07461,2.73740,2.91950,2.43348,2.89563,-0.57344,0.21755,0.20643,2.44570,-0.05285,-0.67215,0.00000,0.99600,0.00000,0.00200,0.00000,0.00200,0.00000
-0.95829,1.48881,2.41015,-0.19451,-0.02246,-0.09843,-0.28693,-0.12320,-0.64262,-0.64184,-0.77777,-0.47454,0.52966,-1.42881,1.88970,-0.65814,-0.03078,2.24037,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000
-1.02683,1.31485,-0.35697,-0.19451,0.49216,-0.06088,0.88264,-0.06168,0.48761,0.46493,0.58790,0.38404,-0.60222,1.06911,-1.20751,0.57407,-0.03762,-0.44167,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000
0.48092,-1.43375,-0.35697,-0.19451,-0.39298,-0.10925,-0.61010,-0.13724,-0.95210,-0.92091,-0.98709,-0.92981,1.05722,-1.01438,0.65851,-1.02315,-0.02154,-0.31205,0.00400,0.00000,0.00000,0.00000,0.99600,0.00000,0.00000
0.23420,0.28848,-0.35697,-0.19451,0.86268,-0.09846,-0.25615,-0.12788,-0.27785,-0.26763,-0.27235,-0.29122,0.31863,-0.19120,0.00444,-0.29831,-0.03958,-0.47730,0.00000,0.00000,0.00400,0.90200,0.07000,0.02400,0.00000
-1.58881,-0.51175,-0.35697,-0.19451,-0.47531,-0.11500,-0.39465,-0.12884,1.99426,2.11400,1.91529,1.95149,-0.53507,1.10885,-1.34217,1.92019,-0.04734,-0.42218,0.00000,0.99600,0.00000,0.00200,0.00000,0.00200,0.00000
-0.23183,0.39285,-0.35697,-0.19451,-0.70174,-0.12731,-0.67165,-0.14017,-0.97054,-0.93677,-1.01517,-0.93897,1.09559,-1.09386,0.75470,-1.05162,-0.06000,0.88194,0.00000,0.00000,0.66600,0.00000,0.33400,0.00000,0.00000
-0.94459,-0.28560,-0.35697,-0.19451,-0.29005,-0.12268,0.63641,0.20324,0.33432,0.38248,0.32498,0.29543,0.16515,0.21187,-0.52458,0.30744,-0.04349,-0.40674,0.00000,0.00000,0.00000,0.99400,0.00000,0.00600,0.00000
-0.97200,0.91474,-0.35697,-0.19451,0.08047,-0.11196,0.06702,-0.09441,0.35664,0.37614,0.42453,0.25265,-0.11302,0.74552,-1.14980,0.40840,-0.03790,-0.38083,0.00000,0.00000,0.00000,0.00200,0.00000,0.99800,0.00000
-1.15019,-0.35518,-0.35697,-0.19451,0.20397,-0.05827,-0.17921,-0.11473,0.63410,0.66155,0.67214,0.55515,-0.26649,0.77390,-1.04399,0.65950,-0.04140,-0.41416,0.00000,0.00000,0.00000,0.99200,0.00000,0.00800,0.00000
-0.79381,0.21889,-0.35697,-0.19451,1.78898,-0.04462,0.06702,-0.08581,-0.56404,-0.67989,-0.43316,-0.60287,-0.59262,0.41057,-0.10136,-0.46140,-0.01267,-0.61127,0.00000,0.00000,0.99400,0.00400,0.00200,0.00000,0.00000
1.70082,-1.13801,-0.35697,-0.19451,-0.20772,-0.10629,-0.59471,-0.13460,-0.73867,-0.76552,-0.68077,-0.77398,0.35700,-0.21959,0.01406,-0.71250,-0.01647,-0.46750,0.00000,0.00000,0.00400,0.00000,0.99600,0.00000,0.00000
-0.47856,-0.38998,2.41015,-0.19451,-0.37239,-0.11872,-0.19459,-0.10812,-0.44471,-0.35642,-0.44082,-0.52954,1.16274,-0.33881,-0.59191,-0.46917,-0.03106,-0.10174,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.75505,1.74976,-0.35697,-0.19451,0.67742,-0.04464,0.32863,-0.04464,-0.57277,-0.60378,-0.70885,-0.37371,0.18434,-1.37772,2.14940,-0.57271,-0.02824,2.36916,0.00000,0.00000,0.00200,0.00000,0.00000,0.00000,0.99800
-0.39632,-1.92084,-0.35697,-0.19451,-0.39298,-0.11665,-0.51776,-0.13664,2.48128,2.54846,2.31095,2.59314,-1.40796,0.89880,-0.11098,2.32144,-0.04878,-0.66222,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.17701,-0.58133,-0.35697,-0.19451,2.03599,0.02757,-0.31771,-0.12521,0.73694,0.70912,0.81764,0.65903,-0.85161,1.14292,-1.08246,0.80706,-0.04006,-0.48269,0.00000,0.00000,0.00200,0.99600,0.00000,0.00200,0.00000
1.23479,1.01912,-0.35697,-0.19451,0.24514,-0.09451,0.08241,-0.10646,0.44880,0.44908,0.52919,0.34737,-0.36241,0.90448,-1.16903,0.51453,-0.03822,-0.41492,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000
1.37186,-1.13801,-0.35697,-0.19451,-0.57824,-0.11791,-0.54854,-0.13432,-0.75225,-0.77820,-0.69098,-0.79231,0.37618,-0.20823,-0.02441,-0.72286,-0.01543,-0.45664,0.00000,0.00000,0.00000,0.00200,0.99800,0.00000,0.00000
-0.50597,-0.59873,-0.35697,-0.19451,-0.41356,-0.11872,0.34402,-0.07140,-0.38553,-0.31837,-0.36169,-0.47454,0.92293,-0.15714,-0.65924,-0.38892,-0.03109,-0.16999,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.46485,-0.05945,-0.35697,-0.19451,-0.18713,-0.10659,-0.50237,-0.12704,-0.52912,-0.61647,-0.42295,-0.56621,-0.36241,0.27432,-0.10136,-0.45105,-0.01974,-0.56164,0.00000,0.00000,0.81800,0.02000,0.16200,0.00000,0.00000
-0.93088,-1.41635,-0.35697,-0.19451,0.16280,-0.10793,-0.39465,-0.12828,0.01029,-0.00124,0.08247,-0.06511,-0.11302,0.49005,-0.71696,0.06151,-0.03603,-0.43140,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000
1.17996,0.11451,-0.35697,-0.19451,-0.70174,-0.12731,-0.67165,-0.14017,-0.97054,-0.93677,-1.01517,-0.93897,1.09559,-1.09386,0.75470,-1.05162,-0.06000,0.88194,0.00000,0.00000,0.00600,0.00000,0.99400,0.00000,0.00000
-1.20502,-0.05945,-0.35697,-0.19451,-0.39298,-0.11963,-0.37926,-0.13230,-0.92009,-0.93042,-0.91307,-0.90842,0.65435,-0.70782,0.54309,-0.94807,0.00897,-0.60517,0.00000,0.00000,0.99800,0.00000,0.00200,0.00000,0.00000
-0.97200,0.28848,2.41015,-0.19451,-0.43414,-0.11743,-0.17921,-0.12237,-0.75225,-0.82894,-0.69354,-0.74037,-0.08424,-0.22527,0.46614,-0.72545,-0.00740,-0.69851,0.00000,0.00000,0.96400,0.01000,0.02200,0.00000,0.00400
0.94695,-0.89447,-0.35697,-0.19451,-0.33122,-0.11839,-0.34848,-0.12071,1.47716,1.32435,1.67534,1.37095,-2.58779,2.53380,-1.69806,1.67686,-0.03683,-0.55838,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.53338,-0.61613,2.41015,-0.19451,0.05988,-0.08527,-0.19459,-0.08242,-0.41658,-0.32471,-0.41019,-0.50815,1.17233,-0.29907,-0.66886,-0.43810,-0.03098,-0.09685,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.73899,0.98432,2.41015,-0.19451,-0.24888,-0.11476,0.15935,-0.10843,-0.38553,-0.41351,-0.52251,-0.19039,0.05964,-1.23011,2.02436,-0.41739,-0.03655,2.46984,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.02859,-0.05945,2.41015,-0.19451,-0.08421,-0.10848,0.22091,-0.07165,-0.35061,-0.30568,-0.31574,-0.43177,0.69272,-0.05495,-0.60153,-0.34232,-0.03172,-0.26013,0.98600,0.00000,0.00800,0.00600,0.00000,0.00000,0.00000
0.20678,0.01014,-0.35697,-0.19451,-0.33122,-0.11740,-0.36387,-0.12229,-0.90457,-0.93042,-0.87478,-0.90536,0.50088,-0.54318,0.41805,-0.90924,0.00974,-0.58535,0.00000,0.00000,0.99800,0.00000,0.00200,0.00000,0.00000
-1.05424,-0.73790,-0.35697,-0.19451,-0.47531,-0.12194,-0.42543,-0.13287,1.98747,2.07911,1.94592,1.92705,-0.78447,1.35297,-1.50569,1.95126,-0.04617,-0.43394,0.00000,0.99800,0.00000,0.00200,0.00000,0.00000,0.00000
-1.52027,0.25368,-0.35697,-0.19451,-0.51648,-0.12458,-0.53315,-0.13885,-0.84054,-0.74332,-0.89009,-0.86564,1.56561,-1.02006,0.15834,-0.89371,-0.01675,0.41415,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.38261,0.11451,-0.35697,-0.19451,-0.43414,-0.11599,-0.37926,-0.12852,-0.81725,-0.72746,-0.85691,-0.84731,1.47928,-0.93490,0.10063,-0.87300,-0.01917,0.25875,0.99800,0.00000,0.00000,0.00000,0.00200,0.00000,0.00000
-0.20442,1.01912,-0.35697,-0.19451,0.18339,-0.08730,0.03624,-0.11367,0.24410,0.28100,0.27903,0.16405,0.13638,0.43328,-0.87085,0.26084,-0.03940,-0.36701,0.00000,0.00000,0.00000,0.00400,0.00000,0.99600,0.00000
1.64600,1.99330,2.41015,-0.19451,-0.08421,-0.07070,-0.02532,-0.09868,-0.73673,-0.75600,-0.86457,-0.55704,0.42414,-1.45720,2.04360,-0.72804,-0.01724,2.25774,0.00000,0.00000,0.00200,0.00000,0.00000,0.00000,0.99800
-0.58821,0.25368,-0.35697,-0.19451,-0.37239,-0.11575,-0.42543,-0.13362,-0.93367,-0.93677,-0.92838,-0.92675,0.73109,-0.73053,0.50461,-0.96361,0.01162,-0.52485,0.00000,0.00000,0.95600,0.00000,0.04400,0.00000,0.00000
0.09713,-0.68571,-0.35697,-0.19451,0.40982,-0.09990,-0.42543,-0.13243,-0.73770,-0.72746,-0.74459,-0.73120,0.69272,-0.65105,0.40843,-0.77722,-0.03275,-0.50089,0.02200,0.00000,0.11800,0.67000,0.18400,0.00000,0.00600
1.50893,1.26266,-0.35697,-0.19451,-0.08421,-0.09758,-0.05609,-0.12065,0.26738,0.25563,0.33008,0.20071,-0.32404,0.63765,-0.75543,0.31262,-0.03892,-0.46056,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000
0.30273,-0.63352,-0.35697,-0.19451,1.83015,0.02028,-0.24076,-0.11135,0.16454,0.14464,0.24585,0.08460,-0.31445,0.67739,-0.83238,0.22719,-0.03710,-0.44488,0.00000,0.00000,0.00000,0.99800,0.00000,0.00200,0.00000
-1.65734,1.50621,-0.35697,-0.19451,1.04794,-0.03769,0.91341,-0.10302,0.33238,0.32540,0.41432,0.23738,-0.33364,0.81932,-1.05361,0.39804,-0.03749,-0.42162,0.00000,0.00000,0.00000,0.00400,0.00000,0.99600,0.00000
-0.36890,-1.43375,-0.35697,-0.19451,-0.06362,-0.11005,-0.36387,-0.12531,2.62195,2.79265,2.36711,2.73369,-0.58303,0.45031,-0.17831,2.37839,-0.05195,-0.58604,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.33074,-0.16383,-0.35697,-0.19451,-0.59882,-0.12590,-0.54854,-0.13891,-0.82792,-0.76235,-0.84670,-0.85953,1.26825,-0.80433,0.09101,-0.88077,-0.01680,0.03130,0.98400,0.00000,0.00000,0.00000,0.01600,0.00000,0.00000
-0.03994,-0.00726,-0.35697,-0.19451,-0.47531,-0.11897,-0.53315,-0.13658,-0.93949,-0.93677,-0.93859,-0.93286,0.78864,-0.76459,0.50461,-0.97396,0.01162,-0.50460,0.00000,0.00000,0.99800,0.00000,0.00200,0.00000,0.00000
0.05601,0.58421,-0.35697,-0.19451,0.20397,-0.04836,-0.05609,-0.11095,-0.36419,-0.41668,-0.28000,-0.41038,-0.18016,0.26297,-0.26488,-0.30608,-0.02918,-0.52187,0.00000,0.00000,0.00400,0.96800,0.02200,0.00400,0.00200
0.20678,0.65380,-0.35697,-0.19451,-0.59882,-0.12000,-0.45621,-0.12962,-0.55822,-0.58159,-0.68588,-0.37677,0.24189,-1.30959,1.97627,-0.57530,-0.03200,2.39950,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000
0.68652,1.12349,-0.35697,-0.19451,0.40982,-0.06993,-0.02532,-0.11807,0.49052,0.48079,0.57259,0.39626,-0.48711,0.94989,-1.12094,0.55854,-0.03878,-0.43794,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000
0.91954,0.32327,2.41015,-0.19451,-0.51648,-0.12458,-0.25615,-0.13129,-0.84830,-0.74332,-0.90286,-0.87481,1.64234,-1.05980,0.14872,-0.89371,-0.01258,0.49053,0.97600,0.00000,0.00000,0.00200,0.02000,0.00000,0.00200
-0.32778,-0.89447,-0.35697,-0.19451,0.22456,-0.02152,-0.17921,-0.03311,-0.27688,-0.26446,-0.19321,-0.38594,0.33781,0.33109,-0.89971,-0.21806,-0.02871,-0.31272,0.98400,0.00000,0.00200,0.01000,0.00400,0.00000,0.00000
1.17996,-0.28560,2.41015,-0.19451,0.24514,-0.07710,-0.10226,-0.09225,-0.53203,-0.60061,-0.42295,-0.59065,-0.18975,0.29135,-0.30335,-0.45105,-0.02081,-0.51547,0.00000,0.00000,0.02800,0.00800,0.96400,0.00000,0.00000
