A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10
-0.81191,0.91745,-1.54142,-0.77095,-1.01964,-0.83614,1.17016,0.08363,1.26354,1.14871,0.36161,1.18634,0.71535,-0.05842,0.44809,-0.80623,2,2,2,2,1,2,2,2,2,2
-0.08215,0.42419,-1.27570,-0.04040,-1.45952,-1.05839,-0.82481,-1.48796,0.58975,-1.01631,1.05888,0.41200,1.29738,1.63059,-0.27029,1.98878,1,2,2,2,2,2,2,2,2,2
0.20975,0.91745,-1.16181,-0.04040,-0.46247,-0.05827,1.59531,1.08677,0.41398,1.77252,-0.30885,0.70699,-1.47846,-0.23939,-1.13235,-0.80623,2,2,2,2,1,2,2,2,2,2
0.64761,-1.61052,0.66030,0.84670,-1.45952,0.68256,-0.23613,-0.08356,0.67764,-1.23648,-1.40840,-1.09980,-0.98598,0.27335,1.26226,1.15028,2,2,2,2,2,2,2,2,1,2
1.78604,-0.06907,-0.36464,0.84670,-1.45952,0.83073,-1.41349,0.85270,-1.22654,0.70836,-1.22067,0.00640,-2.46344,-0.54100,-1.13235,-0.80623,2,1,2,2,2,2,2,2,2,2
-0.19891,-1.61052,0.47050,0.84670,1.47299,1.09002,0.90852,0.05019,-0.25980,-1.23648,0.87115,-0.58357,0.13332,0.60512,-1.13235,0.95462,2,2,2,2,2,2,2,2,1,2
0.03461,0.85579,0.39458,-0.92750,0.85716,-1.46585,-0.39966,-1.48796,-1.66596,-0.24571,-1.40840,1.55507,-0.40394,1.96236,1.26226,1.82108,2,2,2,2,2,1,2,2,2,2
-1.13301,0.79413,-0.17483,0.84670,0.88649,0.71960,0.54877,-0.08356,-0.02544,-1.23648,-0.95249,-0.43608,-0.22486,0.06222,1.26226,0.08817,2,2,2,2,2,2,2,1,2,2
-0.34487,-0.56233,-1.50346,-2.17987,-0.99032,-2.42893,0.61418,-1.38764,1.26354,0.23133,0.84433,1.81318,-0.49349,1.96236,-1.13235,1.23413,1,2,2,2,2,2,2,2,2,2
-1.13301,-5.24832,-0.36464,-3.58878,0.38796,-1.31769,1.20286,0.25082,1.26354,1.66244,0.57615,2.40315,0.04377,1.41946,0.75939,0.98257,2,2,2,2,2,2,2,2,2,1
-0.25729,0.05424,1.00195,0.84670,0.79851,0.42327,0.05821,0.18394,0.61905,0.23133,1.05888,-0.65732,0.04377,-1.05373,-1.13235,-0.66648,2,2,2,1,2,2,2,2,2,2
-0.28648,0.36253,-1.00997,-1.39713,0.47593,-0.98431,-0.69400,-1.48796,-1.66596,-0.53927,-1.54249,1.37070,-0.71735,1.87188,1.26226,1.98878,2,2,2,2,2,1,2,2,2,2
1.11466,0.73248,-0.02299,0.84670,-1.45952,-0.24348,-1.38079,-0.51826,0.79482,-0.02554,1.05888,1.07572,0.98398,0.27335,0.01706,-0.80623,2,2,2,2,1,2,2,2,2,2
0.73518,0.48585,-1.54142,-0.87531,1.38501,0.05285,1.23557,1.85584,-1.25583,1.33218,1.05888,1.22321,1.83464,0.03206,-0.46186,-0.80623,2,2,2,2,2,2,2,2,2,1
-0.87029,0.48585,0.47050,0.84670,1.15041,0.53439,0.18902,0.25082,-1.16795,-0.13562,-1.62294,-1.09980,-0.22486,-0.99341,1.26226,-0.80623,2,2,1,2,2,2,2,2,2,2
-1.13301,0.48585,0.81215,0.84670,1.47299,0.46031,0.58148,-0.05012,-0.20121,-1.05300,-0.68430,-1.28416,-1.79187,0.00190,0.92702,0.22792,2,2,2,2,2,2,2,1,2,2
-0.25729,0.11590,-0.93405,-1.50150,0.53458,-0.91023,0.02550,-1.48796,-1.66596,-0.64936,-1.22067,1.03885,-0.62780,1.96236,1.26226,1.93288,2,2,2,2,2,1,2,2,2,2
0.61842,0.91745,-0.78221,-0.40567,-1.45952,-0.98431,-1.34809,-1.45452,0.35539,-1.23648,1.05888,-0.06735,0.04377,0.15270,-0.77316,-0.52673,2,2,2,2,2,2,1,2,2,2
-1.13301,-0.13073,-0.44056,0.84670,1.12109,1.09002,0.41795,0.81926,0.47257,0.34141,1.05888,-0.80481,-0.22486,-1.02357,-0.89289,-0.80623,2,2,2,1,2,2,2,2,2,2
-0.98706,0.30087,0.20477,0.74233,1.15041,1.27523,1.59531,1.22052,0.58975,0.92854,0.03979,-0.03048,-0.80689,-0.63148,-1.13235,-0.80623,2,2,2,1,2,2,2,2,2,2
1.78604,0.85579,1.00195,0.84670,-0.75572,0.08989,-1.67513,-0.41794,-0.87500,-1.23648,1.03206,-0.98918,0.98398,0.15270,-0.91684,0.73102,2,2,2,2,2,2,1,2,2,2
0.23894,0.05424,1.22972,0.84670,1.15041,0.34919,0.54877,0.15050,1.26354,-0.20901,0.57615,-1.13667,-0.76212,-1.05373,-1.13235,-0.44288,2,2,2,1,2,2,2,2,2,2
-0.28648,-0.80897,0.16681,0.84670,0.82784,0.46031,0.28714,-0.11700,-0.93359,-0.79614,-1.62294,-1.13667,-0.22486,-0.87277,1.26226,-0.80623,2,2,1,2,2,2,2,2,2,2
-1.10382,0.17756,-1.54142,-1.55368,0.27066,-1.28064,-0.49777,-1.48796,-1.34372,-0.20901,-1.51567,1.22321,-1.20983,1.87188,1.26226,1.98878,2,2,2,2,2,1,2,2,2,2
0.70599,0.91745,-0.02299,-0.56222,0.59324,-0.09531,1.59531,1.08677,0.64834,1.47896,-0.14794,0.48575,-1.16506,-0.36003,-1.13235,-0.80623,2,2,2,2,1,2,2,2,2,2
-0.81191,0.42419,0.58438,0.84670,0.97446,0.60848,0.02550,0.48488,0.88270,0.19463,1.05888,-0.76794,-0.00100,-1.05373,-1.13235,-0.80623,2,2,2,1,2,2,2,2,2,2
0.35571,-0.56233,1.03991,0.37706,1.47299,1.27523,1.03934,1.18708,0.06244,0.96523,-0.71112,0.19076,-2.01572,-0.45052,-1.13235,-0.80623,2,1,2,2,2,2,2,2,2,2
0.50166,0.85579,-0.85813,-0.61440,-1.45952,-1.53993,-0.49777,-1.48796,0.82411,-0.39249,1.05888,1.26009,0.13332,1.96236,-0.67738,1.26208,1,2,2,2,2,2,2,2,2,2
-1.13301,-0.62399,0.24274,0.16833,1.47299,1.27523,1.30097,1.18708,0.44328,0.96523,-0.20158,0.19076,-0.89643,-0.45052,-0.67738,-0.80623,2,1,2,2,2,2,2,2,2,2
-0.63677,0.91745,-1.54142,-0.51004,-1.28357,-1.09544,0.84311,-0.25075,1.26354,1.07532,0.33479,2.21879,0.71535,0.36383,0.66361,-0.80623,2,2,2,2,1,2,2,2,2,2
0.06380,0.67082,-0.89609,-0.40567,0.00673,-1.05839,-0.66129,-1.48796,-1.66596,0.01116,-1.59612,1.88693,-0.26963,1.90204,1.26226,1.98878,2,2,2,2,2,1,2,2,2,2
-0.54920,-0.19239,0.81215,0.84670,1.47299,0.57144,0.54877,0.31769,0.73623,0.59828,0.76388,-0.58357,-0.58303,-1.05373,-1.13235,-0.44288,2,2,2,1,2,2,2,2,2,2
-0.78272,-0.43902,-0.02299,0.84670,0.71054,0.42327,0.02550,-0.11700,-1.28513,-0.72275,-1.62294,-0.65732,-0.22486,-0.81245,1.26226,-0.80623,2,2,1,2,2,2,2,2,2,2
-0.60758,-0.74731,-1.54142,-0.56222,-1.16627,-1.53993,0.09091,-1.48796,1.26354,-0.42919,0.92479,1.33383,-0.13531,1.96236,-1.01262,1.54158,1,2,2,2,2,2,2,2,2,2
1.69847,0.91745,0.01497,0.32488,-1.34222,-0.28052,-1.67513,-0.75232,-0.14262,-1.23648,1.05888,-0.47295,-0.26963,0.09238,-0.94078,-0.44288,2,2,2,2,2,2,1,2,2,2
0.53085,-1.36389,2.25466,0.84670,-1.45952,0.94185,-0.49777,0.28426,1.11706,-0.64936,-1.56930,-1.28416,-2.23958,0.03206,1.04675,1.06643,2,2,2,2,2,2,2,2,1,2
-0.25729,-0.25405,1.76117,0.84670,1.47299,1.20114,-0.46507,1.38771,-0.31839,0.74506,1.03206,-0.10422,0.17809,-0.99341,-1.13235,-0.80623,2,2,2,2,2,1,2,2,2,2
-0.78272,-1.48720,-1.54142,-3.32787,-0.16922,-2.42893,1.33368,-0.71888,1.26354,1.11201,0.25433,2.40315,-1.79187,1.72107,-1.13235,0.64717,1,2,2,2,2,2,2,2,2,2
-1.13301,-0.06907,0.35662,0.84670,0.65189,0.49735,-0.46507,0.25082,-0.17192,0.26802,1.05888,-0.28859,0.31240,-0.96325,-1.06051,-0.80623,2,2,2,1,2,2,2,2,2,2
-1.13301,0.91745,0.77419,0.84670,1.47299,1.01593,0.38525,0.65207,-0.61134,-0.02554,-1.24749,-1.28416,-2.06050,-0.17907,-0.00688,0.36767,2,2,2,2,2,2,2,1,2,2
1.78604,-0.37736,1.00195,0.84670,-0.69707,0.38623,-0.33425,-0.21731,-0.28910,-1.23648,-1.62294,-0.98918,-0.76212,0.09238,1.16648,0.81487,2,2,2,2,2,2,2,2,1,2
-0.05296,0.36253,1.64728,0.84670,1.47299,1.12706,0.02550,1.42115,-0.72852,0.85515,0.36161,0.11702,-0.62780,-1.02357,-1.13235,-0.80623,2,2,2,2,2,1,2,2,2,2
1.78604,0.91745,0.66030,-0.04040,-0.55044,-0.39165,-1.11915,-0.68545,-0.40628,-1.23648,0.52252,-0.58357,-0.22486,0.24319,-1.13235,0.28382,2,2,2,2,2,2,1,2,2,2
1.61089,-0.37736,-0.02299,0.84670,-1.07829,-0.02123,0.25443,-0.48482,0.29680,-1.23648,-1.62294,-0.65732,-0.44871,0.51463,1.26226,1.51363,2,2,2,2,2,2,2,2,1,2
-1.13301,-0.19239,1.30564,-1.44932,1.47299,-1.98443,-0.95563,-1.48796,-1.02147,0.26802,0.84433,1.40758,1.29738,1.96236,-1.08446,1.42978,2,2,2,2,2,2,2,2,1,2
1.20223,0.91745,-0.17483,0.84670,0.24133,0.53439,0.45066,1.25396,0.73623,0.48819,1.05888,-0.76794,-0.09054,-1.05373,-1.13235,-0.61058,2,2,2,2,2,2,2,2,2,1
-0.11134,-0.56233,-1.54142,-2.17987,-1.13694,-2.42893,0.45066,-1.32077,1.26354,0.26802,0.97843,1.85006,-0.26963,1.96236,-0.91684,1.12233,1,2,2,2,2,2,2,2,2,2
-0.14053,0.91745,-0.74424,-0.40567,-1.45952,-1.13248,-0.26884,-0.48482,0.99988,-0.17232,1.05888,0.22764,0.84966,0.33367,0.47204,-0.80623,2,2,2,2,1,2,2,2,2,2
-1.13301,-0.62399,-0.36464,-0.61440,0.50526,0.68256,1.59531,1.85584,1.08777,1.77252,0.52252,0.70699,0.58103,-0.23939,0.20863,-0.80623,2,1,2,2,2,2,2,2,2,2
1.49413,-0.87062,2.25466,0.84670,-0.72639,0.71960,-1.34809,0.18394,0.67764,1.03862,1.03206,0.67011,0.40195,-0.54100,-1.13235,-0.80623,2,2,2,2,2,2,2,2,2,1
-1.13301,0.73248,0.05293,0.84670,0.50526,0.20102,0.05821,-0.31763,-0.66993,-1.23648,-1.19385,-0.43608,-0.67257,0.21303,1.26226,0.36767,2,2,2,2,2,2,2,1,2,2
-0.02377,0.54750,-1.38958,-1.08404,-1.45952,-1.68810,-0.33425,-1.48796,0.79482,-0.53927,1.05888,0.92823,0.98398,1.90204,-0.36608,1.98878,1,2,2,2,2,2,2,2,2,2
0.96870,0.91745,-0.09891,0.22051,-1.40087,-0.31756,-1.67513,-0.85264,-0.17192,-1.23648,1.05888,-0.54670,-0.00100,-0.02826,-0.84500,-0.61058,2,2,2,2,2,2,1,2,2,2
-0.37406,-0.37736,1.07787,0.84670,1.23839,0.71960,0.15632,0.38457,0.97059,0.30472,1.05888,-0.73107,-0.18008,-1.05373,-1.13235,-0.75033,2,2,2,1,2,2,2,2,2,2
-0.89948,-0.50068,0.24274,0.84670,1.47299,1.12706,0.64689,0.71895,1.26354,0.45150,1.03206,-0.80481,-0.40394,-1.05373,-1.13235,-0.44288,2,2,2,1,2,2,2,2,2,2
-0.22810,-0.74731,0.54642,0.84670,0.15336,-0.46573,-0.59588,-1.01983,-1.66596,-1.23648,-0.81839,-0.87856,0.44672,-1.02357,1.26226,-0.77828,2,2,1,2,2,2,2,2,2,2
0.20975,0.91745,-0.74424,0.06396,-1.45952,-0.20644,-0.89022,-0.08356,0.32610,0.37811,1.05888,0.52262,0.93921,-0.29971,0.25652,-0.80623,2,2,2,2,1,2,2,2,2,2
0.06380,-0.99394,1.34360,0.84670,0.68121,0.57144,0.18902,-0.18388,-0.31839,-1.23648,-1.62294,-0.91543,-0.22486,-0.78229,1.26226,-0.52673,2,1,2,2,2,2,2,2,2,2
-0.19891,0.91745,-1.08589,-0.40567,-1.45952,-0.65094,-1.64243,-0.78576,-0.52346,-1.23648,1.05888,-0.95231,0.40195,-0.42035,-0.70132,-0.72238,2,2,2,2,2,2,1,2,2,2
-0.66596,0.30087,-1.19977,-1.18841,0.00673,-1.13248,-0.92293,-1.48796,-1.51949,0.04785,-1.62294,1.70256,-0.31440,1.87188,1.26226,1.98878,2,2,2,2,2,1,2,2,2,2
-0.52001,0.17756,-1.54142,-1.39713,1.12109,-0.28052,1.20286,-0.88607,-1.22654,-1.23648,-1.40840,0.26451,-1.92618,1.44962,1.26226,1.98878,2,2,2,2,2,1,2,2,2,2
-1.13301,0.91745,0.50846,0.74233,1.20906,0.71960,0.64689,0.25082,0.15033,-0.61266,0.36161,-1.28416,2.01373,-0.08858,-0.12661,0.22792,2,2,2,2,2,2,2,1,2,2
0.23894,0.48585,-1.50346,-0.87531,-1.45952,-1.83627,0.05821,-1.48796,1.26354,-0.06223,0.92479,1.70256,-0.58303,1.96236,-0.96473,0.92667,1,2,2,2,2,2,2,2,2,2
-0.02377,-2.10378,-1.23773,-0.92750,-1.45952,-1.72514,-0.30154,-1.48796,0.88270,-0.28240,1.05888,1.33383,0.26763,1.96236,-0.74921,1.54158,1,2,2,2,2,2,2,2,2,2
1.64009,0.42419,0.35662,0.84670,-0.84369,0.42327,0.74500,1.42115,1.26354,1.91931,0.22752,0.78073,-0.80689,-0.26955,-1.13235,-0.80623,2,2,2,2,2,2,2,2,2,1
-0.60758,0.17756,-1.46550,-1.55368,-0.28652,-1.50289,-1.60972,-1.48796,-1.66596,-0.13562,-1.08658,1.29696,-0.44871,1.96236,1.26226,1.79313,2,2,2,2,2,1,2,2,2,2
0.00542,0.91745,-0.66832,-0.09258,-1.45952,-0.50277,-1.64243,-0.78576,-0.25980,-1.23648,1.05888,-0.69419,0.67058,0.21303,-0.98868,0.73102,2,2,2,2,2,2,1,2,2,2
-0.49082,0.91745,-1.50346,-0.92750,-1.45952,-1.20656,-0.03991,-0.41794,1.26354,0.08455,0.57615,1.03885,0.98398,-0.14891,0.56782,-0.80623,2,2,2,2,1,2,2,2,2,2
-1.04544,0.67082,0.47050,0.84670,0.91581,0.08989,1.03934,-0.55169,0.44328,-1.23648,1.05888,-0.03048,-0.18008,0.18286,-1.13235,0.39562,2,2,2,2,2,2,2,1,2,2
-1.13301,-1.24057,-0.09891,-0.24913,0.35863,1.27523,0.67959,1.38771,0.58975,1.14871,0.49570,0.30138,1.25261,-0.42035,1.26226,-0.80623,2,1,2,2,2,2,2,2,2,2
-0.57839,-0.25405,-1.54142,-2.23205,-1.10762,-2.42893,0.09091,-1.45452,0.91200,-0.17232,1.05888,1.33383,0.76012,1.96236,-0.39002,1.73723,1,2,2,2,2,2,2,2,2,2
-1.13301,-1.54886,-0.09891,-0.19695,0.88649,1.27523,1.59531,1.58834,0.67764,1.29549,0.12024,0.41200,-0.00100,-0.36003,0.18468,-0.80623,2,1,2,2,2,2,2,2,2,2
0.03461,-0.80897,-0.93405,-1.76241,1.35569,0.12694,0.61418,1.85584,-1.66596,1.44227,0.12024,0.81761,2.01373,0.36383,1.11858,-0.80623,2,2,2,2,2,2,2,2,2,1
1.78604,0.91745,0.85011,-0.30131,-0.63842,-0.46573,-1.67513,-0.58513,-1.54878,-1.23648,-0.01385,-1.24729,1.02875,-0.39019,-0.55765,-0.21928,2,2,2,2,2,2,1,2,2,2
-0.16972,-1.67217,-0.82017,0.32488,0.82784,1.27523,1.30097,0.58520,-0.17192,-0.20901,-1.62294,-1.21042,-0.80689,-1.02357,1.26226,-0.80623,2,2,1,2,2,2,2,2,2,2
-0.72434,0.36253,-1.19977,-1.65805,-0.63842,-2.05852,0.74500,-1.48796,1.26354,0.15794,0.68343,1.70256,-0.53826,1.96236,-1.13235,1.42978,1,2,2,2,2,2,2,2,2,2
-0.54920,-0.00742,0.81215,0.84670,0.62256,0.23806,-0.20343,0.25082,1.20495,0.48819,1.05888,-0.65732,-0.09054,-1.05373,-1.13235,-0.80623,2,2,2,1,2,2,2,2,2,2
-0.87029,0.91745,-1.54142,-0.92750,-0.87302,-1.50289,0.31984,-1.48796,1.26354,-0.46588,0.87115,1.07572,-0.04577,1.69091,-0.91684,1.31798,1,2,2,2,2,2,2,2,2,2
0.09299,-0.13073,0.73623,-1.60586,1.15041,-2.02148,-1.24997,-1.48796,-1.66596,-0.02554,0.44206,0.81761,2.01373,1.72107,-0.70132,1.98878,2,2,2,2,2,2,2,2,1,2
-1.01625,-1.36389,-1.08589,-3.58878,0.06538,-2.42893,1.33368,-0.98639,1.26354,1.07532,0.30797,2.40315,-1.20983,1.87188,-1.13235,0.92667,1,2,2,2,2,2,2,2,2,2
-0.02377,0.54750,1.87505,0.84670,1.29704,0.49735,0.25443,0.41801,0.32610,-0.02554,1.05888,-0.84169,-0.04577,-1.05373,-1.13235,-0.77828,2,2,2,1,2,2,2,2,2,2
-0.49082,-1.85715,-1.16181,-1.24059,-1.45952,-1.76218,-0.17073,-1.48796,0.94129,-0.20901,1.05888,1.29696,0.58103,1.96236,-0.43791,1.12233,1,2,2,2,2,2,2,2,2,2
-0.34487,0.91745,-1.54142,-1.34495,-1.10762,-2.24373,0.35255,-1.48796,1.26354,0.19463,0.97843,2.07130,-0.31440,1.87188,-0.70132,0.67512,1,2,2,2,2,2,2,2,2,2
0.12218,0.54750,-0.97201,-0.92750,0.06538,-1.02135,-1.02104,-1.48796,-1.51949,0.04785,-1.62294,1.77631,-0.58303,1.96236,1.26226,1.93288,2,2,2,2,2,1,2,2,2,2
-1.13301,0.11590,-0.13687,0.84670,-0.90234,0.16398,-1.51161,-0.08356,0.91200,0.56158,1.05888,0.85448,1.29738,-0.20923,0.97491,-0.80623,2,2,2,2,1,2,2,2,2,2
0.99790,0.79413,-0.21279,0.84670,-1.45952,-0.24348,-1.67513,-1.05326,0.41398,-0.94292,1.05888,0.37513,-1.16506,0.18286,-0.91684,-0.80623,2,2,2,2,2,2,1,2,2,2
-0.69515,-0.74731,-1.54142,-2.59732,-0.57977,-2.42893,0.97393,-1.45452,1.26354,0.15794,0.71024,1.59194,-0.49349,1.96236,-0.74921,1.09438,1,2,2,2,2,2,2,2,2,2
1.34818,0.91745,-0.40260,0.01178,-1.31289,-0.42869,-1.67513,-0.75232,-0.25980,-1.23648,1.05888,-0.50983,0.49149,0.36383,-1.13235,0.22792,2,2,2,2,2,2,1,2,2,2
-1.13301,0.17756,-0.63036,-0.82313,0.76919,-1.20656,-0.26884,-1.48796,-0.81641,-0.06223,0.62979,1.14947,2.01373,1.96236,-0.94078,1.68133,2,2,2,2,2,2,2,2,1,2
0.32652,0.73248,1.19175,-0.82313,1.47299,1.27523,-0.30154,1.38771,1.05847,1.40557,0.76388,0.48575,0.67058,-0.84261,-1.13235,-0.80623,2,2,2,2,2,2,2,2,2,1
0.09299,0.91745,-1.19977,-0.24913,-1.45952,-0.72502,-0.10532,-0.45138,1.26354,0.45150,0.76388,0.63324,-0.40394,-0.14891,-0.67738,-0.80623,2,2,2,2,1,2,2,2,2,2
-0.92867,0.91745,-1.54142,-1.44932,0.03606,-1.05839,-0.39966,-1.48796,-1.40231,-0.68605,-1.48885,1.00197,-0.58303,1.72107,1.26226,1.87698,2,2,2,2,2,1,2,2,2,2
1.78604,-0.50068,1.95097,0.84670,-0.02259,0.38623,-1.08645,0.11707,-1.66596,-0.68605,-0.60385,-1.28416,0.89444,-0.36003,-0.43791,-0.05158,2,2,2,2,2,2,1,2,2,2
0.15137,-1.17891,1.00195,0.84670,0.88649,-0.13235,-0.13802,-0.65201,-1.51949,-1.23648,-1.62294,-1.17354,-0.22486,-0.93309,1.26226,-0.61058,2,2,1,2,2,2,2,2,2,2
-0.05296,0.91745,0.28070,-1.39713,0.71054,1.16410,-0.79211,1.75553,0.67764,1.25879,1.05888,-0.32546,-0.26963,-1.05373,-1.13235,-0.19133,2,2,2,2,2,2,2,2,2,1
1.78604,0.23922,-0.02299,-0.04040,0.38796,-0.94727,1.07204,-1.48796,-1.66596,-0.97961,-0.20158,0.67011,1.11829,1.96236,-1.06051,1.37388,2,2,2,2,2,2,2,2,1,2
0.18056,0.48585,-1.54142,-1.24059,0.73986,0.12694,1.23557,-0.51826,-1.10936,-1.23648,-1.22067,0.30138,-1.29938,1.75123,1.26226,1.98878,2,2,2,2,2,1,2,2,2,2
0.18056,0.91745,-1.16181,-0.87531,-1.25424,-1.83627,0.15632,-1.48796,1.26354,-0.09893,0.81752,1.62882,-0.76212,1.81156,-1.13235,0.89872,1,2,2,2,2,2,2,2,2,2
-0.75353,-1.05560,-0.97201,-2.80605,-0.22787,-2.42893,1.13745,-0.85264,1.26354,0.81845,0.62979,2.03442,-0.98598,1.96236,-1.13235,1.23413,1,2,2,2,2,2,2,2,2,2
0.29732,-0.13073,-1.23773,-1.39713,-1.45952,-1.79923,-0.00720,-1.48796,1.05847,-0.20901,1.05888,1.29696,0.26763,1.96236,-0.94078,1.59748,1,2,2,2,2,2,2,2,2,2
-0.66596,0.91745,-1.54142,-0.30131,-1.31289,-0.42869,-0.33425,-0.41794,1.05847,0.19463,1.05888,0.48575,1.61078,-0.32987,0.99885,-0.80623,2,2,2,2,1,2,2,2,2,2
-0.49082,0.48585,-1.54142,0.58579,0.00673,1.16410,1.59531,1.85584,0.29680,1.73583,-0.46976,0.78073,-1.20983,-0.20923,-0.41397,-0.80623,2,2,2,2,2,2,2,1,2,2
0.38490,0.36253,1.19175,0.84670,1.09176,0.16398,0.18902,-0.05012,1.26354,0.41480,0.79070,-0.73107,-0.53826,-1.05373,-1.13235,-0.47083,2,2,2,1,2,2,2,2,2,2
