A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,L1,L2,L3,L4
-0.43478,-0.76923,-0.16667,-0.65939,-0.69231,-0.73585,-0.72549,0.37143,-0.83333,-0.65714,-0.75789,-0.80336,-0.77358,-0.81579,-0.81818,-0.51220,0.20000,0.40000,1,2,2,2
-0.26087,-0.92308,-0.27778,-0.72052,-0.82418,-0.84906,-0.85621,0.60000,-1.00000,-1.00000,-0.81053,-0.90408,-0.88679,-0.84211,-0.54545,0.26829,0.33333,0.40000,2,1,3,2
-0.34783,0.00000,-0.05556,-0.41485,-0.53846,-0.84906,-0.47712,-0.02857,-0.66667,-0.14286,-0.47368,-0.60432,0.04403,-0.68421,-0.54545,-0.46341,-0.13333,-0.06667,2,2,1,2
-0.30435,-0.30769,0.25000,-0.65066,-0.75824,-0.69811,-0.47712,0.02857,-0.66667,-0.25714,-0.54737,-0.61391,-0.34591,-0.65789,-0.27273,-0.36585,-0.26667,0.06667,1,2,2,2
-0.08696,0.23077,0.08333,-0.13537,-0.47253,-0.88679,-0.18954,-0.37143,-0.33333,0.02857,-0.30526,-0.32614,0.22013,-0.68421,-0.45455,-0.90244,0.40000,0.20000,2,2,1,2
0.00000,0.69231,0.75000,-0.15284,-0.60440,-0.73585,0.20261,-0.65714,0.00000,0.37143,0.02105,0.05516,0.72327,-0.60526,-0.45455,-0.90244,-0.33333,-0.13333,2,2,2,1
-0.30435,-0.76923,-0.69444,-0.95633,-0.89011,-0.84906,-0.92157,0.77143,-1.00000,-0.68571,-0.92632,-0.94724,-0.79874,-0.44737,-0.81818,-0.31707,-0.66667,-0.73333,1,2,2,2
0.13043,-0.38462,0.02778,-0.18777,-0.51648,-0.84906,-0.15033,-0.42857,-0.33333,-0.40000,-0.24211,-0.27818,-0.47170,-0.65789,-0.63636,-0.51220,0.46667,0.20000,2,2,1,2
0.34783,0.61538,0.66667,-0.28384,-0.69231,-0.69811,0.35948,-0.71429,0.16667,0.57143,0.00000,0.20384,0.39623,-0.60526,-0.54545,-0.46341,-0.40000,-0.06667,3,1,3,2
0.21739,0.76923,0.66667,-0.03057,-0.51648,-0.69811,0.25490,-0.65714,0.16667,0.45714,0.02105,0.11990,0.43396,-0.60526,-0.45455,-0.75610,-0.33333,-0.20000,2,2,2,1
-0.52174,0.07692,-0.02778,-0.57205,-0.62637,-0.84906,-0.45098,-0.02857,-0.66667,-0.22857,-0.52632,-0.59233,-0.05660,-0.57895,-1.00000,-0.85366,-0.40000,-0.26667,2,2,1,2
-0.52174,-0.69231,-0.63889,-0.85153,-0.73626,-0.88679,-0.85621,0.65714,-1.00000,-0.80000,-0.88421,-0.91127,-0.69811,-0.39474,-0.36364,-0.95122,-0.80000,-0.86667,1,2,2,2
-0.08696,-0.23077,-0.33333,-0.39738,-0.51648,-0.81132,-0.50327,-0.02857,-0.66667,-0.31429,-0.58947,-0.61631,-0.14465,-0.76316,-0.18182,-0.95122,0.53333,0.66667,2,2,1,2
-0.39130,-0.53846,-0.16667,-0.61572,-0.69231,-0.81132,-0.59477,0.14286,-0.83333,-0.48571,-0.64211,-0.70504,-0.59748,-0.73684,-0.90909,-0.90244,0.06667,0.20000,2,2,1,2
0.13043,0.53846,0.80556,0.00437,-0.58242,-0.66038,0.20261,-0.65714,0.00000,0.34286,-0.04211,0.05276,0.44654,-0.76316,-1.00000,-0.70732,0.00000,0.33333,2,1,2,2
-0.47826,-0.07692,0.11111,-0.56332,-0.62637,-0.73585,-0.54248,0.08571,-0.66667,-0.14286,-0.58947,-0.66427,-0.18239,-0.68421,-0.90909,-0.80488,-0.20000,0.20000,1,2,2,2
-0.56522,-0.76923,-0.61111,-0.86900,-0.78022,-0.84906,-0.79085,0.54286,-0.83333,-0.80000,-0.86316,-0.87050,-0.62264,-0.39474,-0.45455,-0.85366,-0.80000,-0.86667,2,1,2,2
0.47826,0.61538,0.61111,-0.13537,-0.60440,-0.66038,0.38562,-0.71429,0.33333,0.40000,0.04211,0.22782,0.34591,-0.65789,-0.90909,0.36585,-0.26667,0.20000,3,1,3,2
0.26087,-0.07692,0.25000,-0.22271,-0.62637,-0.84906,0.04575,-0.60000,-0.16667,-0.20000,-0.08421,-0.07434,-0.32075,-0.55263,-0.45455,-0.65854,0.26667,-0.20000,2,2,1,2
-0.69565,-0.61538,-0.36111,-0.78166,-0.82418,-0.81132,-0.55556,0.14286,-0.66667,-0.65714,-0.60000,-0.68825,-0.38365,-0.36842,-0.18182,-0.02439,-0.73333,-0.73333,2,1,2,2
-0.30435,-0.23077,0.25000,-0.51092,-0.62637,-0.66038,-0.43791,-0.02857,-0.66667,-0.05714,-0.54737,-0.58753,-0.18239,-0.65789,-0.54545,-0.56098,-0.40000,0.00000,1,2,2,2
-0.34783,-0.30769,0.02778,-0.58952,-0.75824,-0.77358,-0.63399,0.20000,-0.83333,-0.31429,-0.63158,-0.73861,-0.38365,-0.86842,-0.09091,-0.46341,0.46667,0.60000,2,1,2,2
-0.13043,-0.84615,-0.27778,-0.56332,-0.73626,-0.84906,-0.60784,0.14286,-0.83333,-0.71429,-0.66316,-0.71223,-0.86164,-0.86842,-0.54545,-0.36585,0.40000,0.40000,2,2,2,1
0.21739,0.15385,0.86111,0.03057,-0.53846,-0.69811,0.25490,-0.65714,0.16667,0.02857,0.07368,0.09592,0.19497,-0.71053,-0.54545,0.85366,-0.06667,0.40000,3,2,3,1
-0.39130,-0.61538,0.25000,-0.36245,-0.69231,-0.77358,-0.32026,-0.20000,-0.50000,-0.68571,-0.41053,-0.47722,-0.73585,-0.89474,-0.90909,0.21951,0.46667,0.60000,2,2,2,1
0.17391,0.00000,0.38889,-0.40611,-0.56044,-0.73585,-0.41176,-0.02857,-0.50000,-0.08571,-0.57895,-0.57074,-0.05660,-0.78947,0.54545,-0.65854,0.06667,0.26667,1,2,2,2
-0.60870,-0.15385,-0.11111,-0.87773,-0.89011,-0.81132,-0.47712,0.02857,-0.66667,-0.17143,-0.53684,-0.62590,-0.14465,-0.39474,-0.81818,-0.90244,-0.73333,-0.73333,2,2,1,2
-0.26087,0.15385,0.27778,0.76419,0.73626,0.77358,-0.46405,0.02857,-0.66667,0.08571,0.49474,-0.61151,0.14465,0.55263,-1.00000,-0.26829,-0.40000,-0.13333,1,2,2,2
0.43478,0.53846,0.61111,-0.37118,-0.84615,-0.69811,0.35948,-0.71429,0.16667,0.51429,0.10526,0.21583,0.37107,-0.60526,-0.90909,-0.56098,-0.26667,0.06667,3,1,3,2
-0.65217,-0.07692,-0.22222,-0.43231,-0.42857,-0.84906,-0.49020,0.02857,-0.66667,-0.20000,-0.54737,-0.63549,-0.03145,-0.57895,-0.36364,-1.00000,-0.53333,-0.46667,2,2,1,2
-0.04348,0.15385,0.77778,-0.03930,-0.56044,-0.73585,0.21569,-0.65714,0.00000,-0.05714,0.02105,0.06475,0.16981,-0.60526,-0.54545,-0.56098,-0.33333,-0.20000,2,2,2,1
-0.34783,-0.69231,-0.69444,-0.99127,-0.89011,-0.88679,-0.90850,0.77143,-1.00000,-0.71429,-0.94737,-0.94484,-0.79874,-0.28947,-0.27273,-0.21951,-0.80000,-0.86667,1,2,2,2
-0.08696,0.23077,0.30556,-0.71179,-0.84615,-0.66038,-0.39869,-0.02857,-0.50000,0.25714,-0.49474,-0.56355,-0.03145,-0.57895,-0.54545,-0.75610,-0.53333,-0.13333,1,2,2,2
-0.13043,-0.69231,0.00000,-0.31004,-0.64835,-0.77358,-0.32026,-0.20000,-0.50000,-0.54286,-0.35789,-0.47002,-0.62264,-0.78947,-0.63636,-0.65854,0.06667,0.06667,3,1,3,2
1.00000,0.61538,0.83333,0.01310,-0.60440,-0.62264,0.32026,-0.71429,0.16667,0.40000,-0.02105,0.17746,0.54717,-0.81579,0.81818,-0.95122,0.06667,0.40000,2,1,2,2
-0.13043,0.00000,0.16667,-0.64192,-0.75824,-0.66038,-0.38562,-0.02857,-0.50000,0.20000,-0.47368,-0.55156,0.00629,-0.52632,-0.81818,-0.80488,-0.53333,-0.13333,1,2,2,2
-0.21739,-0.23077,-0.16667,-0.74672,-0.82418,-0.77358,-0.76471,0.42857,-0.83333,-0.20000,-0.69474,-0.83453,-0.40881,-0.71053,-0.90909,-0.60976,-0.06667,-0.13333,1,2,2,2
-0.47826,-0.30769,-0.27778,-0.84279,-0.84615,-0.84906,-0.52941,0.14286,-0.66667,-0.34286,-0.55789,-0.68106,-0.18239,-0.23684,-0.45455,-0.31707,-0.73333,-0.93333,2,2,1,2
-0.30435,0.07692,0.13889,-0.62445,-0.62637,-0.66038,-0.42484,0.02857,-0.50000,0.28571,-0.57895,-0.59712,-0.00629,-0.55263,-0.45455,-0.36585,-0.46667,-0.20000,1,2,2,2
-0.21739,-0.07692,0.08333,-0.37118,-0.73626,-0.73585,-0.33333,-0.20000,-0.50000,-0.14286,-0.43158,-0.47242,-0.11950,-0.92105,-1.00000,-0.51220,0.53333,0.80000,2,1,2,2
-0.78261,-0.61538,-0.36111,-0.90393,-0.91209,-0.84906,-0.60784,0.20000,-0.66667,-0.65714,-0.66316,-0.72422,-0.53459,-0.52632,-0.81818,-0.80488,-0.66667,-0.73333,2,1,2,2
-0.17391,-0.61538,-0.13889,-0.38865,-0.58242,-0.81132,-0.45098,-0.02857,-0.66667,-0.57143,-0.46316,-0.58993,-0.73585,-0.71053,-0.63636,0.17073,-0.13333,-0.06667,2,1,2,2
0.08696,0.69231,0.69444,0.08297,-0.49451,-0.73585,0.28105,-0.71429,0.16667,0.42857,0.11579,0.14388,0.71069,-0.65789,-0.90909,-0.70732,-0.20000,0.06667,3,2,3,1
0.21739,-0.30769,-0.38889,-0.37991,-0.56044,-0.84906,-0.51634,-0.02857,-0.66667,-0.40000,-0.58947,-0.62350,-0.29560,-0.84211,-0.36364,-0.46341,0.73333,0.86667,2,2,1,2
0.21739,0.76923,0.77778,-0.29258,-0.86813,-0.84906,0.89542,-1.00000,0.83333,0.42857,0.52632,0.85132,0.52201,-0.36842,-0.54545,0.26829,-0.73333,-0.80000,2,2,1,2
-0.08696,-0.76923,-0.27778,-0.58952,-0.69231,-0.77358,-0.72549,0.37143,-0.83333,-0.51429,-0.74737,-0.80576,-0.87421,-0.92105,-0.18182,-0.85366,0.66667,0.80000,1,2,2,2
0.04348,-0.15385,0.55556,-0.20524,-0.64835,-0.73585,-0.04575,-0.42857,-0.16667,-0.25714,-0.24211,-0.21343,-0.29560,-0.81579,-0.63636,-0.60976,0.00000,0.20000,3,1,3,2
-0.30435,0.07692,0.22222,-0.74672,-0.82418,-0.66038,-0.41176,0.02857,-0.50000,0.20000,-0.58947,-0.59233,-0.15723,-0.60526,-0.54545,-0.56098,-0.60000,-0.26667,1,2,2,2
0.47826,0.53846,0.75000,0.02183,-0.58242,-0.66038,0.26797,-0.65714,0.16667,0.28571,-0.03158,0.12470,0.29560,-0.81579,-1.00000,-0.95122,0.00000,0.33333,2,1,2,1
-0.47826,-0.53846,-0.22222,-0.86900,-0.89011,-0.88679,-0.79085,0.54286,-0.83333,-0.51429,-0.81053,-0.86331,-0.58491,-0.57895,-0.27273,-0.60976,-0.60000,-0.60000,1,2,2,2
0.30435,0.30769,0.61111,-0.05677,-0.64835,-0.73585,0.05882,-0.54286,-0.16667,0.22857,-0.11579,-0.08153,-0.04403,-0.86842,-0.54545,-0.75610,0.46667,0.53333,2,2,2,1
-0.82609,-0.61538,-0.36111,-0.72926,-0.73626,-0.88679,-0.76471,0.48571,-0.83333,-0.65714,-0.84211,-0.84892,-0.62264,-0.47368,0.18182,0.02439,-0.53333,-0.60000,3,2,3,1
0.00000,-0.46154,-0.16667,-0.86026,-0.93407,-0.77358,-0.67320,0.37143,-0.83333,-0.34286,-0.66316,-0.79616,-0.62264,-0.44737,-0.09091,-0.36585,-0.53333,-0.86667,1,2,2,2
-0.56522,-0.30769,-0.27778,-0.54585,-0.56044,-0.81132,-0.50327,0.08571,-0.66667,-0.25714,-0.53684,-0.64269,-0.37107,-0.50000,-0.63636,-0.90244,-0.60000,-0.53333,2,2,1,2
-0.13043,-0.07692,0.27778,-0.15284,-0.51648,-0.81132,-0.05882,-0.48571,-0.16667,-0.22857,-0.23158,-0.18705,-0.06918,-0.65789,-1.00000,-0.80488,0.20000,0.06667,2,2,1,2
-0.30435,-0.38462,-0.02778,-0.65939,-0.80220,-0.81132,-0.55556,0.14286,-0.66667,-0.45714,-0.57895,-0.68106,-0.40881,-0.55263,0.63636,-0.75610,-0.46667,-0.53333,2,2,2,1
-0.65217,-0.23077,-0.22222,-0.81659,-0.78022,-0.77358,-0.51634,0.14286,-0.66667,-0.20000,-0.58947,-0.66667,-0.20755,-0.36842,-0.45455,-0.12195,-0.80000,-0.80000,2,2,1,2
0.08696,0.69231,0.69444,0.00437,-0.51648,-0.66038,0.47712,-0.77143,0.33333,0.71429,0.06316,0.35252,0.34591,-0.60526,-0.45455,-0.31707,-0.26667,-0.06667,2,2,2,1
-0.43478,-0.15385,0.05556,-0.47598,-0.53846,-0.73585,-0.60784,0.14286,-0.83333,-0.17143,-0.60000,-0.70983,-0.22013,-0.71053,-0.90909,-0.46341,-0.06667,0.33333,1,2,2,2
0.08696,0.23077,0.22222,0.00437,-0.40659,-0.81132,0.01961,-0.54286,-0.16667,0.02857,-0.17895,-0.10312,0.25786,-0.60526,-0.63636,-0.65854,0.26667,-0.06667,2,2,1,2
0.00000,0.69231,0.61111,-0.50218,-0.84615,-0.69811,0.34641,-0.71429,0.16667,0.62857,0.01053,0.19664,0.40881,-0.55263,-0.72727,-0.70732,-0.40000,-0.20000,2,2,2,1
0.04348,1.00000,0.88889,0.07424,-0.49451,-0.66038,0.46405,-0.77143,0.33333,0.94286,0.00000,0.31415,0.37107,-0.71053,-0.09091,0.21951,-0.33333,0.13333,2,2,2,1
-0.17391,-0.53846,0.41667,-0.24017,-0.67033,-0.77358,-0.16340,-0.37143,-0.33333,-0.45714,-0.30526,-0.32374,-0.47170,-0.78947,-0.72727,0.12195,0.06667,0.26667,3,2,3,1
-1.00000,-0.69231,-0.63889,-0.93886,-0.84615,-0.84906,-0.81699,0.65714,-0.83333,-0.71429,-0.94737,-0.89688,-0.52201,-0.39474,-0.90909,-0.26829,-1.00000,-0.80000,2,2,2,1
-0.30435,-0.30769,0.36111,-0.62445,-0.69231,-0.66038,-0.49020,0.02857,-0.66667,-0.22857,-0.57895,-0.63070,-0.32075,-0.65789,0.00000,0.12195,-0.26667,0.20000,1,2,2,2
0.21739,0.53846,0.75000,-0.13537,-0.64835,-0.73585,0.08497,-0.54286,-0.16667,0.25714,-0.15789,-0.07194,0.27044,-0.76316,-0.54545,-0.75610,0.00000,0.13333,3,2,3,1
-0.21739,-0.53846,0.19444,-0.42358,-0.71429,-0.77358,-0.21569,-0.31429,-0.33333,-0.54286,-0.29474,-0.37410,-0.45912,-0.65789,-1.00000,-0.51220,-0.20000,-0.13333,2,1,2,2
-0.43478,-0.46154,-0.38889,-0.68559,-0.67033,-0.81132,-0.50327,0.08571,-0.66667,-0.57143,-0.63158,-0.64988,-0.19497,-0.39474,-0.81818,-0.85366,-0.73333,-0.73333,2,1,2,2
0.34783,0.46154,0.50000,-0.09170,-0.58242,-0.88679,0.25490,-0.71429,0.16667,0.22857,0.02105,0.15588,0.37107,-0.55263,0.00000,-0.80488,0.13333,-0.33333,2,2,1,2
-0.30435,-0.15385,-0.22222,-0.92140,-0.93407,-0.81132,-0.50327,0.08571,-0.66667,-0.17143,-0.56842,-0.65468,0.00629,-0.23684,-0.45455,-0.75610,-0.80000,-0.93333,2,2,1,2
-0.39130,0.00000,-0.13889,-0.51965,-0.58242,-0.84906,-0.49020,0.02857,-0.66667,-0.20000,-0.52632,-0.61871,0.00629,-0.63158,-0.81818,-1.00000,-0.33333,-0.40000,2,2,1,2
0.13043,0.38462,0.44444,-0.13537,-0.60440,-0.88679,0.26797,-0.71429,0.16667,0.17143,0.07368,0.16787,0.32075,-0.50000,-0.54545,-0.46341,0.00000,-0.46667,2,2,1,2
-0.08696,-0.76923,-0.22222,-0.79913,-0.84615,-0.81132,-0.80392,0.48571,-0.83333,-0.60000,-0.73684,-0.86091,-0.91195,-0.81579,-0.90909,-0.90244,0.26667,0.00000,1,2,2,2
-0.73913,-0.46154,0.11111,-0.74672,-0.82418,-0.81132,-0.54248,0.20000,-0.66667,-0.51429,-0.55789,-0.69544,-0.55975,-0.55263,-0.27273,0.46341,-0.66667,-0.20000,3,2,3,1
-0.30435,-0.46154,0.00000,-0.26638,-0.36264,-0.81132,-0.50327,0.02857,-0.66667,-0.48571,-0.53684,-0.62110,-0.50943,-0.65789,-0.72727,-0.60976,0.13333,0.06667,2,2,1,2
0.60870,0.92308,0.83333,-0.33624,-0.91209,-0.84906,0.94771,-1.00000,0.83333,0.51429,0.55789,0.95204,0.86164,-0.36842,-0.18182,-0.36585,-0.66667,-0.93333,2,2,1,2
-0.30435,-0.38462,0.22222,-0.67686,-0.75824,-0.73585,-0.51634,0.08571,-0.66667,-0.22857,-0.55789,-0.64988,-0.33333,-0.65789,-0.63636,-0.12195,-0.20000,0.26667,1,2,2,2
-0.43478,-0.69231,-0.44444,-0.90393,-0.84615,-0.88679,-0.90850,0.71429,-1.00000,-0.60000,-0.88421,-0.94005,-0.74843,-0.65789,-0.81818,-0.60976,-0.33333,-0.40000,1,2,2,2
-0.21739,-0.30769,0.22222,-0.08297,-0.38462,-0.84906,-0.22876,-0.31429,-0.50000,-0.42857,-0.37895,-0.37170,-0.34591,-0.73684,-0.72727,-0.41463,0.33333,0.33333,2,2,1,2
-0.69565,-0.69231,-0.52778,-0.89520,-0.82418,-0.84906,-0.83007,0.60000,-0.83333,-0.80000,-0.87368,-0.89209,-0.71069,-0.42105,-0.27273,-0.75610,-0.86667,-0.80000,2,2,2,1
0.34783,0.69231,0.86111,0.03057,-0.53846,-0.66038,0.38562,-0.71429,0.16667,0.57143,0.07368,0.24460,0.50943,-0.68421,-0.72727,-0.51220,-0.20000,0.20000,3,1,3,2
-0.08696,-0.61538,0.22222,-0.52838,-0.82418,-0.73585,-0.25490,-0.25714,-0.50000,-0.65714,-0.30526,-0.41007,-0.42138,-0.73684,-0.18182,-0.26829,-0.06667,-0.06667,3,2,3,1
0.34783,0.46154,0.66667,-0.24017,-0.73626,-0.73585,0.11111,-0.60000,0.00000,0.14286,-0.07368,-0.04317,0.57233,-0.71053,-0.09091,-0.51220,0.00000,0.13333,3,1,3,2
-0.08696,0.15385,0.30556,-0.49345,-0.62637,-0.69811,-0.41176,-0.02857,-0.50000,0.22857,-0.48421,-0.57074,-0.03145,-0.57895,-0.63636,-0.26829,-0.46667,-0.06667,1,2,2,2
-0.52174,-0.07692,-0.27778,-0.56332,-0.60440,-0.84906,-0.56863,0.14286,-0.66667,-0.25714,-0.60000,-0.69305,-0.14465,-0.63158,-0.81818,-0.85366,-0.46667,-0.53333,2,2,1,2
0.04348,0.30769,0.88889,-0.06550,-0.60440,-0.69811,0.33333,-0.71429,0.16667,0.08571,0.07368,0.19664,0.37107,-0.65789,-0.36364,0.41463,-0.20000,0.06667,3,2,3,1
-0.30435,-0.30769,0.11111,-0.58952,-0.67033,-0.84906,-0.58170,0.14286,-0.66667,-0.40000,-0.62105,-0.70264,-0.23270,-0.60526,0.54545,-0.36585,-0.40000,-0.46667,2,1,2,2
-0.43478,-0.23077,-0.22222,-0.58079,-0.67033,-0.81132,-0.50327,0.02857,-0.66667,-0.31429,-0.48421,-0.63309,-0.30818,-0.57895,-0.63636,-0.56098,-0.20000,-0.26667,2,2,1,2
-0.04348,0.00000,0.80556,0.00437,-0.53846,-0.73585,0.16340,-0.60000,0.00000,-0.14286,-0.02105,0.00240,0.15723,-0.73684,-0.54545,0.85366,0.00000,0.40000,2,2,2,1
-0.39130,-0.15385,-0.30556,-0.82533,-0.80220,-0.84906,-0.51634,0.14286,-0.66667,-0.25714,-0.57895,-0.67146,-0.22013,-0.26316,-0.63636,-0.41463,-0.80000,-0.93333,2,2,1,2
-0.60870,-0.07692,-0.27778,0.29258,0.73626,0.88679,-0.52941,0.08571,-0.66667,-0.25714,0.12632,-0.65947,-0.04403,0.57895,-0.90909,-0.95122,-0.66667,-0.73333,2,2,1,2
-0.04348,-0.30769,0.25000,-0.38865,-0.58242,-0.73585,-0.46405,0.02857,-0.66667,-0.25714,-0.60000,-0.60911,-0.48428,-0.84211,0.00000,-0.75610,0.33333,0.53333,1,2,2,2
-0.08696,-0.30769,-0.22222,-0.59825,-0.62637,-0.81132,-0.79085,0.48571,-0.83333,-0.28571,-0.74737,-0.85132,-0.37107,-0.73684,0.27273,-0.75610,0.06667,0.00000,1,2,2,2
-0.17391,-0.61538,-0.44444,-0.77293,-0.67033,-0.88679,-0.97386,0.82857,-1.00000,-0.60000,-0.94737,-0.97602,-0.64780,-0.65789,0.27273,-0.75610,-0.06667,-0.13333,1,2,2,2
0.26087,-0.07692,0.19444,-0.17904,-0.60440,-0.88679,0.07190,-0.60000,-0.16667,-0.20000,0.00000,-0.05995,-0.27044,-0.47368,-1.00000,0.31707,0.13333,-0.33333,2,2,1,2
0.52174,0.53846,0.75000,-0.14410,-0.62637,-0.69811,0.41176,-0.77143,0.33333,0.42857,-0.01053,0.26379,0.32075,-0.63158,0.00000,-0.51220,-0.20000,0.20000,2,1,2,2
0.13043,0.00000,0.80556,-0.08297,-0.62637,-0.66038,0.11111,-0.54286,0.00000,-0.02857,-0.13684,-0.06235,-0.37107,-0.84211,-1.00000,0.60976,0.20000,0.60000,3,2,3,1
-0.47826,-0.53846,0.02778,-0.58952,-0.73626,-0.77358,-0.50327,0.08571,-0.66667,-0.54286,-0.51579,-0.64748,-0.69811,-0.63158,-1.00000,-0.21951,-0.46667,-0.20000,2,2,2,1
-0.69565,-0.15385,-0.22222,-0.72926,-0.73626,-0.77358,-0.50327,0.08571,-0.66667,-0.22857,-0.57895,-0.65228,-0.19497,-0.44737,-0.36364,-0.41463,-0.73333,-0.73333,2,2,1,2
0.13043,0.15385,0.08333,-0.17031,-0.53846,-0.84906,-0.04575,-0.48571,-0.16667,0.00000,-0.24211,-0.18465,-0.22013,-0.60526,-0.54545,-0.60976,0.26667,-0.06667,2,2,1,2
-0.30435,-0.46154,0.02778,-0.51965,-0.60440,-0.73585,-0.58170,0.14286,-0.66667,-0.34286,-0.60000,-0.68825,-0.57233,-0.71053,-1.00000,-0.75610,-0.06667,0.26667,1,2,2,2
-0.08696,0.15385,0.19444,-0.49345,-0.62637,-0.69811,-0.42484,-0.02857,-0.66667,0.00000,-0.50526,-0.58513,-0.01887,-0.60526,-0.63636,-0.31707,-0.40000,0.00000,1,2,2,2
-0.82609,-0.61538,-0.02778,-0.65066,-0.73626,-0.84906,-0.54248,0.14286,-0.66667,-0.60000,-0.61053,-0.68585,-0.66038,-0.44737,0.45455,-0.02439,-0.66667,-0.60000,2,2,2,1
-0.34783,-0.84615,-0.72222,-0.85153,-0.75824,-0.88679,-0.97386,0.88571,-1.00000,-0.88571,-0.97895,-0.98082,-0.63522,-0.60526,0.90909,-0.80488,-0.60000,-0.60000,2,2,2,1
-0.13043,-0.23077,0.25000,-0.74672,-0.84615,-0.69811,-0.43791,0.02857,-0.66667,0.00000,-0.53684,-0.59952,-0.29560,-0.57895,0.09091,-0.36585,-0.46667,0.00000,1,2,2,2
-0.04348,0.07692,0.33333,-0.49345,-0.62637,-0.66038,-0.38562,-0.02857,-0.50000,0.11429,-0.51579,-0.55156,-0.04403,-0.68421,0.09091,-0.36585,-0.13333,0.13333,1,2,2,2
0.17391,-0.07692,0.66667,-0.08297,-0.60440,-0.77358,0.16340,-0.65714,0.00000,-0.17143,0.06316,0.02398,0.00629,-0.65789,-0.54545,-0.75610,-0.13333,-0.06667,2,2,2,1
0.56522,0.53846,0.91667,0.02183,-0.51648,-0.62264,0.42484,-0.71429,0.33333,0.45714,0.01053,0.26619,0.29560,-0.65789,0.18182,0.36585,-0.20000,0.33333,2,1,2,2
-0.47826,-0.23077,-0.33333,-0.79039,-0.80220,-0.77358,-0.50327,0.14286,-0.66667,-0.25714,-0.60000,-0.66427,-0.19497,-0.39474,-0.18182,-0.31707,-0.73333,-0.80000,2,2,1,2
-0.13043,0.23077,0.08333,-0.33624,-0.60440,-0.81132,-0.20261,-0.37143,-0.33333,0.14286,-0.37895,-0.33094,0.06918,-0.71053,-0.54545,-0.51220,0.40000,0.40000,2,2,1,2
-0.30435,-0.69231,-0.61111,-0.86900,-0.86813,-0.88679,-0.71242,0.37143,-0.83333,-0.74286,-0.77895,-0.80336,-0.53459,-0.47368,0.45455,-0.31707,-0.46667,-0.73333,2,1,2,2
-0.26087,0.15385,0.05556,-0.66812,-0.73626,-0.66038,-0.37255,-0.02857,-0.50000,0.20000,-0.54737,-0.55396,-0.04403,-0.55263,-0.09091,-0.46341,-0.53333,-0.26667,1,2,2,2
-0.17391,-0.46154,0.16667,-0.48472,-0.64835,-0.73585,-0.55556,0.08571,-0.66667,-0.37143,-0.63158,-0.67626,-0.64780,-0.86842,-0.18182,-1.00000,0.53333,0.66667,1,2,2,2
-0.26087,-0.76923,-0.52778,-0.77293,-0.78022,-0.84906,-0.88235,0.71429,-1.00000,-0.74286,-0.92632,-0.92326,-0.71069,-0.76316,1.00000,0.12195,-0.06667,-0.06667,2,1,2,2
