A1,A2,A3,A4,A5,A6,A7,A8,A9,L1,L2,L3,L4,L5
-1.230195,-0.198217,1.15566,0.721587,-1.464737,-0.859661,1.167971,1.432018,-0.309306,5,4,2,1,3
-0.883185,1.6261,-1.054513,1.617747,-0.759277,-1.457638,1.095148,-1.555331,0.599926,3,4,1,5,2
0.962905,0.59602,0.299436,0.974173,0.191711,-1.680141,-1.557666,-1.250711,1.373814,2,5,4,3,1
0.084971,1.411067,-0.473254,0.721587,-0.199059,0.2459,1.584098,-1.122632,-0.423827,3,2,1,5,4
1.021897,1.497774,-0.92225,-0.939251,-0.32701,-0.984819,0.661682,0.313926,-0.656341,3,5,1,2,4
-0.831134,-0.97858,0.372528,0.977633,-0.036526,-0.720597,1.487002,-1.468791,0.082844,3,4,1,5,2
-1.528623,-1.276853,-0.382759,-0.953091,-1.243416,0.162461,1.008455,1.220861,-1.2463,4,3,2,1,5
0.05721,1.012214,1.315767,0.662765,0.845299,-0.303404,-1.408554,1.286631,0.169603,2,4,5,1,3
1.424427,-0.132319,-0.055584,0.112613,0.599771,0.228517,-0.427186,1.203553,0.450701,2,4,5,1,3
-1.278776,0.242255,-1.232022,-1.382141,-0.766193,0.527505,1.157567,0.442004,0.225128,5,2,1,3,4
-1.653546,-0.260646,0.515232,-0.569022,1.481596,-0.918764,-0.739282,0.455851,1.193356,1,5,4,3,2
0.719998,-1.068756,-0.03122,-0.285296,-0.015777,-1.687094,-0.472266,-0.264159,0.207776,2,5,4,3,1
-1.143442,-0.669903,1.249636,0.510522,0.00843,0.485786,-1.65823,-0.426854,1.484865,3,2,5,4,1
1.049657,0.148612,1.604656,-1.548224,1.471222,-0.105238,0.335715,0.026614,1.647971,2,5,3,4,1
1.691625,0.543996,-0.946614,0.354819,-0.164477,-1.468067,-0.94041,-0.728012,0.745681,2,5,4,3,1
0.556904,1.508179,0.320319,-0.264535,-1.544274,0.39887,-0.316218,-0.233005,1.259292,5,2,4,3,1
1.184991,0.922039,-1.715824,-0.721266,1.471222,0.920362,1.265067,-1.088017,-1.339999,1,3,2,4,5
1.452188,-0.31267,-0.243536,1.008773,-0.980598,0.948174,0.748375,1.338555,-1.04502,4,2,3,1,5
0.699178,-1.041009,1.200908,1.261359,-0.887228,-1.158649,0.370392,1.186245,1.585505,4,5,3,2,1
-0.654159,-0.923088,0.724068,-0.679745,1.08391,0.986417,-0.912668,-0.953015,1.342581,2,3,4,5,1
0.740819,-1.172804,-0.887444,-0.101912,0.907545,-0.091331,-0.638717,0.805471,-0.715336,1,3,4,2,5
1.396667,1.567139,0.247227,1.652348,-0.302803,-0.797082,0.952971,0.403927,-0.389124,3,5,1,2,4
0.629776,0.356709,-0.441929,-0.91503,-0.264763,0.113789,-0.520814,-0.475316,1.269703,3,2,5,4,1
-0.303679,0.433011,-0.337512,-1.326779,-1.706807,-1.040445,-0.857184,1.570481,-1.183834,5,3,2,1,4
1.261333,-1.377433,-0.783027,1.31326,0.776136,0.61442,-0.236461,0.805471,1.717378,3,4,5,2,1
0.168253,-0.493021,-1.228542,-0.409859,0.374992,-0.028752,0.346118,-0.644934,-0.069852,1,3,2,5,4
-1.07404,1.560203,-0.250497,0.835769,-0.081482,0.927315,0.751843,0.365849,-1.433699,4,1,2,3,5
-0.046892,1.369447,-1.145008,1.534705,0.21246,1.546151,-0.579766,-1.679948,0.426408,3,1,4,5,2
-0.949117,0.505845,-1.09976,0.109153,1.370936,0.896025,0.131119,0.805471,-0.500175,1,2,4,3,5
1.417487,1.42494,-1.332959,-0.4583,-0.610577,-0.077425,-0.087348,-0.561856,-0.187843,5,1,2,4,3
0.331348,-0.638689,1.733438,-0.254155,-1.167337,-1.207322,-0.156703,1.708945,-0.899265,4,5,2,1,3
0.598545,-0.773952,0.950306,-0.444459,0.644727,-1.172556,1.320551,-1.482637,-1.64192,2,3,1,4,5
-1.07057,0.571742,-0.222652,-1.209137,0.893713,1.184584,1.126358,0.916241,-0.777803,4,1,2,3,5
0.928204,-0.607474,-0.783027,0.365199,0.423406,-0.897904,-0.933474,-0.146465,-1.357351,1,3,4,2,5
1.108649,0.734751,-0.086909,-1.690087,0.848757,-1.402012,1.247728,-0.859552,-1.575983,2,4,1,3,5
-1.226725,0.415669,1.611617,-0.337197,-1.316037,0.739578,-1.630488,-1.645332,-0.15314,3,1,4,5,2
0.924734,-0.971644,-0.97794,-0.157273,-0.890686,-0.393796,0.606198,-0.52724,0.450701,5,3,1,4,2
0.40422,-0.014398,0.254188,0.320218,-1.578855,-0.925717,1.38297,-0.579163,-0.045559,5,4,1,3,2
-1.448811,1.407598,0.612689,1.541625,0.710431,-0.487664,-1.103393,1.556635,-0.763921,2,3,5,1,4
-1.663956,-0.871064,0.73799,1.091815,-1.367909,1.466189,0.470957,-1.354559,-1.305296,5,1,2,4,3
1.601402,1.109326,-1.472183,-1.323319,-1.485486,1.504431,1.424583,-0.838782,1.491806,5,1,3,4,2
-1.532093,-1.131185,1.364496,1.448203,1.543843,-0.355553,-1.699843,0.95778,1.741671,2,4,5,3,1
0.591605,1.418003,-0.692531,1.638507,-0.610577,1.560057,-0.538153,-1.337251,0.24595,4,1,3,5,2
1.202341,1.338233,-1.305115,-1.655487,-0.496459,1.17763,-1.46057,-1.171095,-1.482284,2,1,4,3,5
0.657537,-0.378567,0.891136,1.507025,1.339812,-1.169079,0.737972,1.279708,0.523578,1,5,3,2,4
-0.192636,0.155548,-0.097351,-1.36484,-0.980598,-0.574579,-1.044442,-1.171095,1.689616,3,2,4,5,1
-1.122622,-0.891873,-1.110202,-1.416741,-0.517207,-0.779699,-0.52775,-1.583023,0.700566,2,4,3,5,1
-1.44534,-1.412116,1.305326,1.282119,-1.423239,0.892549,0.581924,1.615482,1.540391,5,3,4,1,2
-0.997698,0.193699,0.612689,-0.89773,-0.254389,-1.363769,-0.489605,-1.018785,-1.402466,1,4,2,3,5
-0.237748,0.03069,0.612689,0.839229,-0.043443,-1.134313,0.228215,-0.624164,-0.836799,2,5,1,3,4
-0.671509,-1.672237,1.367976,0.129913,-1.015179,-1.308144,0.869746,-1.053401,0.853261,3,5,1,4,2
1.278684,-1.505759,-0.929211,-0.991152,-0.783484,-0.181723,0.66515,1.286631,1.613268,5,4,3,2,1
0.303587,1.50471,1.677748,0.614324,-0.219808,-0.459851,-1.079119,1.490865,0.412527,3,4,5,1,2
0.133552,0.426074,-0.400162,-1.555144,-1.661851,1.594823,-0.968152,-0.229543,1.717378,5,2,4,3,1
1.410547,-0.593601,-0.201769,1.032994,-1.710265,-1.398535,-0.652588,0.172001,-1.235889,5,4,2,1,3
0.001689,1.674656,-1.176333,0.780408,-1.565023,-0.689308,-0.194848,0.867779,0.946961,5,4,3,2,1
-1.04628,-0.343885,0.101042,-0.766247,-0.08494,-0.984819,-0.250331,0.853933,-0.756981,2,5,3,1,4
0.553434,1.487369,-0.410604,-1.479023,1.540384,1.41404,-0.982023,1.054705,0.846321,1,2,5,3,4
-0.348791,1.147477,-1.030148,-0.378718,-0.614035,1.521815,0.474424,-0.236466,-1.385114,4,1,2,3,5
0.671417,0.724347,0.602247,1.354781,-0.596744,-0.630205,1.670792,1.345478,-0.961731,3,4,1,2,5
-0.144055,-0.139256,0.219382,1.28904,-0.261305,0.221564,-1.266377,-0.970323,1.665323,3,2,5,4,1
-0.529236,-0.378567,0.692742,-1.247198,1.357103,0.558794,-0.624846,0.064691,1.470984,2,3,5,4,1
0.78593,-1.044478,-0.274861,1.199078,0.326578,1.292358,-1.672101,-0.92186,0.631159,3,1,5,4,2
0.76511,0.564806,0.261149,1.001853,0.333494,-0.571103,-1.540327,-0.153388,-0.722277,1,3,5,2,4
1.323795,-1.041009,-1.242464,0.956872,-1.001347,-0.668448,1.53555,-1.025708,1.214178,4,3,1,5,2
1.087828,-1.259511,-0.139118,-0.205714,-0.582912,0.172891,-1.013232,0.577006,-1.277533,3,2,4,1,5
0.216835,1.674656,0.181096,0.638545,1.405517,1.323648,-0.500008,1.103167,-0.198254,1,2,5,3,4
-1.677837,1.40413,0.247227,1.344401,-0.316635,-0.595439,0.952971,0.009306,0.714447,4,5,1,3,2
1.625693,0.207572,-0.219172,-0.164193,0.655101,-0.463328,0.706762,1.639713,0.433349,3,5,2,1,4
-0.456364,1.598354,-0.68557,-0.496361,1.08391,-1.388106,0.311441,-0.098003,0.613807,1,5,3,4,2
0.317467,1.033024,-1.353843,-1.555144,-0.838814,-1.384629,0.488295,1.359324,1.096186,4,5,3,1,2
0.563844,1.698934,0.156732,0.86691,-0.282054,0.158985,-0.923071,1.027012,0.988605,4,3,5,1,2
-1.681307,1.449218,1.058204,-1.184916,1.654503,-0.289498,-1.034039,-0.406084,-0.826388,1,2,5,3,4
0.480562,-1.58553,-0.428007,-1.212597,0.534066,-0.501571,-0.08388,-0.191466,-1.700916,1,4,2,3,5
1.368906,0.276938,1.573331,0.531283,0.447613,-0.873568,0.311441,0.338157,-1.114427,1,4,3,2,5
-1.164263,1.643442,-1.458261,0.583184,-1.2365,1.094192,0.443215,-0.970323,-1.655801,4,1,2,3,5
-1.108741,-0.2329,0.139329,-1.112254,-1.475111,1.337554,0.030555,-0.779935,-0.000445,5,1,2,4,3
-0.196107,1.241121,-0.313147,0.489762,-0.205975,-0.970913,0.172732,0.227386,-0.038618,4,5,2,1,3
-0.189166,-0.281455,1.186986,-1.589745,-0.254389,0.638756,1.587566,-1.247249,1.359932,4,3,1,5,2
-1.400229,0.856141,-1.364285,0.282157,-1.630728,-1.621038,-0.090816,-0.454546,1.575094,5,4,2,3,1
0.189074,-1.110375,-0.229613,-1.655487,0.419948,1.031613,-0.555492,1.207015,0.551341,4,2,5,1,3
0.150903,0.630703,0.007067,-1.288718,-0.520665,-0.456375,-0.014526,0.60816,-1.339999,4,3,2,1,5
1.13641,1.376384,0.999034,-0.714346,0.243583,-1.513263,-0.961216,-0.433777,-1.489224,1,5,3,2,4
-0.275919,1.237652,-1.45478,0.448241,-1.042844,0.631803,1.622243,-0.302237,1.172534,5,3,1,4,2
0.744289,-1.259511,1.134777,0.974173,1.464305,1.080285,-0.562427,1.421633,1.248881,1,4,5,2,3
-0.383492,-0.298797,-0.163482,1.465504,-0.710863,-0.890951,-1.235167,0.687777,1.328699,3,4,5,2,1
-0.577817,1.567139,0.884175,-1.413281,1.53001,0.336292,-0.291944,-0.991092,-1.419817,1,2,3,4,5
1.538941,-0.732332,0.567441,-1.188376,1.156531,1.542674,0.318376,-0.278006,-0.618167,2,1,3,4,5
-0.359201,1.60529,-1.625329,-0.852749,0.451071,0.683952,-1.0167,0.272387,-0.486293,2,1,5,3,4
-0.536176,0.138207,-0.950095,-1.063813,0.371534,-0.206059,-1.342667,1.134321,1.63062,3,4,5,2,1
0.251536,-0.028271,-0.668167,0.496682,0.195169,-0.306881,-0.468799,-1.496484,1.311347,2,3,4,5,1
-1.549443,-0.541577,0.3238,0.811549,-0.223266,-0.647588,0.429344,1.587789,1.443221,4,5,3,1,2
0.886563,0.672322,-0.709934,0.725047,1.471222,-1.697524,0.488295,1.584327,0.953902,2,5,4,1,3
0.348698,-1.072224,0.403854,1.489724,-1.606521,-0.244302,-0.368234,-0.260698,0.631159,5,2,4,3,1
-1.716008,-1.002858,1.026879,-1.216057,1.47468,0.211134,-0.784362,0.414312,-1.163012,1,3,4,2,5
0.438921,0.824927,0.247227,0.122993,-0.596744,1.379274,-0.382105,0.677392,-0.545289,5,1,3,2,4
-0.668039,0.589084,0.845888,0.396339,1.312147,0.197227,0.637408,0.822779,-1.433699,1,4,3,2,5
-1.188553,0.974063,0.852849,0.531283,-0.627868,-1.488927,0.925229,-1.524176,0.946961,3,4,2,5,1
0.713058,-0.53464,-0.668167,-1.461722,1.018206,1.042043,-0.118558,-0.728012,1.561213,3,2,4,5,1
-0.747852,-0.638689,0.870252,-1.240277,0.236667,-0.887474,0.183135,0.199693,0.950431,2,5,4,3,1
0.737349,0.467694,-1.04059,-0.094992,-1.40249,-0.852708,0.48136,-0.973784,-0.323187,5,3,1,4,2
1.299504,-1.047946,-1.392129,-0.04309,-1.091258,0.079023,-0.288476,0.774316,-0.347479,5,2,3,1,4
0.876153,0.443416,-1.078877,1.28558,0.388825,0.676999,-0.454928,0.968165,0.436819,4,2,5,1,3
1.594462,-0.784357,-0.518502,-1.330239,-1.115465,1.549627,0.48136,-0.537624,0.679744,5,1,3,4,2
-1.469631,1.275804,0.598766,-1.261038,-0.250931,-0.442468,1.452325,0.552775,-1.680094,3,4,1,2,5
0.015569,-1.495355,-0.629881,1.278659,-0.244014,-1.047398,0.904423,-0.094541,-1.34347,3,4,1,2,5
0.976785,1.289677,-1.280751,0.929191,1.692542,-0.376413,-0.274606,-1.067247,0.114077,1,4,3,5,2
-1.080981,-0.45487,1.381899,-0.652064,-1.599604,-0.233872,0.238619,-0.620702,1.575094,5,3,2,4,1
-1.698657,0.412201,-0.629881,0.638545,-0.116063,-1.433301,1.272003,-0.239928,0.828969,3,5,1,4,2
0.196014,-1.061819,0.156732,-0.91849,-0.914893,-0.661495,-1.113797,1.207015,1.693086,4,3,5,2,1
0.990666,0.703537,-0.459332,-0.423699,0.610145,-0.734503,0.519505,-1.195326,-0.940909,1,3,2,5,4
-1.598025,1.036492,-0.776066,-0.399478,0.672392,-0.091331,-0.531218,-0.080695,-0.871502,1,3,4,2,5
0.435451,-1.578593,-0.897886,0.929191,-1.125839,0.962081,-0.08388,0.570083,-1.596805,4,1,3,2,5
0.737349,-0.767015,0.369048,0.185275,0.668934,0.701335,-0.617911,0.480082,-0.597345,2,1,5,3,4
1.309914,0.845737,-1.113682,1.427443,0.37845,0.273713,1.372567,-0.586087,1.540391,3,4,2,5,1
-0.098944,0.700069,-1.677538,-1.060353,-1.571939,-1.638421,-0.208719,-0.949553,1.502217,4,5,2,3,1
0.602015,-0.53464,0.487388,-0.735106,-0.188684,0.590084,-1.002829,0.428158,-0.114966,4,1,5,2,3
1.604872,0.530123,-1.280751,-0.081151,1.571508,-1.047398,-0.239928,-1.531099,-1.360821,1,3,2,5,4
-1.341238,-0.746205,-1.506989,0.140294,-1.008263,-0.890951,-1.131135,-0.28839,0.690155,4,3,5,2,1
1.202341,0.124334,-0.894405,0.219876,-1.022095,0.092929,-0.638717,-1.060324,1.53692,4,2,3,5,1
-1.629255,0.471162,-0.974459,-1.33716,-0.181768,-0.393796,1.330954,0.272387,1.099656,4,5,1,3,2
-0.792963,0.727815,1.531564,1.271739,-1.160421,1.167201,-1.099926,1.11009,-1.34694,4,1,3,2,5
-0.962997,-0.236368,-1.527872,0.074552,-1.637644,-0.595439,1.407244,1.276246,0.093255,5,4,1,2,3
0.949025,1.30355,-0.957056,-0.569022,0.430322,0.649186,-0.947345,-0.226082,0.631159,3,1,5,4,2
-0.792963,1.612227,-0.424526,-1.510163,-0.493,-1.036968,0.828133,1.660482,0.162662,4,5,2,1,3
0.994136,0.776371,1.204389,1.2925,0.046469,0.795204,1.185309,-0.731473,0.620748,4,2,1,5,3
-1.251015,1.567139,-0.897886,-0.942711,-0.921809,-0.240825,0.595795,1.535865,0.551341,5,4,2,1,3
-0.137115,0.491972,-0.114754,0.251016,-1.288372,-0.529384,0.973778,1.179322,-0.465471,5,4,2,1,3
0.754699,0.419138,-0.013817,-1.672787,0.592855,1.045519,1.330954,-1.150325,1.33911,4,3,2,5,1
-1.41411,0.73822,-0.33055,0.448241,-1.499318,0.847353,0.332247,1.272785,1.172534,5,3,4,1,2
-0.782552,0.443416,1.166102,0.247556,0.184795,-1.402012,1.188777,-1.323404,0.73874,3,5,1,4,2
-1.108741,-1.661832,-0.643803,1.686949,0.170962,0.649186,0.484828,1.314324,-1.35041,4,2,3,1,5
0.942084,-0.201685,-0.379279,-1.579365,0.478736,-1.398535,0.765714,-1.101863,1.1413,3,5,2,4,1
1.601402,-0.617879,0.748432,-0.247235,-1.544274,0.155508,0.210877,-0.928784,-1.610687,4,2,1,3,5
-1.4384,1.615695,0.44214,-1.184916,1.440098,-1.714907,0.765714,-1.306096,0.887965,1,5,3,4,2
-1.639666,1.248057,-1.479144,-0.534421,1.651045,1.069856,-0.42025,1.497788,-1.624568,1,3,4,2,5
1.705505,0.689664,-1.044071,-0.281836,-0.050359,-0.268638,1.292809,-1.544946,-1.457991,2,3,1,5,4
0.390339,-0.864127,-1.266828,-0.89773,0.288539,-0.512001,1.025794,-1.088017,-0.927028,2,3,1,5,4
1.615283,0.641108,1.294884,0.673146,1.685626,1.212397,1.167971,-1.126094,-0.701455,1,2,3,5,4
0.761639,0.932444,-0.629881,1.30634,-1.343702,-1.242088,-1.529924,-1.22648,-1.329588,4,2,5,1,3
1.375846,1.067707,1.113893,0.133374,0.56519,-0.296451,-0.926539,1.020089,1.585505,3,4,5,2,1
-1.577204,-0.264114,-0.483696,-0.389098,-0.821523,-0.863138,1.570227,-1.212634,0.249421,3,4,1,5,2
-0.081593,-0.531172,-0.32707,-0.070771,1.281024,-0.883998,-1.145006,0.97855,-1.600276,1,3,4,2,5
-0.591697,0.197168,-0.247016,-0.378718,-1.454363,1.553104,0.491763,0.442004,-0.069852,5,1,2,3,4
-0.029542,0.984468,-1.583562,0.4171,1.429724,0.457973,-0.340492,0.757009,0.34659,1,3,5,2,4
1.625693,0.446884,-1.569639,-0.762787,-1.464737,-1.638421,-1.699843,1.224323,0.94349,3,4,5,1,2
-0.806843,-0.659498,0.835446,-1.399441,-0.053817,0.847353,1.71934,1.556635,-1.374703,4,3,1,2,5
0.168253,1.553266,-0.233094,-0.697045,0.160588,0.746531,-0.011058,0.120077,0.717918,3,1,5,4,2
-1.362058,-0.17047,0.344684,1.465504,-0.053817,1.417516,-0.701136,-0.426854,-0.597345,2,1,5,3,4
-0.383492,1.310486,0.588325,0.718127,-0.582912,-0.897904,1.289341,-0.776474,1.727789,3,5,2,4,1
-0.69927,-1.231765,-1.531353,-1.34408,-0.752361,-1.085641,1.695066,0.355465,-1.614157,3,4,1,2,5
1.587522,-1.630618,-1.517431,-1.482483,1.478138,0.676999,0.772649,1.69856,-0.673692,2,4,3,1,5
-1.261425,0.405265,-0.462813,-0.48598,-0.648617,-0.310357,-1.457102,1.051243,-1.718267,3,2,4,1,5
-0.935237,0.942848,-0.024259,1.686949,0.084509,-0.950053,-0.552024,-0.17762,1.405047,2,5,4,3,1
-0.268979,1.393725,1.099971,-1.34408,-0.033068,1.090715,0.97031,-0.426854,-0.163551,3,1,2,5,4
-1.407169,-0.271051,0.588325,0.133374,1.097743,1.080285,-0.340492,0.6947,1.221118,2,3,5,4,1
-1.670897,-0.704586,-0.0347,-0.081151,-1.447446,-1.346386,-1.342667,0.84701,-0.260721,5,4,3,1,2
0.154373,-0.108041,-1.15545,1.347861,1.322522,-1.099547,-0.961216,-0.485701,1.675734,2,5,4,3,1
0.709588,-1.693047,-0.250497,0.019191,-0.652075,-0.654541,1.251196,-0.478777,-0.711866,3,4,1,2,5
0.952495,-0.714991,0.090601,1.261359,-0.638242,-0.988296,0.737972,-1.261096,-1.586394,2,3,1,4,5
1.615283,-0.167002,-0.80043,-1.562065,-0.250931,1.306265,0.74144,-0.226082,1.123949,5,1,3,4,2
-1.139972,0.249192,-0.772585,-1.306019,-1.623811,-1.575842,-0.538153,1.151629,-0.6494,5,4,2,1,3
0.012099,0.398328,-0.469774,0.981093,-1.160421,0.25633,-1.575005,0.313926,-1.510046,3,2,5,1,4
0.924734,0.842268,-1.419974,1.008773,1.063161,-0.93267,0.821198,-1.565715,-0.472412,1,4,2,5,3
0.293177,1.296613,-0.347953,0.666226,-0.071108,-0.863138,0.162329,-1.486099,1.523039,3,4,2,5,1
-0.636809,-0.503426,-1.002304,-1.129555,0.447613,1.37232,1.53555,-0.454546,-0.874973,3,2,1,4,5
-0.362671,-0.992454,-1.273789,-0.105372,-0.081482,-1.673187,-0.423718,0.172001,-1.294885,2,5,3,1,4
0.338288,1.528988,0.971189,-1.434042,-0.074566,1.667832,0.335715,1.591251,0.856732,5,1,4,2,3
-0.060773,0.089651,-1.315557,-1.105334,-0.313177,0.082499,0.072168,0.705085,-1.34694,4,2,3,1,5
0.005159,-0.67684,0.14629,-0.773167,-0.596744,0.64571,1.410712,-0.028771,-0.44812,5,2,1,3,4
-0.147525,1.501242,-1.078877,0.811549,1.063161,0.8404,1.705469,-0.139542,0.499286,2,3,1,5,4
0.685297,-0.617879,-0.967498,-1.167616,0.115632,0.965557,0.821198,-1.268019,-0.514056,3,1,2,5,4
1.563231,-0.267582,-0.184366,1.116036,-0.434212,-0.014846,1.365631,-0.291852,1.63062,5,3,2,4,1
-0.452894,1.192565,1.148699,-0.264535,-0.396173,-1.294237,-1.616618,0.054307,-1.569042,2,3,5,1,4
-0.539646,0.866546,-0.769104,1.032994,0.011888,0.384964,-0.052671,-1.364943,1.099656,3,2,4,5,1
-0.209987,0.908166,-0.160002,-0.48944,1.218778,-0.977866,1.670792,-0.208774,-0.420357,2,5,1,3,4
-0.70274,-1.38437,1.21483,1.171397,-0.690114,1.525291,1.372567,-1.004938,0.818558,4,1,2,5,3
-0.182226,-1.09997,-0.619439,0.579724,-1.212293,-1.395059,0.079103,1.618943,1.016368,4,5,3,1,2
0.553434,0.179826,1.649904,1.510485,0.011888,-1.707953,-0.725411,0.556237,0.034259,3,5,4,1,2
-0.796433,-0.683776,1.127816,1.264819,-1.623811,-0.438992,-1.301054,-0.340314,-1.027668,5,2,4,1,3
-0.643749,1.033024,1.423666,0.759648,-1.603062,0.548365,1.102084,-0.838782,-1.64886,4,2,1,3,5
1.396667,1.327828,-0.598556,0.693906,-0.811149,0.211134,0.564585,0.033537,-0.514056,5,2,1,3,4
0.303587,-0.066422,0.685781,-0.254155,1.239526,0.388441,0.294102,0.770855,-0.361361,1,3,4,2,5
0.865742,0.13127,0.717106,-0.47906,1.447015,1.344508,1.12289,-0.603395,-0.562641,1,2,3,5,4
-0.733971,1.015682,-1.280751,1.337481,-1.623811,-0.699737,0.356522,-0.260698,-0.718807,5,3,1,2,4
-0.966467,-0.277987,-1.298154,-0.216094,-0.901061,-1.238611,1.258132,1.383555,0.207776,4,5,2,1,3
0.466681,0.537059,-1.27727,1.593526,0.502943,0.158985,-0.243396,0.885087,-0.139258,2,3,5,1,4
-0.150995,1.050365,-0.156521,-1.596665,0.08105,-0.988296,0.491763,0.002383,-1.333059,2,4,1,3,5
-0.268979,1.085048,0.546558,0.617784,-1.648018,-1.624515,-1.068716,-0.170696,-0.920087,5,4,3,1,2
0.303587,0.006412,-0.368837,-0.987692,0.146755,1.306265,0.006281,1.006243,0.308417,4,1,5,2,3
0.355638,0.450352,1.51068,0.119533,1.592256,-0.870091,0.235151,-0.821474,-1.44411,1,4,2,3,5
-0.737441,0.079246,0.598766,0.112613,-0.230182,1.702598,-0.468799,-1.72841,0.554811,3,1,4,5,2
0.862272,-0.378567,1.538525,-0.45484,-1.29183,0.284142,-0.687266,0.289694,0.114077,5,2,4,1,3
-0.751322,1.050365,-1.656654,0.569343,-1.153505,-0.772746,1.649985,-0.347237,-0.982553,5,3,1,2,4
0.168253,0.23185,0.365567,1.019154,-0.873395,-0.077425,-0.142832,1.663944,-1.010316,4,2,3,1,5
1.396667,-0.201685,-0.615959,1.116036,0.395741,-1.047398,1.431518,0.054307,-1.215067,2,4,1,3,5
0.393809,0.242255,1.131296,-0.378718,0.537525,0.816063,-1.606214,0.905857,0.391705,3,2,5,1,4
0.42851,-1.550847,-1.57312,-0.309516,-0.299345,-1.499357,1.23039,0.362388,1.73473,4,5,2,3,1
-0.67498,-0.246773,-1.684499,-0.641684,1.384768,-0.247778,-0.29888,-1.018785,-0.163551,1,3,4,5,2
-0.959527,-0.392441,0.591805,0.496682,-1.571939,-0.842278,-1.297586,0.601237,-0.878443,5,2,4,1,3
0.490972,1.331296,-0.462813,1.119496,1.059703,-1.701,1.0466,-1.385713,1.002486,1,5,2,4,3
-0.779082,1.338233,-1.426935,-1.728148,0.06376,0.569224,0.838536,-0.503009,1.491806,4,3,2,5,1
-1.247545,1.012214,0.111484,0.230256,-0.58637,1.525291,1.161035,-0.838782,-0.514056,4,1,2,5,3
1.611813,1.105858,-0.250497,-0.267995,-0.482626,0.569224,-1.412021,-1.361482,-0.260721,3,1,5,4,2
0.872682,-1.165868,-0.434968,1.112576,0.195169,-1.419395,0.519505,1.293554,-0.812506,3,5,2,1,4
1.306444,-1.734666,0.626611,1.451663,0.924836,-0.324264,-0.721943,0.545852,-0.0525,1,4,5,2,3
-0.69927,-1.387838,-1.030148,1.686949,0.613604,1.069856,-0.836378,0.120077,-0.25725,2,1,5,3,4
0.667947,-0.236368,1.019918,0.749267,-0.112605,0.367581,-0.350896,1.483941,-0.003915,4,2,5,1,3
0.917794,0.339367,1.256597,-1.015372,-1.108549,-1.023062,-0.773959,0.902395,0.551341,5,4,3,1,2
-0.730501,0.505845,-0.643803,-0.326817,0.049927,1.511385,-0.850249,-1.70764,-1.124838,2,1,3,5,4
-0.459834,1.456154,-1.681018,0.569343,0.143297,1.052473,0.803859,-0.669165,1.484865,4,2,3,5,1
-0.348791,-1.169336,0.261149,1.264819,0.087967,-1.718383,-0.721943,0.313926,0.679744,3,5,4,2,1
