A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11
-2946,1649,-1167,788,-909,1300,-562,902,-70,-842,0.00000,0.00000,0.00000,0.01600,0.00800,0.00200,0.00000,0.00000,0.00800,0.00000,0.96600
-3665,337,-641,1791,-194,1686,-359,570,-676,-841,0.96400,0.01000,0.00200,0.00200,0.00000,0.00000,0.00000,0.00000,0.00400,0.01800,0.00000
-3165,408,-971,1207,-298,1921,-215,723,-492,-425,0.05000,0.93600,0.00800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00400,0.00200,0.00000
-2105,1035,-1705,231,-558,1554,-649,710,-855,-151,0.00000,0.00800,0.94600,0.01400,0.00200,0.00800,0.00000,0.00000,0.00400,0.00000,0.01800
-2312,1746,-1510,1019,-990,941,-488,208,33,-847,0.00200,0.00000,0.00600,0.94400,0.02000,0.01600,0.00000,0.00000,0.00000,0.00000,0.01200
-2635,2147,-1129,911,-1407,1095,-71,118,139,-685,0.00000,0.00000,0.00000,0.01600,0.94000,0.01200,0.00600,0.00000,0.00400,0.00200,0.02000
-2887,2131,-830,682,-1557,818,448,-382,207,-402,0.00000,0.00000,0.00000,0.00200,0.17400,0.80800,0.01000,0.00000,0.00200,0.00200,0.00200
-3635,2250,-394,1012,-1693,117,665,281,343,-3,0.00400,0.00000,0.00000,0.00200,0.02600,0.02600,0.79600,0.09200,0.01000,0.04400,0.00000
-3986,2325,102,1633,-2014,576,-344,1003,566,-245,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00800,0.96800,0.02000,0.00400,0.00000
-3712,1816,-1171,647,-767,1698,-347,920,159,-359,0.00000,0.00400,0.00000,0.00200,0.00400,0.00800,0.00200,0.00600,0.93000,0.03400,0.01000
-3740,1832,-1384,1587,49,1642,-516,707,-169,-522,0.00600,0.00600,0.00400,0.00200,0.00000,0.00000,0.00400,0.00400,0.07800,0.89400,0.00200
-2859,1627,-1140,769,-948,1390,-608,956,-204,-727,0.00000,0.00000,0.00000,0.00600,0.00800,0.00000,0.00200,0.00000,0.00000,0.00000,0.98400
-3624,305,-708,1758,-194,1675,-273,561,-577,-843,0.97800,0.01800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00200,0.00200,0.00000
-3062,351,-1071,1061,-355,1990,-210,796,-358,-299,0.02000,0.91600,0.04400,0.00000,0.00200,0.00200,0.00200,0.00000,0.00400,0.00600,0.00400
-2081,1050,-1778,411,-518,1460,-576,735,-866,-172,0.00000,0.01000,0.93400,0.02400,0.00000,0.00600,0.00000,0.00000,0.00600,0.00200,0.01800
-2289,1845,-1616,987,-876,1044,-549,196,-70,-814,0.00000,0.00000,0.00600,0.94400,0.03800,0.00200,0.00000,0.00000,0.00200,0.00200,0.00600
-2724,2067,-1142,923,-1157,1170,-276,172,-8,-649,0.00000,0.00000,0.00400,0.01400,0.87800,0.00600,0.00800,0.00000,0.00400,0.00400,0.08200
-3015,2232,-899,574,-1331,546,610,-452,35,-156,0.00000,0.00000,0.00000,0.00200,0.10200,0.86800,0.02000,0.00000,0.00400,0.00200,0.00200
-3559,2126,-445,1053,-1765,349,546,321,443,-118,0.00400,0.00200,0.00000,0.00000,0.01400,0.01200,0.88800,0.03400,0.01600,0.03000,0.00000
-4074,2281,152,1556,-1613,-47,222,252,775,125,0.00800,0.00200,0.00400,0.00200,0.00400,0.00200,0.05600,0.77200,0.08400,0.06400,0.00200
-3618,1576,-1140,699,-741,1633,-387,1086,235,-388,0.00000,0.00000,0.00000,0.00400,0.00200,0.00200,0.00000,0.00200,0.93400,0.02200,0.03400
-3687,1784,-1593,1603,123,1424,-225,441,206,-714,0.01400,0.00400,0.00600,0.00800,0.00200,0.00200,0.00200,0.00200,0.03800,0.91600,0.00600
-2690,1652,-1261,674,-964,1449,-593,1005,-303,-541,0.00000,0.01200,0.01400,0.01400,0.00800,0.00600,0.00400,0.00000,0.00400,0.00600,0.93200
-3593,290,-782,1707,-175,1662,-137,493,-492,-926,0.96400,0.02400,0.00000,0.00200,0.00000,0.00000,0.00000,0.00000,0.00600,0.00400,0.00000
-3046,387,-1165,940,-386,1978,-186,811,-394,-198,0.01000,0.93200,0.04200,0.00000,0.00200,0.00200,0.00000,0.00000,0.00000,0.00400,0.00800
-2255,902,-1723,454,-524,1453,-614,761,-885,-118,0.00000,0.01000,0.94800,0.01400,0.00000,0.01000,0.00000,0.00000,0.00200,0.00200,0.01400
-2299,1848,-1695,1065,-861,1047,-607,313,-253,-759,0.00000,0.00200,0.01000,0.92800,0.02600,0.01600,0.00200,0.00000,0.00400,0.00200,0.01000
-2911,1928,-1131,899,-911,1111,-208,-47,-29,-539,0.00000,0.00200,0.00400,0.02000,0.86400,0.03200,0.00200,0.00000,0.00200,0.00000,0.07400
-3089,2339,-973,463,-1169,543,598,-450,-80,-39,0.00000,0.00000,0.00200,0.00400,0.07000,0.84600,0.06800,0.00400,0.00000,0.00600,0.00000
-3459,2086,-595,937,-1841,600,457,400,473,-211,0.00200,0.00000,0.00000,0.00000,0.01400,0.01200,0.89800,0.02000,0.04800,0.00400,0.00200
-4208,2447,49,1331,-2088,585,-50,820,606,-302,0.00000,0.00000,0.00200,0.00200,0.00200,0.00200,0.00600,0.94600,0.01800,0.02000,0.00200
-3543,1391,-1220,699,-769,1579,-379,1158,181,-178,0.00000,0.00200,0.00600,0.00000,0.00400,0.00600,0.00200,0.00000,0.93600,0.02200,0.02200
-3684,1774,-1728,1611,100,1393,-193,554,245,-919,0.00800,0.00000,0.00600,0.00200,0.00000,0.00200,0.00000,0.00200,0.04800,0.92000,0.01200
-2596,1560,-1249,656,-1095,1292,-550,1006,-150,-553,0.00000,0.00000,0.00200,0.01200,0.02200,0.00600,0.00400,0.00000,0.00000,0.00200,0.95200
-3604,235,-836,1786,-153,1642,-96,488,-524,-1003,0.95200,0.03000,0.00000,0.00200,0.00200,0.00000,0.00000,0.00000,0.00800,0.00600,0.00000
-3171,490,-1128,911,-388,2014,-212,707,-551,-187,0.00400,0.94400,0.02200,0.00200,0.00000,0.00400,0.00000,0.00000,0.01000,0.00600,0.00800
-2302,850,-1646,455,-488,1491,-617,819,-887,-80,0.00000,0.02600,0.93400,0.01000,0.00000,0.01000,0.00000,0.00000,0.00200,0.00400,0.01400
-2368,1727,-1556,1162,-819,941,-572,345,-279,-736,0.00000,0.00400,0.01400,0.89000,0.01800,0.03400,0.00400,0.00000,0.00000,0.00000,0.03600
-3141,1873,-1131,941,-759,1224,-354,16,-218,-568,0.00600,0.00800,0.01200,0.02000,0.71600,0.04400,0.02000,0.00000,0.06400,0.01800,0.09200
-3065,2372,-1002,496,-1295,860,327,-404,67,-155,0.00000,0.00200,0.00200,0.00600,0.07400,0.84400,0.04800,0.00000,0.01000,0.01000,0.00400
-3473,2178,-820,706,-1710,779,422,351,426,-267,0.00000,0.00000,0.00000,0.00400,0.01400,0.03400,0.86600,0.00600,0.05400,0.02000,0.00200
-4238,2437,36,1158,-2127,554,120,823,565,-293,0.00000,0.00000,0.00000,0.00000,0.00200,0.00200,0.02400,0.91200,0.03400,0.02600,0.00000
-3546,1258,-1227,823,-702,1734,-397,1333,-277,13,0.00800,0.02800,0.03400,0.04000,0.00600,0.00600,0.01200,0.00200,0.80800,0.02800,0.02800
-3869,1860,-1646,1612,44,1531,-493,862,-106,-1001,0.00200,0.00000,0.00000,0.00400,0.00400,0.00000,0.00000,0.00400,0.05400,0.93000,0.00200
-2666,1516,-1198,741,-1066,1240,-574,965,-130,-711,0.00000,0.00000,0.00000,0.00400,0.01800,0.00400,0.00400,0.00000,0.00000,0.00000,0.97000
-4102,209,414,423,985,1434,663,36,-784,-668,0.92600,0.02000,0.00000,0.00600,0.00000,0.01000,0.00400,0.00200,0.00800,0.01200,0.01200
-1372,-30,-1003,-388,-471,1141,654,823,558,43,0.00800,0.90200,0.04400,0.00800,0.00800,0.01000,0.00000,0.00000,0.00400,0.00400,0.01200
-1816,458,-947,-341,85,750,144,462,-240,-266,0.00000,0.01400,0.97000,0.00800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00800
-1954,1595,-1593,370,-136,22,34,321,-190,-491,0.00200,0.00200,0.02000,0.93000,0.01000,0.02400,0.00200,0.00000,0.00000,0.00000,0.01000
-2654,2390,-8,70,-1063,304,-105,281,488,-382,0.00000,0.00000,0.00000,0.00400,0.84000,0.05200,0.08400,0.00600,0.01000,0.00200,0.00200
-2321,1303,320,-85,-278,1,-94,-283,852,22,0.00200,0.00000,0.00400,0.04600,0.00600,0.93400,0.00200,0.00000,0.00000,0.00000,0.00600
-3141,3314,-996,-394,-190,-312,137,631,547,-247,0.00000,0.00000,0.00400,0.02400,0.02200,0.04000,0.80600,0.05400,0.00600,0.01600,0.02800
-3941,3353,486,-506,-1120,101,297,711,-78,648,0.00000,0.00000,0.00000,0.00000,0.00400,0.00000,0.03000,0.94200,0.01800,0.00600,0.00000
-4161,2937,157,336,-968,641,88,237,565,823,0.00000,0.00000,0.00000,0.00400,0.00000,0.01400,0.01000,0.04000,0.81200,0.11400,0.00600
-4520,2231,-88,513,-528,1246,198,242,161,769,0.00800,0.00200,0.00200,0.01600,0.00800,0.01800,0.00600,0.01000,0.10200,0.81400,0.01400
-3088,1389,48,-216,-329,910,45,-75,101,-134,0.00200,0.00000,0.00200,0.01800,0.01600,0.05400,0.01600,0.00200,0.01400,0.01000,0.86600
-4275,162,728,662,940,1269,711,73,-827,-655,0.93200,0.02000,0.00000,0.00400,0.00000,0.00800,0.00200,0.00200,0.00600,0.02200,0.00400
-1657,56,-1044,-320,-316,1321,638,800,298,-159,0.00400,0.98400,0.01000,0.00000,0.00000,0.00200,0.00000,0.00000,0.00000,0.00000,0.00000
-1709,486,-953,-346,20,786,145,564,-229,-322,0.00000,0.02400,0.95800,0.01200,0.00000,0.00400,0.00000,0.00000,0.00000,0.00000,0.00200
-1952,1469,-1375,105,-154,170,-47,336,-98,-410,0.00000,0.00000,0.00800,0.94400,0.00400,0.02400,0.00200,0.00000,0.00000,0.00000,0.01800
-2670,2696,-231,-28,-1014,486,-137,448,285,-482,0.00000,0.00000,0.00000,0.00000,0.93800,0.03000,0.02000,0.00200,0.00600,0.00000,0.00400
-2441,1415,386,-335,-187,-79,0,-175,792,-26,0.00400,0.00000,0.00200,0.05800,0.00800,0.89800,0.00400,0.00000,0.00000,0.00200,0.02400
-3146,3076,-683,-32,-693,-60,-267,476,982,-352,0.00000,0.00000,0.00200,0.00800,0.01000,0.02000,0.93000,0.02000,0.00400,0.00200,0.00400
-3902,3586,334,-669,-1087,255,461,812,-185,535,0.00000,0.00000,0.00000,0.00200,0.00400,0.00200,0.03200,0.94400,0.01600,0.00000,0.00000
-4267,3010,172,28,-827,532,99,326,340,696,0.00400,0.00200,0.00000,0.00600,0.00400,0.00200,0.02800,0.04400,0.83200,0.07600,0.00200
-4650,2455,13,681,-800,1434,126,36,382,278,0.00400,0.00000,0.00200,0.00400,0.00400,0.00200,0.00200,0.00200,0.04600,0.92400,0.01000
-3030,1185,314,-121,-591,965,353,-137,-221,75,0.00200,0.00400,0.01400,0.01800,0.03600,0.10400,0.00800,0.00000,0.01400,0.01000,0.79000
-4473,373,858,919,778,1272,653,-216,-891,-627,0.95600,0.03400,0.00000,0.00200,0.00000,0.00200,0.00000,0.00000,0.00200,0.00400,0.00000
-1856,63,-1011,-238,-152,1461,572,775,154,-310,0.01200,0.97200,0.01400,0.00200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1976,389,-947,-250,-65,949,127,478,-323,-345,0.00400,0.11800,0.86800,0.00000,0.00000,0.00200,0.00000,0.00400,0.00000,0.00000,0.00400
-1914,1473,-1342,-13,-213,253,5,229,-9,-445,0.00000,0.00200,0.00000,0.96200,0.00400,0.02800,0.00000,0.00000,0.00000,0.00200,0.00200
-2700,2830,-389,32,-958,440,-168,519,169,-525,0.00000,0.00000,0.00000,0.00400,0.93200,0.03800,0.01600,0.00000,0.00400,0.00000,0.00600
-2554,1117,420,-22,-645,20,145,-327,660,73,0.00000,0.00000,0.00400,0.03400,0.02800,0.85400,0.01800,0.00000,0.00400,0.00200,0.05600
-3054,3104,-513,-85,-952,299,-269,459,892,-308,0.00000,0.00000,0.00000,0.00000,0.10400,0.02400,0.84200,0.01400,0.00400,0.00400,0.00800
-3840,3745,121,-656,-1066,329,734,875,-295,418,0.00000,0.00000,0.00000,0.00000,0.00600,0.00000,0.05400,0.91800,0.02000,0.00200,0.00000
-4323,2853,385,209,-1096,431,119,268,131,654,0.00200,0.00000,0.00000,0.00200,0.00800,0.01200,0.02400,0.02800,0.86600,0.05800,0.00000
-4676,2537,75,730,-933,1493,49,76,254,276,0.00200,0.00000,0.00000,0.00200,0.00400,0.00600,0.00400,0.00600,0.08600,0.88600,0.00400
-2922,1516,-2,-353,-464,1184,383,-175,-346,-33,0.00800,0.02200,0.00800,0.00600,0.01400,0.07200,0.00400,0.00000,0.00000,0.00400,0.86200
-4477,246,1087,1108,682,1057,424,-264,-1195,-520,0.95400,0.03400,0.00200,0.00000,0.00000,0.00600,0.00000,0.00000,0.00400,0.00000,0.00000
-1895,-12,-970,-152,-161,1509,487,809,44,-264,0.02200,0.96600,0.00800,0.00000,0.00000,0.00200,0.00200,0.00000,0.00000,0.00000,0.00000
-1945,352,-1053,-228,-120,927,88,509,-279,-246,0.00400,0.07000,0.89400,0.01400,0.00000,0.00600,0.00000,0.00000,0.00000,0.00000,0.01200
-1912,1554,-1455,-17,-118,270,-37,163,-27,-474,0.00000,0.00200,0.00400,0.96800,0.00400,0.01800,0.00000,0.00000,0.00000,0.00000,0.00400
-2724,2998,-560,-77,-944,548,-80,400,144,-630,0.00000,0.00000,0.00000,0.00200,0.89000,0.04200,0.04800,0.00000,0.01000,0.00000,0.00800
-2385,1241,272,-40,-692,160,-61,-189,744,88,0.00000,0.00000,0.00000,0.01400,0.01000,0.94600,0.00800,0.00000,0.00000,0.00000,0.02200
-3092,3014,-307,-16,-956,195,-227,367,958,-92,0.00000,0.00000,0.00000,0.00000,0.06600,0.02400,0.89200,0.00400,0.00600,0.00400,0.00400
-3917,3496,409,-531,-1150,17,605,977,-328,447,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03800,0.95800,0.00400,0.00000,0.00000
-4232,3035,428,497,-1374,549,133,232,129,487,0.00000,0.00000,0.00000,0.00000,0.00400,0.00800,0.01400,0.05400,0.86000,0.05600,0.00400
-4759,2696,104,697,-787,1114,205,-66,369,306,0.00400,0.00000,0.00200,0.00400,0.00600,0.00800,0.00200,0.00200,0.03200,0.93800,0.00200
-2945,1724,-312,-239,-447,1360,14,-102,21,-564,0.00200,0.01600,0.00200,0.01600,0.02600,0.03200,0.00200,0.00000,0.01200,0.01000,0.88200
-4314,-106,1044,1192,687,763,158,-193,-1342,-447,0.91200,0.05000,0.02200,0.00000,0.00000,0.00200,0.00200,0.00000,0.00400,0.00200,0.00600
-2050,65,-938,-37,82,1561,393,835,-29,-394,0.03200,0.93800,0.02200,0.00200,0.00000,0.00000,0.00000,0.00000,0.00200,0.00000,0.00400
-1804,431,-1000,-427,-94,848,84,636,-275,-214,0.00000,0.02000,0.96800,0.00400,0.00000,0.00400,0.00000,0.00000,0.00200,0.00000,0.00200
-1978,1542,-1487,-96,-25,320,-63,97,-73,-381,0.00000,0.00200,0.01200,0.93000,0.00800,0.02200,0.00000,0.00200,0.00000,0.00000,0.02400
-2748,3217,-976,-213,-792,771,-32,223,43,-825,0.00000,0.00000,0.00000,0.01200,0.88200,0.02800,0.03600,0.00000,0.01600,0.00400,0.02200
-2351,1530,86,-75,-426,125,-197,33,848,-38,0.00000,0.00000,0.00400,0.03800,0.00600,0.93400,0.00400,0.00000,0.00000,0.00200,0.01200
-3105,2916,-207,31,-897,21,-229,256,1073,-65,0.00000,0.00000,0.00000,0.00000,0.04000,0.03200,0.91400,0.00000,0.00600,0.00400,0.00400
-3985,3614,584,-420,-1105,-174,348,885,-165,650,0.00200,0.00200,0.00000,0.00400,0.00400,0.00200,0.02400,0.94600,0.00600,0.01000,0.00000
-4160,3329,275,394,-1287,693,483,121,286,153,0.00400,0.00000,0.00200,0.00200,0.00800,0.00800,0.01400,0.07200,0.79200,0.09800,0.00000
-4880,3064,60,434,-575,897,250,85,93,445,0.01000,0.00200,0.00000,0.00200,0.00200,0.01400,0.01400,0.00800,0.08000,0.86400,0.00400
-3082,1633,-118,-147,-484,1176,-86,-72,86,-564,0.00400,0.00400,0.00000,0.00800,0.02400,0.03000,0.01000,0.00000,0.01200,0.00800,0.90000
-4158,-342,900,1090,560,955,395,-328,-1520,-498,0.97000,0.01000,0.00400,0.00000,0.00000,0.01000,0.00000,0.00000,0.00200,0.00200,0.00200
-2441,191,-814,255,411,1636,395,761,-5,-564,0.13600,0.77600,0.02800,0.00000,0.00000,0.01200,0.00000,0.00000,0.00200,0.00800,0.03800
-1672,328,-833,-577,-363,840,180,682,-124,-109,0.00400,0.08000,0.83800,0.03800,0.00000,0.01200,0.00800,0.00200,0.00000,0.00000,0.01800
-2051,1508,-1641,-58,-102,346,-21,109,-147,-298,0.00000,0.00000,0.00400,0.94000,0.00400,0.03200,0.00000,0.00000,0.00000,0.00000,0.02000
-2788,3194,-1142,-313,-580,357,281,82,109,-858,0.00000,0.00000,0.00200,0.01000,0.83000,0.06200,0.07200,0.00200,0.00600,0.00600,0.01000
-2489,1773,-180,-152,-353,133,-186,207,788,-285,0.00000,0.00000,0.00000,0.04400,0.01800,0.86600,0.01200,0.00000,0.00200,0.00000,0.05800
-3065,3139,-461,-221,-759,-45,68,274,999,-331,0.00000,0.00000,0.00000,0.00200,0.06000,0.03600,0.86600,0.01000,0.01400,0.00200,0.01000
-3963,3938,466,-564,-1042,-64,241,888,-32,798,0.00000,0.00000,0.00000,0.00600,0.00400,0.00400,0.03600,0.91800,0.01600,0.01200,0.00400
-4136,3582,-407,-38,-687,1031,491,157,305,28,0.00400,0.00200,0.00000,0.00000,0.02400,0.01800,0.03800,0.05200,0.75200,0.10200,0.00800
-4944,3325,15,79,-593,1047,337,296,-453,371,0.00200,0.00400,0.00000,0.00600,0.00200,0.00600,0.01600,0.05000,0.12600,0.78400,0.00400
-3058,1678,-351,-255,38,692,-173,226,202,-593,0.00000,0.00000,0.01200,0.02800,0.02200,0.08800,0.03000,0.00000,0.02800,0.01200,0.78000
-1202,-253,-2487,809,-367,2169,320,1034,-1385,-706,0.94800,0.04600,0.00200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00400
-1077,511,-2006,305,-584,1962,89,1406,-669,-27,0.00200,0.95800,0.03600,0.00200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00200
-1768,786,-1468,1077,-347,1704,-171,1076,-691,-60,0.00800,0.03600,0.95200,0.00200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00200
-1737,1789,-1046,1071,-775,1041,-25,925,-452,7,0.00000,0.00200,0.03200,0.92200,0.00800,0.01200,0.00000,0.00000,0.00800,0.00000,0.01600
-2432,2126,-218,1422,-1169,410,-393,1326,-67,225,0.00000,0.00000,0.00000,0.00000,0.86000,0.06200,0.06200,0.00000,0.00200,0.00000,0.01400
-2125,1952,-415,1458,-985,520,-344,1249,-370,145,0.00000,0.00200,0.00200,0.01800,0.08600,0.88000,0.00400,0.00200,0.00000,0.00000,0.00600
-2607,2406,-88,1586,-1477,164,-527,1551,33,522,0.00000,0.00000,0.00000,0.00000,0.11800,0.00600,0.84800,0.01400,0.01000,0.00000,0.00400
-3813,3705,-157,1561,-1503,-366,-581,1412,290,-99,0.00800,0.00000,0.00400,0.00000,0.00200,0.00000,0.01200,0.96000,0.01400,0.00000,0.00000
-3050,1600,-686,1543,-1149,-43,297,727,598,458,0.00400,0.00200,0.00600,0.02000,0.03800,0.05200,0.10400,0.04000,0.68800,0.00800,0.03800
-3972,2279,-620,954,-1090,719,717,300,1309,171,0.00000,0.00000,0.00000,0.00600,0.01400,0.00600,0.10800,0.06800,0.09000,0.70800,0.00000
-2979,1795,-870,1427,-930,1323,-212,1286,-135,-496,0.00200,0.00000,0.00200,0.02000,0.03200,0.03200,0.00600,0.00000,0.02400,0.00400,0.87800
-1298,-295,-2433,955,-278,2252,285,915,-1569,-562,0.95400,0.04000,0.00600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1012,516,-2041,320,-634,1969,41,1414,-687,47,0.00000,0.97200,0.02200,0.00200,0.00000,0.00000,0.00000,0.00000,0.00200,0.00000,0.00200
-1501,847,-1619,920,-488,1616,-161,1127,-613,-51,0.00000,0.02400,0.96200,0.00600,0.00200,0.00400,0.00000,0.00000,0.00000,0.00000,0.00200
-1674,1711,-1040,1136,-869,1036,-157,946,-361,20,0.00000,0.00000,0.01800,0.94400,0.00200,0.01200,0.00000,0.00000,0.00000,0.00000,0.02400
-2308,2023,-203,1493,-1223,379,-481,1403,-45,402,0.00000,0.00000,0.00200,0.00200,0.90600,0.03200,0.05200,0.00200,0.00200,0.00000,0.00200
-2155,2027,-393,1354,-1045,646,-246,1279,-396,177,0.00000,0.00000,0.00000,0.00800,0.07000,0.90600,0.00200,0.00000,0.00800,0.00000,0.00600
-2652,2156,-53,1694,-1258,62,-610,1397,133,602,0.00200,0.00000,0.00000,0.00000,0.10600,0.00400,0.87200,0.01400,0.00200,0.00000,0.00000
-3834,3749,-183,1518,-1585,-281,-334,1191,425,-104,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00800,0.98600,0.00600,0.00000,0.00000
-3330,1529,-552,2023,-845,16,49,512,396,386,0.01000,0.00000,0.00600,0.02400,0.00600,0.04400,0.07400,0.03200,0.78200,0.00600,0.01600
-4170,2232,-389,1211,-1011,570,543,218,1206,44,0.00600,0.00000,0.00000,0.00200,0.00400,0.02000,0.06000,0.07000,0.08000,0.75600,0.00200
-2867,1391,-817,1595,-883,1143,-427,1159,170,-456,0.00000,0.00000,0.00800,0.00400,0.02200,0.02400,0.00200,0.00000,0.02400,0.00400,0.91200
-1393,-305,-2290,1100,-254,2327,363,795,-1521,-756,0.96800,0.02600,0.00200,0.00200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00200
-941,539,-2020,314,-679,1897,28,1504,-632,111,0.00000,0.94000,0.04600,0.00600,0.00000,0.00000,0.00000,0.00000,0.00600,0.00000,0.00200
-1332,848,-1665,970,-463,1522,-159,1101,-541,-50,0.00000,0.01600,0.97200,0.00600,0.00000,0.00400,0.00000,0.00000,0.00000,0.00000,0.00200
-1570,1655,-1040,1160,-923,961,-231,955,-273,65,0.00000,0.00000,0.01000,0.92600,0.00400,0.03000,0.00000,0.00000,0.00200,0.00000,0.02800
-2227,1993,-156,1554,-1190,332,-548,1362,-13,369,0.00000,0.00000,0.00200,0.00200,0.91600,0.03400,0.04000,0.00000,0.00200,0.00000,0.00400
-2043,1950,-435,1341,-1049,558,-237,1237,-283,306,0.00000,0.00000,0.00400,0.00600,0.05000,0.94000,0.00000,0.00000,0.00000,0.00000,0.00000
-2679,1731,-90,2003,-1009,38,-822,1232,128,720,0.00200,0.00200,0.00200,0.00000,0.08400,0.03400,0.82800,0.00200,0.01600,0.00000,0.03000
-3836,3699,-225,1520,-1729,-184,64,970,500,-130,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00400,0.99400,0.00200,0.00000,0.00000
-3478,1703,-557,2191,-1043,339,-4,587,450,6,0.00400,0.00000,0.00000,0.00200,0.00800,0.02400,0.05800,0.06400,0.82000,0.01600,0.00400
-4333,2438,-219,1372,-761,306,594,-22,1103,190,0.00400,0.00000,0.00400,0.00000,0.00200,0.01200,0.00800,0.02000,0.00600,0.94200,0.00200
-2704,1285,-908,1570,-840,1044,-399,951,345,-695,0.00000,0.00000,0.00800,0.04400,0.01400,0.00600,0.00800,0.00000,0.01800,0.00200,0.90000
-1417,-319,-2254,1072,-221,2268,430,923,-1486,-698,0.98400,0.01400,0.00000,0.00200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
