A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,L1,L2,L3,L4,L5
11,85,935,7.72700,0.25700,0.89400,1.67000,240,836,144,1.00000,0.00000,0.00000,0.00000,0.00000
9,83,747,9.22200,0.28400,0.84900,1.91000,212,634,111,1.00000,0.00000,0.00000,0.00000,0.00000
9,64,576,7.11100,0.29900,0.97000,1.81000,172,559,95,1.00000,0.00000,0.00000,0.00000,0.00000
11,102,1122,9.27300,0.22300,0.76800,1.53000,250,862,163,1.00000,0.00000,0.00000,0.00000,0.00000
12,56,672,4.66700,0.25600,0.82700,2.02000,172,556,85,1.00000,0.00000,0.00000,0.00000,0.00000
9,84,756,9.33300,0.22200,0.93700,1.81000,168,708,93,1.00000,0.00000,0.00000,0.00000,0.00000
9,54,486,6.00000,0.29200,0.95700,1.48000,142,465,96,1.00000,0.00000,0.00000,0.00000,0.00000
9,41,369,4.55600,0.29800,0.77500,1.90000,110,286,58,1.00000,0.00000,0.00000,0.00000,0.00000
10,83,830,8.30000,0.26600,0.82700,2.10000,221,686,105,1.00000,0.00000,0.00000,0.00000,0.00000
10,4,40,0.40000,0.37500,0.40000,15.00000,15,16,1,0.90600,0.00600,0.00000,0.03000,0.05800
12,11,132,0.91700,0.37100,1.00000,1.63000,49,132,30,1.00000,0.00000,0.00000,0.00000,0.00000
12,44,528,3.66700,0.26100,0.76700,2.38000,138,405,58,1.00000,0.00000,0.00000,0.00000,0.00000
10,34,340,3.40000,0.29700,0.88500,1.71000,101,301,59,1.00000,0.00000,0.00000,0.00000,0.00000
9,76,684,8.44400,0.30700,0.88200,1.84000,210,603,114,1.00000,0.00000,0.00000,0.00000,0.00000
12,14,168,1.16700,0.35700,0.95800,2.31000,60,161,26,1.00000,0.00000,0.00000,0.00000,0.00000
12,7,84,0.58300,0.21400,0.58300,3.60000,18,49,5,0.93000,0.00400,0.00000,0.00000,0.06600
12,44,528,3.66700,0.29400,0.74200,2.31000,155,392,67,1.00000,0.00000,0.00000,0.00000,0.00000
10,63,630,6.30000,0.23300,0.70500,1.69000,147,444,87,1.00000,0.00000,0.00000,0.00000,0.00000
9,32,288,3.55600,0.27100,0.59400,2.23000,78,171,35,1.00000,0.00000,0.00000,0.00000,0.00000
3,116,348,38.66700,0.38500,0.49400,33.50000,134,172,4,0.01600,0.98400,0.00000,0.00000,0.00000
1,10,10,10.00000,1.00000,1.00000,10.00000,10,10,1,0.01413,0.98587,0.00000,0.00000,0.00000
1,13,13,13.00000,1.00000,1.00000,13.00000,13,13,1,0.00600,0.99400,0.00000,0.00000,0.00000
1,8,8,8.00000,1.00000,1.00000,8.00000,8,8,1,0.00000,1.00000,0.00000,0.00000,0.00000
1,44,44,44.00000,0.25000,1.00000,2.20000,11,44,5,0.03800,0.96000,0.00000,0.00000,0.00200
2,20,40,10.00000,0.72500,0.87500,29.00000,29,35,1,0.00467,0.99400,0.00000,0.00133,0.00000
2,20,40,10.00000,0.77500,0.85000,31.00000,31,34,1,0.00167,0.99700,0.00000,0.00133,0.00000
13,10,130,0.76900,0.30000,0.80800,6.50000,39,105,6,0.97200,0.00600,0.00000,0.00000,0.02200
11,86,946,7.81800,0.41300,0.85300,3.10000,391,807,126,1.00000,0.00000,0.00000,0.00000,0.00000
11,20,220,1.81800,0.16800,0.75000,3.36000,37,165,11,0.99800,0.00000,0.00000,0.00000,0.00200
9,5,45,0.55600,0.37800,0.93300,2.83000,17,42,6,0.99000,0.00000,0.00000,0.00000,0.01000
8,3,24,0.37500,0.41700,0.41700,10.00000,10,10,1,0.92383,0.01000,0.00000,0.02217,0.04400
3,113,339,37.66700,0.35700,0.37800,30.25000,121,128,4,0.00200,0.99800,0.00000,0.00000,0.00000
98,3,294,0.03100,0.48000,0.48600,141.00000,141,143,1,0.05000,0.00067,0.01600,0.91533,0.01800
2,48,96,24.00000,0.62500,0.67700,30.00000,60,65,2,0.00800,0.99200,0.00000,0.00000,0.00000
11,65,715,5.90900,0.39000,0.87700,2.61000,279,627,107,1.00000,0.00000,0.00000,0.00000,0.00000
9,37,333,4.11100,0.52600,0.89800,3.18000,175,299,55,1.00000,0.00000,0.00000,0.00000,0.00000
9,21,189,2.33300,0.29100,0.76200,1.57000,55,144,35,1.00000,0.00000,0.00000,0.00000,0.00000
8,8,64,1.00000,0.23400,0.32800,5.00000,15,21,3,0.90800,0.02000,0.00000,0.00000,0.07200
10,100,1000,10.00000,0.43600,0.91000,2.53000,436,910,172,1.00000,0.00000,0.00000,0.00000,0.00000
9,32,288,3.55600,0.30200,0.78100,2.07000,87,225,42,1.00000,0.00000,0.00000,0.00000,0.00000
11,101,1111,9.18200,0.39800,0.88800,2.76000,442,987,160,1.00000,0.00000,0.00000,0.00000,0.00000
11,119,1309,10.81800,0.26100,0.79800,1.88000,341,1045,181,1.00000,0.00000,0.00000,0.00000,0.00000
10,126,1260,12.60000,0.42500,0.86200,2.68000,536,1086,200,1.00000,0.00000,0.00000,0.00000,0.00000
9,13,117,1.44400,0.23900,0.46200,4.67000,28,54,6,0.93600,0.00600,0.00000,0.00200,0.05600
9,75,675,8.33300,0.25600,0.60600,2.19000,173,409,79,1.00000,0.00000,0.00000,0.00000,0.00000
11,119,1309,10.81800,0.23600,0.74700,1.75000,309,978,177,1.00000,0.00000,0.00000,0.00000,0.00000
10,44,440,4.40000,0.39300,0.85200,3.15000,173,375,55,1.00000,0.00000,0.00000,0.00000,0.00000
9,40,360,4.44400,0.35600,0.96700,2.29000,128,348,56,1.00000,0.00000,0.00000,0.00000,0.00000
8,48,384,6.00000,0.30200,0.91400,1.76000,116,351,66,1.00000,0.00000,0.00000,0.00000,0.00000
9,44,396,4.88900,0.46000,0.93700,2.84000,182,371,64,1.00000,0.00000,0.00000,0.00000,0.00000
9,47,423,5.22200,0.27400,0.74700,2.42000,116,316,48,1.00000,0.00000,0.00000,0.00000,0.00000
9,40,360,4.44400,0.31900,0.91900,2.35000,115,331,49,1.00000,0.00000,0.00000,0.00000,0.00000
2,18,36,9.00000,0.72200,0.72200,26.00000,26,26,1,0.02060,0.97400,0.00000,0.00540,0.00000
1,17,17,17.00000,0.76500,1.00000,3.25000,13,17,4,0.01000,0.99000,0.00000,0.00000,0.00000
1,8,8,8.00000,1.00000,1.00000,8.00000,8,8,1,0.00000,1.00000,0.00000,0.00000,0.00000
2,69,138,34.50000,0.62300,0.90600,10.75000,86,125,8,0.01800,0.98200,0.00000,0.00000,0.00000
2,46,92,23.00000,0.58700,0.76100,18.00000,54,70,3,0.00800,0.99200,0.00000,0.00000,0.00000
11,77,847,7.00000,0.34500,0.87400,2.43000,292,740,120,1.00000,0.00000,0.00000,0.00000,0.00000
9,41,369,4.55600,0.30100,0.88600,1.91000,111,327,58,1.00000,0.00000,0.00000,0.00000,0.00000
1,57,57,57.00000,0.45600,1.00000,3.71000,26,57,7,0.02800,0.97200,0.00000,0.00000,0.00000
1,10,10,10.00000,0.90000,1.00000,9.00000,9,10,1,0.06857,0.93143,0.00000,0.00000,0.00000
14,185,2590,13.21400,0.25400,0.65100,2.27000,657,1687,289,1.00000,0.00000,0.00000,0.00000,0.00000
10,152,1520,15.20000,0.29700,0.77800,2.17000,452,1182,208,1.00000,0.00000,0.00000,0.00000,0.00000
2,116,232,58.00000,0.61600,0.80200,17.88000,143,186,8,0.00400,0.99200,0.00000,0.00000,0.00400
9,123,1107,13.66700,0.36200,0.98600,2.62000,401,1091,153,1.00000,0.00000,0.00000,0.00000,0.00000
2,17,34,8.50000,0.58800,0.97100,6.67000,20,33,3,0.13500,0.86500,0.00000,0.00000,0.00000
1,12,12,12.00000,0.58300,1.00000,3.50000,7,12,2,0.94403,0.05597,0.00000,0.00000,0.00000
6,27,162,4.50000,0.15400,0.48100,2.78000,25,78,9,0.95200,0.00200,0.00000,0.00800,0.03800
7,15,105,2.14300,0.32400,0.76200,3.09000,34,80,11,1.00000,0.00000,0.00000,0.00000,0.00000
7,58,406,8.28600,0.20200,0.75100,2.34000,82,305,35,1.00000,0.00000,0.00000,0.00000,0.00000
7,46,322,6.57100,0.15500,0.58700,4.17000,50,189,12,0.97400,0.00200,0.00000,0.00000,0.02400
1,27,27,27.00000,0.59300,1.00000,4.00000,16,27,4,0.63800,0.36200,0.00000,0.00000,0.00000
7,17,119,2.42900,0.22700,0.58000,2.70000,27,69,10,0.99800,0.00000,0.00000,0.00000,0.00200
2,31,62,15.50000,0.19400,0.51600,2.00000,12,32,6,0.87800,0.12000,0.00000,0.00000,0.00200
1,12,12,12.00000,0.58300,1.00000,3.50000,7,12,2,0.94403,0.05597,0.00000,0.00000,0.00000
2,17,34,8.50000,0.32400,1.00000,2.75000,11,34,4,0.74300,0.25300,0.00000,0.00000,0.00400
2,11,22,5.50000,0.40900,0.95500,9.00000,9,21,1,0.73817,0.25783,0.00000,0.00000,0.00400
2,19,38,9.50000,0.23700,1.00000,1.80000,9,38,5,0.82800,0.17000,0.00000,0.00000,0.00200
7,107,749,15.28600,0.27000,0.65400,1.60000,202,490,126,1.00000,0.00000,0.00000,0.00000,0.00000
5,9,45,1.80000,0.26700,0.77800,1.71000,12,35,7,1.00000,0.00000,0.00000,0.00000,0.00000
11,9,99,0.81800,0.48500,0.72700,6.00000,48,72,8,1.00000,0.00000,0.00000,0.00000,0.00000
11,8,88,0.72700,0.70500,1.00000,7.75000,62,88,8,1.00000,0.00000,0.00000,0.00000,0.00000
11,8,88,0.72700,0.44300,0.46600,39.00000,39,41,1,0.99600,0.00200,0.00000,0.00000,0.00200
11,7,77,0.63600,0.59700,1.00000,5.75000,46,77,8,0.99800,0.00000,0.00000,0.00000,0.00200
11,7,77,0.63600,0.46800,1.00000,3.60000,36,77,10,1.00000,0.00000,0.00000,0.00000,0.00000
11,9,99,0.81800,0.47500,0.63600,15.67000,47,63,3,0.99600,0.00000,0.00000,0.00200,0.00200
11,8,88,0.72700,0.51100,0.85200,9.00000,45,75,5,1.00000,0.00000,0.00000,0.00000,0.00000
1,43,43,43.00000,0.90700,1.00000,9.75000,39,43,4,0.02800,0.97200,0.00000,0.00000,0.00000
10,98,980,9.80000,0.39100,0.83500,2.41000,383,818,159,1.00000,0.00000,0.00000,0.00000,0.00000
10,49,490,4.90000,0.52000,0.96100,2.97000,255,471,86,1.00000,0.00000,0.00000,0.00000,0.00000
10,21,210,2.10000,0.32900,0.84300,2.56000,69,177,27,1.00000,0.00000,0.00000,0.00000,0.00000
9,19,171,2.11100,0.29200,0.76000,2.63000,50,130,19,1.00000,0.00000,0.00000,0.00000,0.00000
9,55,495,6.11100,0.29900,1.00000,1.92000,148,495,77,1.00000,0.00000,0.00000,0.00000,0.00000
9,14,126,1.55600,0.12700,0.93700,1.78000,16,118,9,0.94400,0.00400,0.00000,0.00000,0.05200
8,23,184,2.87500,0.28800,1.00000,1.47000,53,184,36,1.00000,0.00000,0.00000,0.00000,0.00000
8,35,280,4.37500,0.37900,0.88600,1.66000,106,248,64,1.00000,0.00000,0.00000,0.00000,0.00000
9,96,864,10.66700,0.28100,0.81500,1.96000,243,704,124,1.00000,0.00000,0.00000,0.00000,0.00000
9,66,594,7.33300,0.32300,0.80500,2.00000,192,478,96,1.00000,0.00000,0.00000,0.00000,0.00000
9,34,306,3.77800,0.33700,0.81700,1.81000,103,250,57,1.00000,0.00000,0.00000,0.00000,0.00000
8,83,664,10.37500,0.32500,0.90800,1.76000,216,603,123,1.00000,0.00000,0.00000,0.00000,0.00000
8,80,640,10.00000,0.30300,0.92200,1.72000,194,590,113,1.00000,0.00000,0.00000,0.00000,0.00000
9,95,855,10.55600,0.28500,0.72300,2.10000,244,618,116,1.00000,0.00000,0.00000,0.00000,0.00000
8,80,640,10.00000,0.29800,0.88300,1.72000,191,565,111,1.00000,0.00000,0.00000,0.00000,0.00000
10,13,130,1.30000,0.10800,0.68500,2.33000,14,89,6,0.81800,0.05600,0.00000,0.00000,0.12600
8,70,560,8.75000,0.34100,0.91800,1.66000,191,514,115,1.00000,0.00000,0.00000,0.00000,0.00000
11,84,924,7.63600,0.26200,0.82000,1.69000,242,758,143,1.00000,0.00000,0.00000,0.00000,0.00000
9,99,891,11.00000,0.27000,0.81800,1.93000,241,729,125,1.00000,0.00000,0.00000,0.00000,0.00000
9,80,720,8.88900,0.29300,0.86800,1.85000,211,625,114,1.00000,0.00000,0.00000,0.00000,0.00000
11,101,1111,9.18200,0.23900,0.81800,1.61000,265,909,165,1.00000,0.00000,0.00000,0.00000,0.00000
12,26,312,2.16700,0.22100,1.00000,1.60000,69,312,43,1.00000,0.00000,0.00000,0.00000,0.00000
12,40,480,3.33300,0.27100,0.73300,1.97000,130,352,66,1.00000,0.00000,0.00000,0.00000,0.00000
8,84,672,10.50000,0.26900,0.96600,1.79000,181,649,101,1.00000,0.00000,0.00000,0.00000,0.00000
8,53,424,6.62500,0.35800,0.98100,1.54000,152,416,99,1.00000,0.00000,0.00000,0.00000,0.00000
9,82,738,9.11100,0.25200,0.74000,2.00000,186,546,93,1.00000,0.00000,0.00000,0.00000,0.00000
7,14,98,2.00000,0.18400,0.61200,18.00000,18,60,1,0.90200,0.06400,0.00000,0.00000,0.03400
8,26,208,3.25000,0.37500,0.94700,1.77000,78,197,44,1.00000,0.00000,0.00000,0.00000,0.00000
8,46,368,5.75000,0.39100,0.95100,1.85000,144,350,78,1.00000,0.00000,0.00000,0.00000,0.00000
9,34,306,3.77800,0.37900,0.96100,1.71000,116,294,68,1.00000,0.00000,0.00000,0.00000,0.00000
11,26,286,2.36400,0.29700,0.94100,2.02000,85,269,42,1.00000,0.00000,0.00000,0.00000,0.00000
11,42,462,3.81800,0.33500,0.82900,2.25000,155,383,69,1.00000,0.00000,0.00000,0.00000,0.00000
12,62,744,5.16700,0.23400,0.66000,1.58000,174,491,110,1.00000,0.00000,0.00000,0.00000,0.00000
8,75,600,9.37500,0.32800,0.88800,1.86000,197,533,106,1.00000,0.00000,0.00000,0.00000,0.00000
8,18,144,2.25000,0.47900,0.98600,2.16000,69,142,32,1.00000,0.00000,0.00000,0.00000,0.00000
7,33,231,4.71400,0.14300,0.84400,2.36000,33,195,14,0.98000,0.00200,0.00000,0.00000,0.01800
9,64,576,7.11100,0.46500,0.89900,2.58000,268,518,104,1.00000,0.00000,0.00000,0.00000,0.00000
9,36,324,4.00000,0.56800,0.93200,3.02000,184,302,61,1.00000,0.00000,0.00000,0.00000,0.00000
8,8,64,1.00000,0.20300,0.34400,4.33000,13,22,3,0.87400,0.01600,0.00000,0.00000,0.11000
8,21,168,2.62500,0.33900,0.67300,1.97000,57,113,29,1.00000,0.00000,0.00000,0.00000,0.00000
9,99,891,11.00000,0.46400,0.94200,2.52000,413,839,164,1.00000,0.00000,0.00000,0.00000,0.00000
9,84,756,9.33300,0.28800,0.79100,1.83000,218,598,119,1.00000,0.00000,0.00000,0.00000,0.00000
8,31,248,3.87500,0.32700,0.79000,1.84000,81,196,44,1.00000,0.00000,0.00000,0.00000,0.00000
19,2,38,0.10500,0.81600,0.81600,31.00000,31,31,1,0.03700,0.17920,0.00000,0.78180,0.00200
9,101,909,11.22200,0.44200,0.86100,2.68000,402,783,150,1.00000,0.00000,0.00000,0.00000,0.00000
11,118,1298,10.72700,0.26000,0.81700,2.01000,338,1061,168,1.00000,0.00000,0.00000,0.00000,0.00000
5,2,10,0.40000,0.80000,0.80000,8.00000,8,8,1,0.54658,0.00000,0.00000,0.45242,0.00100
10,126,1260,12.60000,0.41000,0.83300,2.63000,516,1049,196,1.00000,0.00000,0.00000,0.00000,0.00000
12,117,1404,9.75000,0.22000,0.67300,1.68000,309,945,184,1.00000,0.00000,0.00000,0.00000,0.00000
9,35,315,3.88900,0.26300,0.66700,2.86000,83,210,29,1.00000,0.00000,0.00000,0.00000,0.00000
9,46,414,5.11100,0.29200,0.67600,1.92000,121,280,63,1.00000,0.00000,0.00000,0.00000,0.00000
10,2,20,0.20000,0.55000,0.60000,11.00000,11,12,1,0.04800,0.61650,0.00000,0.31350,0.02200
8,44,352,5.50000,0.42600,0.93800,3.26000,150,330,46,1.00000,0.00000,0.00000,0.00000,0.00000
8,48,384,6.00000,0.31000,0.80700,1.92000,119,310,62,1.00000,0.00000,0.00000,0.00000,0.00000
8,40,320,5.00000,0.40300,0.99100,2.53000,129,317,51,1.00000,0.00000,0.00000,0.00000,0.00000
8,45,360,5.62500,0.46900,0.95600,2.91000,169,344,58,1.00000,0.00000,0.00000,0.00000,0.00000
9,20,180,2.22200,0.26100,0.55600,2.35000,47,100,20,0.99800,0.00200,0.00000,0.00000,0.00000
9,22,198,2.44400,0.29800,0.96500,2.11000,59,191,28,1.00000,0.00000,0.00000,0.00000,0.00000
8,41,328,5.12500,0.33500,0.93300,2.08000,110,306,53,1.00000,0.00000,0.00000,0.00000,0.00000
2,112,224,56.00000,0.49600,0.50400,55.50000,111,113,2,0.00000,1.00000,0.00000,0.00000,0.00000
1,45,45,45.00000,0.75600,1.00000,5.67000,34,45,6,0.00000,1.00000,0.00000,0.00000,0.00000
1,75,75,75.00000,0.81300,1.00000,5.55000,61,75,11,0.00200,0.99800,0.00000,0.00000,0.00000
8,43,344,5.37500,0.34900,0.81400,2.26000,120,280,53,1.00000,0.00000,0.00000,0.00000,0.00000
11,301,3311,27.36400,0.30800,0.73500,2.22000,1019,2435,458,1.00000,0.00000,0.00000,0.00000,0.00000
7,35,245,5.00000,0.45300,0.87300,2.47000,111,214,45,1.00000,0.00000,0.00000,0.00000,0.00000
9,122,1098,13.55600,0.33900,0.94700,2.57000,372,1040,145,1.00000,0.00000,0.00000,0.00000,0.00000
10,130,1300,13.00000,0.42500,0.77300,2.79000,552,1005,198,1.00000,0.00000,0.00000,0.00000,0.00000
6,46,276,7.66700,0.21700,0.80400,2.00000,60,222,30,1.00000,0.00000,0.00000,0.00000,0.00000
6,27,162,4.50000,0.13600,0.67300,2.00000,22,109,11,0.98400,0.00000,0.00000,0.00000,0.01600
5,8,40,1.60000,0.35000,0.67500,4.67000,14,27,3,0.97800,0.00400,0.00000,0.00000,0.01800
5,3,15,0.60000,0.46700,1.00000,7.00000,7,15,1,0.96350,0.00200,0.00000,0.00183,0.03267
5,35,175,7.00000,0.20000,0.82900,4.38000,35,145,8,0.99800,0.00000,0.00000,0.00000,0.00200
4,47,188,11.75000,0.29800,0.73900,2.33000,56,139,24,1.00000,0.00000,0.00000,0.00000,0.00000
3,31,93,10.33300,0.22600,0.77400,2.10000,21,72,10,0.91600,0.08400,0.00000,0.00000,0.00000
3,16,48,5.33300,0.37500,0.93800,2.25000,18,45,8,0.90400,0.09600,0.00000,0.00000,0.00000
11,21,231,1.90900,0.41100,0.68000,3.96000,95,157,24,1.00000,0.00000,0.00000,0.00000,0.00000
11,8,88,0.72700,0.37500,0.60200,4.13000,33,53,8,1.00000,0.00000,0.00000,0.00000,0.00000
11,9,99,0.81800,0.46500,0.81800,9.20000,46,81,5,1.00000,0.00000,0.00000,0.00000,0.00000
10,8,80,0.80000,0.50000,1.00000,5.00000,40,80,8,1.00000,0.00000,0.00000,0.00000,0.00000
10,21,210,2.10000,0.32400,0.60000,3.40000,68,126,20,0.99600,0.00400,0.00000,0.00000,0.00000
2,157,314,78.50000,0.50600,0.55100,26.50000,159,173,6,0.00200,0.99800,0.00000,0.00000,0.00000
10,38,380,3.80000,0.43900,0.89700,2.83000,167,341,59,1.00000,0.00000,0.00000,0.00000,0.00000
9,36,324,4.00000,0.54900,0.91400,3.30000,178,296,54,1.00000,0.00000,0.00000,0.00000,0.00000
8,20,160,2.50000,0.52500,0.93800,3.50000,84,150,24,1.00000,0.00000,0.00000,0.00000,0.00000
9,49,441,5.44400,0.59400,0.99800,3.05000,262,440,86,1.00000,0.00000,0.00000,0.00000,0.00000
1,32,32,32.00000,0.71900,1.00000,5.75000,23,32,4,0.01600,0.98400,0.00000,0.00000,0.00000
1,52,52,52.00000,0.78800,1.00000,10.25000,41,52,4,0.00000,1.00000,0.00000,0.00000,0.00000
1,13,13,13.00000,0.69200,1.00000,4.50000,9,13,2,0.07900,0.92100,0.00000,0.00000,0.00000
9,23,207,2.55600,0.30400,1.00000,1.62000,63,207,39,1.00000,0.00000,0.00000,0.00000,0.00000
9,37,333,4.11100,0.38100,0.80800,2.05000,127,269,62,1.00000,0.00000,0.00000,0.00000,0.00000
9,20,180,2.22200,0.33900,0.87200,2.35000,61,157,26,1.00000,0.00000,0.00000,0.00000,0.00000
8,79,632,9.87500,0.37500,0.95600,2.12000,237,604,112,1.00000,0.00000,0.00000,0.00000,0.00000
9,81,729,9.00000,0.38800,0.89700,2.38000,283,654,119,1.00000,0.00000,0.00000,0.00000,0.00000
8,67,536,8.37500,0.38100,0.74600,2.49000,204,400,82,1.00000,0.00000,0.00000,0.00000,0.00000
9,32,288,3.55600,0.29200,0.82600,1.53000,84,238,55,1.00000,0.00000,0.00000,0.00000,0.00000
94,2,188,0.02100,0.51600,0.51600,97.00000,97,97,1,0.00600,0.01200,0.00200,0.97800,0.00200
10,11,110,1.10000,0.38200,1.00000,1.50000,42,110,28,1.00000,0.00000,0.00000,0.00000,0.00000
10,64,640,6.40000,0.29500,0.80800,2.25000,189,517,84,1.00000,0.00000,0.00000,0.00000,0.00000
10,83,830,8.30000,0.29500,0.72500,2.02000,245,602,121,1.00000,0.00000,0.00000,0.00000,0.00000
12,73,876,6.08300,0.25700,0.59100,2.14000,225,518,105,1.00000,0.00000,0.00000,0.00000,0.00000
8,17,136,2.12500,0.35300,0.80100,2.00000,48,109,24,1.00000,0.00000,0.00000,0.00000,0.00000
