A1,A2,A3,A4,L1,L2,L3
5.20000,4.10000,1.50000,0.10000,1.00000,0.00000,0.00000
5.50000,4.20000,1.40000,0.20000,0.99800,0.00200,0.00000
4.90000,3.10000,1.50000,0.10000,1.00000,0.00000,0.00000
5.00000,3.20000,1.20000,0.20000,1.00000,0.00000,0.00000
5.50000,3.50000,1.30000,0.20000,0.97200,0.02800,0.00000
4.90000,3.10000,1.50000,0.10000,1.00000,0.00000,0.00000
4.40000,3.00000,1.30000,0.20000,1.00000,0.00000,0.00000
5.10000,3.40000,1.50000,0.20000,1.00000,0.00000,0.00000
5.00000,3.50000,1.30000,0.30000,1.00000,0.00000,0.00000
4.50000,2.30000,1.30000,0.30000,0.98800,0.01200,0.00000
4.40000,3.20000,1.30000,0.20000,1.00000,0.00000,0.00000
5.00000,3.50000,1.60000,0.60000,1.00000,0.00000,0.00000
5.10000,3.80000,1.90000,0.40000,1.00000,0.00000,0.00000
4.80000,3.00000,1.40000,0.30000,1.00000,0.00000,0.00000
5.10000,3.80000,1.60000,0.20000,1.00000,0.00000,0.00000
4.60000,3.20000,1.40000,0.20000,1.00000,0.00000,0.00000
5.30000,3.70000,1.50000,0.20000,1.00000,0.00000,0.00000
5.00000,3.30000,1.40000,0.20000,1.00000,0.00000,0.00000
7.00000,3.20000,4.70000,1.40000,0.00000,0.99000,0.01000
6.40000,3.20000,4.50000,1.50000,0.00000,1.00000,0.00000
6.90000,3.10000,4.90000,1.50000,0.00000,0.91200,0.08800
5.50000,2.30000,4.00000,1.30000,0.00000,1.00000,0.00000
6.50000,2.80000,4.60000,1.50000,0.00000,0.98600,0.01400
5.70000,2.80000,4.50000,1.30000,0.00000,1.00000,0.00000
6.30000,3.30000,4.70000,1.60000,0.00000,0.98200,0.01800
4.90000,2.40000,3.30000,1.00000,0.00200,0.90600,0.09200
6.60000,2.90000,4.60000,1.30000,0.00000,1.00000,0.00000
5.20000,2.70000,3.90000,1.40000,0.00000,0.98800,0.01200
5.00000,2.00000,3.50000,1.00000,0.00000,0.97400,0.02600
5.90000,3.00000,4.20000,1.50000,0.00000,1.00000,0.00000
6.00000,2.20000,4.00000,1.00000,0.00000,0.98000,0.02000
6.10000,2.90000,4.70000,1.40000,0.00000,1.00000,0.00000
5.60000,2.90000,3.60000,1.30000,0.00000,1.00000,0.00000
6.70000,3.10000,4.40000,1.40000,0.00000,1.00000,0.00000
5.60000,3.00000,4.50000,1.50000,0.00000,1.00000,0.00000
5.80000,2.70000,4.10000,1.00000,0.00000,1.00000,0.00000
6.20000,2.20000,4.50000,1.50000,0.00000,0.95000,0.05000
5.60000,2.50000,3.90000,1.10000,0.00000,1.00000,0.00000
5.90000,3.20000,4.80000,1.80000,0.00000,0.65800,0.34200
6.10000,2.80000,4.00000,1.30000,0.00000,0.99800,0.00200
6.30000,2.50000,4.90000,1.50000,0.00000,0.82600,0.17400
6.10000,2.80000,4.70000,1.20000,0.00000,0.99800,0.00200
6.40000,2.90000,4.30000,1.30000,0.00000,1.00000,0.00000
6.60000,3.00000,4.40000,1.40000,0.00000,1.00000,0.00000
6.80000,2.80000,4.80000,1.40000,0.00000,0.95000,0.05000
6.70000,3.00000,5.00000,1.70000,0.00000,0.72600,0.27400
6.00000,2.90000,4.50000,1.50000,0.00000,0.99600,0.00400
5.70000,2.60000,3.50000,1.00000,0.00000,1.00000,0.00000
5.50000,2.40000,3.80000,1.10000,0.00000,1.00000,0.00000
5.50000,2.40000,3.70000,1.00000,0.00000,1.00000,0.00000
5.80000,2.70000,3.90000,1.20000,0.00000,1.00000,0.00000
6.00000,2.70000,5.10000,1.60000,0.00000,0.71800,0.28200
5.40000,3.00000,4.50000,1.50000,0.00800,0.98000,0.01200
6.00000,3.40000,4.50000,1.60000,0.01000,0.98200,0.00800
6.70000,3.10000,4.70000,1.50000,0.00000,1.00000,0.00000
6.30000,2.30000,4.40000,1.30000,0.00000,0.99200,0.00800
5.60000,3.00000,4.10000,1.30000,0.00000,1.00000,0.00000
5.50000,2.50000,4.00000,1.30000,0.00000,1.00000,0.00000
5.50000,2.60000,4.40000,1.20000,0.00000,0.99600,0.00400
6.10000,3.00000,4.60000,1.40000,0.00000,1.00000,0.00000
5.80000,2.60000,4.00000,1.20000,0.00000,1.00000,0.00000
5.00000,2.30000,3.30000,1.00000,0.00000,0.98800,0.01200
5.60000,2.70000,4.20000,1.30000,0.00000,1.00000,0.00000
5.70000,3.00000,4.20000,1.20000,0.00000,1.00000,0.00000
5.70000,2.90000,4.20000,1.30000,0.00000,1.00000,0.00000
6.20000,2.90000,4.30000,1.30000,0.00000,0.99600,0.00400
5.10000,2.50000,3.00000,1.10000,0.00400,0.99000,0.00600
5.70000,2.80000,4.10000,1.30000,0.00000,1.00000,0.00000
6.30000,3.30000,6.00000,2.50000,0.00000,0.00000,1.00000
5.80000,2.70000,5.10000,1.90000,0.00000,0.01200,0.98800
7.10000,3.00000,5.90000,2.10000,0.00000,0.00000,1.00000
6.30000,2.90000,5.60000,1.80000,0.00000,0.00000,1.00000
6.50000,3.00000,5.80000,2.20000,0.00000,0.00000,1.00000
7.60000,3.00000,6.60000,2.10000,0.00000,0.00000,1.00000
4.90000,2.50000,4.50000,1.70000,0.00200,0.38800,0.61000
7.30000,2.90000,6.30000,1.80000,0.00000,0.00400,0.99600
6.70000,2.50000,5.80000,1.80000,0.00000,0.01200,0.98800
7.20000,3.60000,6.10000,2.50000,0.00000,0.00000,1.00000
6.50000,3.20000,5.10000,2.00000,0.00000,0.00800,0.99200
6.40000,2.70000,5.30000,1.90000,0.00000,0.00200,0.99800
6.80000,3.00000,5.50000,2.10000,0.00000,0.00000,1.00000
5.70000,2.50000,5.00000,2.00000,0.00000,0.02000,0.98000
5.80000,2.80000,5.10000,2.40000,0.00000,0.00400,0.99600
6.40000,3.20000,5.30000,2.30000,0.00000,0.00000,1.00000
6.50000,3.00000,5.50000,1.80000,0.00000,0.00200,0.99800
7.70000,3.80000,6.70000,2.20000,0.00000,0.00000,1.00000
7.70000,2.60000,6.90000,2.30000,0.00000,0.00200,0.99800
6.00000,2.20000,5.00000,1.50000,0.00000,0.29800,0.70200
6.90000,3.20000,5.70000,2.30000,0.00000,0.00000,1.00000
5.60000,2.80000,4.90000,2.00000,0.00000,0.06600,0.93400
7.70000,2.80000,6.70000,2.00000,0.00000,0.00000,1.00000
6.30000,2.70000,4.90000,1.80000,0.00000,0.02200,0.97800
6.70000,3.30000,5.70000,2.10000,0.00000,0.00200,0.99800
7.20000,3.20000,6.00000,1.80000,0.00000,0.01000,0.99000
6.20000,2.80000,4.80000,1.80000,0.00000,0.07600,0.92400
6.10000,3.00000,4.90000,1.80000,0.00000,0.01600,0.98400
6.40000,2.80000,5.60000,2.10000,0.00000,0.00000,1.00000
7.20000,3.00000,5.80000,1.60000,0.00000,0.19400,0.80600
7.40000,2.80000,6.10000,1.90000,0.00000,0.00000,1.00000
7.90000,3.80000,6.40000,2.00000,0.00000,0.00000,1.00000
6.40000,2.80000,5.60000,2.20000,0.00000,0.00000,1.00000
6.30000,2.80000,5.10000,1.50000,0.00000,0.23600,0.76400
6.10000,2.60000,5.60000,1.40000,0.00000,0.20800,0.79200
7.70000,3.00000,6.10000,2.30000,0.00000,0.00000,1.00000
6.30000,3.40000,5.60000,2.40000,0.00000,0.00000,1.00000
6.40000,3.10000,5.50000,1.80000,0.00000,0.00000,1.00000
6.00000,3.00000,4.80000,1.80000,0.00000,0.17600,0.82400
6.90000,3.10000,5.40000,2.10000,0.00000,0.00000,1.00000
6.70000,3.10000,5.60000,2.40000,0.00000,0.00000,1.00000
6.90000,3.10000,5.10000,2.30000,0.00000,0.01800,0.98200
5.80000,2.70000,5.10000,1.90000,0.00000,0.01200,0.98800
6.80000,3.20000,5.90000,2.30000,0.00000,0.00000,1.00000
6.70000,3.30000,5.70000,2.50000,0.00000,0.00000,1.00000
6.70000,3.00000,5.20000,2.30000,0.00000,0.00000,1.00000
6.30000,2.50000,5.00000,1.90000,0.00000,0.00800,0.99200
6.50000,3.00000,5.20000,2.00000,0.00000,0.00000,1.00000
6.20000,3.40000,5.40000,2.30000,0.00000,0.00800,0.99200
5.90000,3.00000,5.10000,1.80000,0.00000,0.04600,0.95400
