A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,L1,L2,L3,L4,L5,L6
-0.23077,-0.16364,-0.14943,-0.28926,0.26154,0.21818,0.17895,-0.15625,0.37500,0.37864,0.09474,-0.15625,-0.01538,-0.05455,0.05263,-0.16800,0.25000,0.32039,0.05263,-0.12500,0.26154,0.24272,0.05263,-0.18750,0.38462,0.38462,0.20000,-0.13600,0.38462,0.39806,0.13684,-0.15625,0.23077,0.32039,0.05263,-0.28125,2,2,2,2,2,1
0.26154,0.21818,0.12644,-0.28926,0.13846,0.21818,-0.07368,-0.32812,0.00000,0.04854,-0.32632,-0.39062,0.13846,0.01818,-0.13684,-0.28000,-0.03125,0.00971,-0.22105,-0.35938,-0.01538,0.00971,-0.38947,-0.40625,0.10769,0.07692,-0.22222,-0.32800,-0.01538,-0.06796,-0.26316,-0.40625,-0.01538,0.00971,-0.43158,-0.40625,2,2,2,2,2,1
0.01538,-0.01818,-0.33333,-0.42149,-0.10769,-0.16364,-0.41053,-0.43750,-0.25000,-0.18447,-0.41053,-0.43750,-0.01538,-0.05455,-0.38947,-0.39200,-0.03125,0.00971,-0.30526,-0.40625,-0.01538,0.00971,-0.38947,-0.46875,-0.01538,0.00000,-0.40000,-0.39200,-0.01538,-0.06796,-0.34737,-0.40625,-0.13846,-0.12621,-0.34737,-0.40625,2,2,2,2,2,1
-0.10769,-0.16364,-0.42529,-0.47107,-0.23077,-0.23636,-0.41053,-0.43750,-0.12500,-0.02913,-0.24211,-0.43750,-0.01538,-0.05455,-0.30526,-0.39200,-0.03125,0.00971,-0.38947,-0.46875,-0.10769,-0.06796,-0.38947,-0.40625,-0.01538,-0.07692,-0.31111,-0.39200,-0.13846,-0.12621,-0.34737,-0.40625,-0.13846,-0.28155,-0.34737,-0.40625,2,2,2,2,2,1
-0.10769,-0.09091,-0.24138,-0.47107,-0.23077,-0.29091,-0.24211,-0.39062,-0.46875,-0.45631,-0.41053,-0.32812,-0.10769,-0.12727,-0.38947,-0.39200,-0.37500,-0.20388,-0.38947,-0.40625,-0.56923,-0.47573,-0.47368,-0.35938,-0.13846,-0.28846,-0.31111,-0.39200,-0.38462,-0.33981,-0.43158,-0.34375,-0.50769,-0.47573,-0.26316,-0.40625,2,2,2,2,1,2
-0.23077,-0.29091,-0.24138,-0.42149,-0.44615,-0.49091,-0.41053,-0.32812,-0.59375,-0.57282,-0.55789,-0.43750,-0.35385,-0.25455,-0.38947,-0.39200,-0.59375,-0.47573,-0.47368,-0.35938,-0.56923,-0.47573,-0.55789,-0.46875,-0.38462,-0.34615,-0.40000,-0.32800,-0.50769,-0.47573,-0.26316,-0.40625,-0.50769,-0.53398,-0.49474,-0.40625,2,2,2,2,1,2
-0.44615,-0.60000,-0.51724,-0.47107,-0.56923,-0.60000,-0.49474,-0.39062,-0.59375,-0.51456,-0.49474,-0.39062,-0.47692,-0.50909,-0.55789,-0.45600,-0.50000,-0.53398,-0.64211,-0.46875,-0.56923,-0.53398,-0.64211,-0.40625,-0.50769,-0.59615,-0.55556,-0.47200,-0.63077,-0.59223,-0.57895,-0.40625,-0.63077,-0.59223,-0.57895,-0.40625,2,2,2,2,1,2
0.90769,0.80000,0.83908,0.15702,0.63077,0.54545,0.43158,-0.12500,0.37500,0.47573,0.13684,-0.18750,0.93846,0.80000,0.76842,0.20000,0.50000,0.82524,0.64211,0.10938,0.38462,0.55340,0.32632,-0.09375,0.56923,0.65385,0.48889,0.00800,0.56923,0.66990,0.51579,0.04688,0.72308,0.96117,0.62105,0.15625,2,2,1,2,2,2
0.63077,0.54545,0.49425,-0.14050,0.38462,0.38182,0.13684,-0.18750,0.37500,0.39806,0.13684,-0.23438,0.50769,0.70909,0.64211,0.13600,0.37500,0.55340,0.32632,-0.09375,0.38462,0.39806,0.13684,-0.21875,0.56923,0.65385,0.60000,0.07200,0.72308,0.96117,0.62105,0.15625,0.72308,0.86408,0.62105,0.10938,2,2,1,2,2,2
0.38462,0.38182,0.17241,-0.20661,0.38462,0.30909,0.13684,-0.23438,0.37500,0.39806,0.13684,-0.18750,0.38462,0.45455,0.32632,-0.07200,0.37500,0.39806,0.13684,-0.21875,0.38462,0.39806,0.13684,-0.21875,0.72308,0.94231,0.71111,0.18400,0.72308,0.86408,0.62105,0.10938,0.32308,0.41748,0.22105,-0.12500,2,2,1,2,2,2
0.38462,0.30909,0.17241,-0.25620,0.38462,0.30909,0.13684,-0.18750,0.12500,0.39806,0.13684,-0.18750,0.38462,0.30909,0.13684,-0.20000,0.37500,0.39806,0.13684,-0.21875,0.38462,0.47573,0.13684,-0.21875,0.72308,0.84615,0.71111,0.13600,0.32308,0.41748,0.22105,-0.12500,0.32308,0.41748,0.22105,-0.18750,2,2,1,2,2,2
0.38462,0.30909,0.17241,-0.20661,0.13846,0.30909,0.13684,-0.18750,0.12500,0.39806,0.22105,-0.12500,0.38462,0.30909,0.13684,-0.20000,0.37500,0.47573,0.13684,-0.21875,0.23077,0.55340,0.24211,-0.09375,0.32308,0.40385,0.28889,-0.10400,0.32308,0.41748,0.22105,-0.18750,0.32308,0.41748,0.13684,-0.23438,2,2,1,2,2,2
0.13846,0.30909,0.26437,-0.14050,0.13846,0.38182,0.43158,-0.07812,0.25000,0.55340,0.43158,-0.07812,0.23077,0.45455,0.24211,-0.07200,0.21875,0.55340,0.24211,-0.09375,0.23077,0.55340,0.32632,-0.09375,0.32308,0.40385,0.20000,-0.21600,0.20000,0.41748,0.13684,-0.18750,0.32308,0.49515,0.13684,-0.12500,2,2,1,2,2,2
0.13846,0.38182,0.49425,-0.09091,0.26154,0.45455,0.43158,-0.07812,0.25000,0.65049,0.43158,-0.07812,0.23077,0.45455,0.24211,-0.07200,0.21875,0.55340,0.32632,-0.09375,0.23077,0.47573,0.13684,-0.15625,0.20000,0.40385,0.20000,-0.16800,0.32308,0.49515,0.13684,-0.12500,0.32308,0.49515,0.22105,-0.12500,2,2,1,2,2,2
0.26154,0.45455,0.49425,-0.09091,0.26154,0.54545,0.43158,-0.07812,0.25000,0.55340,0.32632,-0.12500,0.23077,0.45455,0.32632,-0.07200,0.21875,0.47573,0.13684,-0.15625,0.23077,0.47573,0.13684,-0.21875,0.32308,0.48077,0.20000,-0.10400,0.32308,0.49515,0.22105,-0.12500,0.32308,0.41748,0.22105,-0.12500,2,2,1,2,2,2
0.26154,0.54545,0.49425,-0.09091,0.26154,0.45455,0.32632,-0.12500,0.25000,0.32039,0.05263,-0.23438,0.23077,0.38182,0.13684,-0.13600,0.21875,0.47573,0.13684,-0.21875,0.23077,0.32039,0.05263,-0.21875,0.32308,0.48077,0.28889,-0.10400,0.32308,0.41748,0.22105,-0.12500,0.20000,0.33981,-0.03158,-0.23438,2,2,1,2,2,2
0.26154,0.16364,0.08046,-0.25620,0.26154,0.16364,0.05263,-0.29688,0.25000,0.32039,0.13684,-0.29688,0.23077,0.23636,0.05263,-0.26400,0.09375,0.32039,0.05263,-0.21875,0.10769,0.24272,-0.03158,-0.28125,0.07692,0.23077,-0.06667,-0.34400,0.20000,0.24272,-0.03158,-0.29688,0.07692,0.16505,-0.11579,-0.35938,2,2,2,1,2,2
0.13846,0.16364,0.17241,-0.32231,0.13846,0.23636,0.05263,-0.23438,0.12500,0.24272,0.05263,-0.29688,0.10769,0.16364,-0.03158,-0.32800,0.21875,0.16505,-0.09474,-0.34375,0.23077,0.16505,-0.09474,-0.40625,0.07692,0.15385,-0.15556,-0.34400,0.20000,0.16505,-0.28421,-0.35938,0.07692,0.16505,-0.20000,-0.42188,3,3,3,1,3,2
0.13846,0.23636,0.08046,-0.25620,0.13846,0.16364,0.05263,-0.29688,0.12500,0.16505,0.05263,-0.29688,0.23077,0.09091,-0.09474,-0.32800,0.21875,0.16505,-0.09474,-0.40625,0.10769,0.16505,-0.03158,-0.34375,0.20000,0.15385,-0.24444,-0.34400,0.07692,0.16505,-0.20000,-0.42188,0.07692,0.16505,-0.11579,-0.35938,2,2,2,1,2,2
0.13846,0.16364,0.08046,-0.32231,0.13846,0.09091,0.05263,-0.29688,0.12500,0.16505,-0.13684,-0.29688,0.23077,0.09091,-0.09474,-0.39200,0.09375,0.16505,-0.03158,-0.34375,0.10769,0.24272,-0.03158,-0.34375,0.07692,0.15385,-0.15556,-0.40800,0.07692,0.16505,-0.11579,-0.35938,0.20000,0.16505,-0.20000,-0.42188,2,2,2,1,2,2
-0.10769,0.01818,-0.21839,-0.43802,-0.10769,0.01818,-0.22105,-0.40625,-0.12500,0.00971,-0.22105,-0.46875,-0.01538,-0.05455,-0.26316,-0.47200,-0.15625,-0.06796,-0.26316,-0.48438,-0.01538,-0.06796,-0.26316,-0.48438,-0.04615,0.07692,-0.15556,-0.34400,-0.04615,0.08738,-0.28421,-0.42188,-0.16923,0.00971,-0.28421,-0.46875,3,3,3,1,3,2
-0.10769,0.01818,-0.21839,-0.43802,-0.10769,-0.05455,-0.22105,-0.46875,-0.12500,0.00971,-0.22105,-0.40625,-0.13846,-0.12727,-0.26316,-0.47200,-0.03125,-0.06796,-0.26316,-0.48438,-0.13846,0.00971,-0.34737,-0.48438,-0.04615,0.07692,-0.24444,-0.40800,-0.16923,0.00971,-0.28421,-0.46875,-0.16923,0.00971,-0.20000,-0.42188,2,2,2,1,2,1
-0.01538,0.01818,-0.21839,-0.43802,-0.10769,0.01818,-0.22105,-0.40625,-0.12500,0.08738,-0.22105,-0.40625,-0.01538,-0.05455,-0.26316,-0.47200,-0.03125,-0.06796,-0.34737,-0.40625,-0.01538,-0.06796,-0.34737,-0.48438,-0.04615,0.00000,-0.15556,-0.40800,-0.16923,-0.14563,-0.20000,-0.35938,-0.38462,-0.35922,-0.03158,-0.18750,3,3,3,1,3,2
-0.10769,0.01818,-0.21839,-0.43802,-0.10769,0.01818,-0.22105,-0.40625,-0.03125,0.08738,-0.22105,-0.35938,-0.01538,-0.12727,-0.34737,-0.39200,-0.03125,-0.06796,-0.34737,-0.48438,-0.13846,-0.06796,-0.26316,-0.34375,-0.16923,-0.15385,-0.15556,-0.34400,-0.38462,-0.35922,-0.03158,-0.18750,-0.47692,-0.57282,0.13684,0.10938,2,2,2,1,2,2
0.13846,0.16364,-0.12644,-0.32231,0.13846,0.23636,0.13684,-0.18750,0.37500,0.47573,0.13684,-0.12500,-0.13846,-0.12727,-0.03158,-0.20000,0.09375,0.08738,-0.03158,-0.15625,0.23077,0.39806,0.13684,-0.15625,-0.69231,-0.75000,0.37778,0.36000,-0.78462,-0.86408,0.51579,0.50000,-0.69231,-0.74757,0.41053,0.32812,2,2,2,1,2,2
0.13846,0.23636,0.17241,-0.20661,0.38462,0.38182,0.13684,-0.12500,0.37500,0.47573,0.22105,-0.12500,0.10769,0.01818,-0.03158,-0.13600,0.21875,0.39806,0.13684,-0.15625,0.38462,0.39806,0.32632,-0.09375,-0.78462,-0.86538,0.60000,0.53600,-0.69231,-0.74757,0.41053,0.32812,-0.26154,-0.22330,0.13684,-0.12500,2,2,1,2,2,2
0.38462,0.38182,0.17241,-0.14050,0.38462,0.38182,0.22105,-0.12500,0.50000,0.55340,0.43158,-0.07812,0.23077,0.30909,0.13684,-0.13600,0.37500,0.39806,0.32632,-0.09375,0.38462,0.39806,0.24211,-0.09375,-0.69231,-0.75000,0.48889,0.36000,-0.26154,-0.22330,0.13684,-0.12500,0.32308,0.33981,0.13684,-0.23438,2,2,1,2,2,2
0.50769,0.45455,0.49425,-0.02479,0.50769,0.45455,0.43158,-0.01562,0.50000,0.65049,0.32632,-0.07812,0.38462,0.38182,0.24211,-0.13600,0.50000,0.55340,0.32632,-0.09375,0.50769,0.55340,0.13684,-0.09375,0.44615,0.40385,0.28889,-0.10400,0.56923,0.49515,0.30526,-0.12500,0.44615,0.49515,0.22105,-0.12500,2,2,1,2,2,2
