A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,L1,L2,L3
13.86000,1.51000,2.67000,25.00000,86,2.95000,2.86000,0.21000,1.87000,3.38000,1.36000,3.16000,410,2,1,2
13.49000,1.66000,2.24000,24.00000,87,1.88000,1.84000,0.27000,1.03000,3.74000,0.98000,2.78000,472,2,1,2
12.99000,1.67000,2.60000,30.00000,139,3.30000,2.89000,0.21000,1.96000,3.35000,1.31000,3.50000,985,2,1,3
11.96000,1.09000,2.30000,21.00000,101,3.38000,2.14000,0.13000,1.65000,3.21000,0.99000,3.13000,886,2,1,2
11.66000,1.88000,1.92000,16.00000,97,1.61000,1.57000,0.34000,1.15000,3.80000,1.23000,2.14000,428,2,1,2
13.03000,0.90000,1.71000,16.00000,86,1.95000,2.03000,0.24000,1.46000,4.60000,1.19000,2.48000,392,2,1,2
11.84000,2.89000,2.23000,18.00000,112,1.72000,1.32000,0.43000,0.95000,2.65000,0.96000,2.52000,500,2,1,2
12.33000,0.99000,1.95000,14.80000,136,1.90000,1.85000,0.35000,2.76000,3.40000,1.06000,2.31000,750,2,1,2
12.70000,3.87000,2.40000,23.00000,101,2.83000,2.55000,0.43000,1.95000,2.57000,1.19000,3.13000,463,2,1,2
12.00000,0.92000,2.00000,19.00000,86,2.42000,2.26000,0.30000,1.43000,2.50000,1.38000,3.12000,278,2,1,2
12.72000,1.81000,2.20000,18.80000,86,2.20000,2.53000,0.26000,1.77000,3.90000,1.16000,3.14000,714,2,1,2
12.08000,1.13000,2.51000,24.00000,78,2.00000,1.58000,0.40000,1.40000,2.20000,1.31000,2.72000,630,2,1,2
13.05000,3.86000,2.32000,22.50000,85,1.65000,1.59000,0.61000,1.62000,4.80000,0.84000,2.01000,515,3,1,2
11.84000,0.89000,2.58000,18.00000,94,2.20000,2.21000,0.22000,2.35000,3.05000,0.79000,3.08000,520,2,1,2
12.67000,0.98000,2.24000,18.00000,99,2.20000,1.94000,0.30000,1.46000,2.62000,1.23000,3.16000,450,2,1,2
12.16000,1.61000,2.31000,22.80000,90,1.78000,1.69000,0.43000,1.56000,2.45000,1.33000,2.26000,495,2,1,2
11.65000,1.67000,2.62000,26.00000,88,1.92000,1.61000,0.40000,1.34000,2.60000,1.36000,3.21000,562,2,1,2
11.64000,2.06000,2.46000,21.60000,84,1.95000,1.69000,0.48000,1.35000,2.80000,1.00000,2.75000,680,2,1,2
12.08000,1.33000,2.30000,23.60000,70,2.20000,1.59000,0.42000,1.38000,1.74000,1.07000,3.21000,625,2,1,2
12.08000,1.83000,2.32000,18.50000,81,1.60000,1.50000,0.52000,1.64000,2.40000,1.08000,2.27000,480,2,1,2
12.00000,1.51000,2.42000,22.00000,86,1.45000,1.25000,0.50000,1.63000,3.60000,1.05000,2.65000,450,2,1,2
12.69000,1.53000,2.26000,20.70000,80,1.38000,1.46000,0.58000,1.62000,3.05000,0.96000,2.06000,495,2,1,2
12.29000,2.83000,2.22000,18.00000,88,2.45000,2.25000,0.25000,1.99000,2.15000,1.15000,3.30000,290,2,1,2
11.62000,1.99000,2.28000,18.00000,98,3.02000,2.26000,0.17000,1.35000,3.25000,1.16000,2.96000,345,2,1,2
12.47000,1.52000,2.20000,19.00000,162,2.50000,2.27000,0.32000,3.28000,2.60000,1.16000,2.63000,937,2,1,2
11.81000,2.12000,2.74000,21.50000,134,1.60000,0.99000,0.14000,1.56000,2.50000,0.95000,2.26000,625,2,1,2
12.29000,1.41000,1.98000,16.00000,85,2.55000,2.50000,0.29000,1.77000,2.90000,1.23000,2.74000,428,2,1,2
12.37000,1.07000,2.10000,18.50000,88,3.52000,3.75000,0.24000,1.95000,4.50000,1.04000,2.77000,660,2,1,2
12.29000,3.17000,2.21000,18.00000,88,2.85000,2.99000,0.45000,2.81000,2.30000,1.42000,2.83000,406,2,1,2
12.08000,2.08000,1.70000,17.50000,97,2.23000,2.17000,0.26000,1.40000,3.30000,1.27000,2.96000,710,2,1,2
12.60000,1.34000,1.90000,18.50000,88,1.45000,1.36000,0.29000,1.35000,2.45000,1.04000,2.77000,562,2,1,2
12.34000,2.45000,2.46000,21.00000,98,2.56000,2.11000,0.34000,1.31000,2.80000,0.80000,3.38000,438,2,1,2
11.82000,1.72000,1.88000,19.50000,86,2.50000,1.64000,0.37000,1.42000,2.06000,0.94000,2.44000,415,2,1,2
12.51000,1.73000,1.98000,20.50000,85,2.20000,1.92000,0.32000,1.48000,2.94000,1.04000,3.57000,672,2,1,2
12.42000,2.55000,2.27000,22.00000,90,1.68000,1.84000,0.66000,1.42000,2.70000,0.86000,3.30000,315,2,1,2
12.25000,1.73000,2.12000,19.00000,80,1.65000,2.03000,0.37000,1.63000,3.40000,1.00000,3.17000,510,2,1,2
12.72000,1.75000,2.28000,22.50000,84,1.38000,1.76000,0.48000,1.63000,3.30000,0.88000,2.42000,488,2,1,2
12.22000,1.29000,1.94000,19.00000,92,2.36000,2.04000,0.39000,2.08000,2.70000,0.86000,3.02000,312,2,1,2
11.61000,1.35000,2.70000,20.00000,94,2.74000,2.92000,0.29000,2.49000,2.65000,0.96000,3.26000,680,2,1,2
11.46000,3.74000,1.82000,19.50000,107,3.18000,2.58000,0.24000,3.58000,2.90000,0.75000,2.81000,562,2,1,2
12.52000,2.43000,2.17000,21.00000,88,2.55000,2.27000,0.26000,1.22000,2.00000,0.90000,2.78000,325,2,1,2
11.76000,2.68000,2.92000,20.00000,103,1.75000,2.03000,0.60000,1.05000,3.80000,1.23000,2.50000,607,2,1,2
11.41000,0.74000,2.50000,21.00000,88,2.48000,2.01000,0.42000,1.44000,3.08000,1.10000,2.31000,434,2,1,2
12.08000,1.39000,2.50000,22.50000,84,2.56000,2.29000,0.43000,1.04000,2.90000,0.93000,3.19000,385,2,1,2
11.03000,1.51000,2.20000,21.50000,85,2.46000,2.17000,0.52000,2.01000,1.90000,1.71000,2.87000,407,2,1,2
11.82000,1.47000,1.99000,20.80000,86,1.98000,1.60000,0.30000,1.53000,1.95000,0.95000,3.33000,495,2,1,2
12.42000,1.61000,2.19000,22.50000,108,2.00000,2.09000,0.34000,1.61000,2.06000,1.06000,2.96000,345,2,1,2
12.77000,3.43000,1.98000,16.00000,80,1.63000,1.25000,0.43000,0.83000,3.40000,0.70000,2.12000,372,2,1,2
12.00000,3.43000,2.00000,19.00000,87,2.00000,1.64000,0.37000,1.87000,1.28000,0.93000,3.05000,564,2,1,2
11.45000,2.40000,2.42000,20.00000,96,2.90000,2.79000,0.32000,1.83000,3.25000,0.80000,3.39000,625,2,1,2
11.56000,2.05000,3.23000,28.50000,119,3.18000,5.08000,0.47000,1.87000,6.00000,0.93000,3.69000,465,2,1,2
12.42000,4.43000,2.73000,26.50000,102,2.20000,2.13000,0.43000,1.71000,2.08000,0.92000,3.12000,365,2,1,2
13.05000,5.80000,2.13000,21.50000,86,2.62000,2.65000,0.30000,2.01000,2.60000,0.73000,3.10000,380,2,1,2
11.87000,4.31000,2.39000,21.00000,82,2.86000,3.03000,0.21000,2.91000,2.80000,0.75000,3.64000,380,2,1,2
12.07000,2.16000,2.17000,21.00000,85,2.60000,2.65000,0.37000,1.35000,2.76000,0.86000,3.28000,378,2,1,2
12.43000,1.53000,2.29000,21.50000,86,2.74000,3.15000,0.39000,1.77000,3.94000,0.69000,2.84000,352,2,1,2
11.79000,2.13000,2.78000,28.50000,92,2.13000,2.24000,0.58000,1.76000,3.00000,0.97000,2.44000,466,2,1,2
12.37000,1.63000,2.30000,24.50000,88,2.22000,2.45000,0.40000,1.90000,2.12000,0.89000,2.78000,342,2,1,2
12.04000,4.30000,2.38000,22.00000,80,2.10000,1.75000,0.42000,1.35000,2.60000,0.79000,2.57000,580,2,1,2
12.86000,1.35000,2.32000,18.00000,122,1.51000,1.25000,0.21000,0.94000,4.10000,0.76000,1.29000,630,2,2,1
12.88000,2.99000,2.40000,20.00000,104,1.30000,1.22000,0.24000,0.83000,5.40000,0.74000,1.42000,530,2,2,1
12.81000,2.31000,2.40000,24.00000,98,1.15000,1.09000,0.27000,0.83000,5.70000,0.66000,1.36000,560,2,2,1
12.70000,3.55000,2.36000,21.50000,106,1.70000,1.20000,0.17000,0.84000,5.00000,0.78000,1.29000,600,2,2,1
12.51000,1.24000,2.25000,17.50000,85,2.00000,0.58000,0.60000,1.25000,5.45000,0.75000,1.51000,650,2,2,1
12.60000,2.46000,2.20000,18.50000,94,1.62000,0.66000,0.63000,0.94000,7.10000,0.73000,1.58000,695,2,2,1
12.25000,4.72000,2.54000,21.00000,89,1.38000,0.47000,0.53000,0.80000,3.85000,0.75000,1.27000,720,2,2,1
12.53000,5.51000,2.64000,25.00000,96,1.79000,0.60000,0.63000,1.10000,5.00000,0.82000,1.69000,515,2,2,1
13.49000,3.59000,2.19000,19.50000,88,1.62000,0.48000,0.58000,0.88000,5.70000,0.81000,1.82000,580,2,2,1
12.84000,2.96000,2.61000,24.00000,101,2.32000,0.60000,0.53000,0.81000,4.92000,0.89000,2.15000,590,2,2,1
12.93000,2.81000,2.70000,21.00000,96,1.54000,0.50000,0.53000,0.75000,4.60000,0.77000,2.31000,600,2,2,1
13.36000,2.56000,2.35000,20.00000,89,1.40000,0.50000,0.37000,0.64000,5.60000,0.70000,2.47000,780,2,2,1
13.52000,3.17000,2.72000,23.50000,97,1.55000,0.52000,0.50000,0.55000,4.35000,0.89000,2.06000,520,2,2,1
13.62000,4.95000,2.35000,20.00000,92,2.00000,0.80000,0.47000,1.02000,4.40000,0.91000,2.05000,550,2,2,1
12.25000,3.88000,2.20000,18.50000,112,1.38000,0.78000,0.29000,1.14000,8.21000,0.65000,2.00000,855,2,2,1
13.16000,3.57000,2.15000,21.00000,102,1.50000,0.55000,0.43000,1.30000,4.00000,0.60000,1.68000,830,2,2,1
13.88000,5.04000,2.23000,20.00000,80,0.98000,0.34000,0.40000,0.68000,4.90000,0.58000,1.33000,415,2,2,1
12.87000,4.61000,2.48000,21.50000,86,1.70000,0.65000,0.47000,0.86000,7.65000,0.54000,1.86000,625,2,2,1
13.32000,3.24000,2.38000,21.50000,92,1.93000,0.76000,0.45000,1.25000,8.42000,0.55000,1.62000,650,2,2,1
13.08000,3.90000,2.36000,21.50000,113,1.41000,1.39000,0.34000,1.14000,9.40000,0.57000,1.33000,550,2,2,1
13.50000,3.12000,2.62000,24.00000,123,1.40000,1.57000,0.22000,1.25000,8.60000,0.59000,1.30000,500,2,2,1
12.79000,2.67000,2.48000,22.00000,112,1.48000,1.36000,0.24000,1.26000,10.80000,0.48000,1.47000,480,2,2,1
13.11000,1.90000,2.75000,25.50000,116,2.20000,1.28000,0.26000,1.56000,7.10000,0.61000,1.33000,425,2,2,1
13.23000,3.30000,2.28000,18.50000,98,1.80000,0.83000,0.61000,1.87000,10.52000,0.56000,1.51000,675,2,2,1
12.58000,1.29000,2.10000,20.00000,103,1.48000,0.58000,0.53000,1.40000,7.60000,0.58000,1.55000,640,2,2,1
13.17000,5.19000,2.32000,22.00000,93,1.74000,0.63000,0.61000,1.55000,7.90000,0.60000,1.48000,725,2,2,1
13.84000,4.12000,2.38000,19.50000,89,1.80000,0.83000,0.48000,1.56000,9.01000,0.57000,1.64000,480,2,2,1
12.45000,3.03000,2.64000,27.00000,97,1.90000,0.58000,0.63000,1.14000,7.50000,0.67000,1.73000,880,2,2,1
14.34000,1.68000,2.70000,25.00000,98,2.80000,1.31000,0.53000,2.70000,13.00000,0.57000,1.96000,660,2,2,1
13.48000,1.67000,2.64000,22.50000,89,2.60000,1.10000,0.52000,2.29000,11.75000,0.57000,1.78000,620,2,2,1
12.36000,3.83000,2.38000,21.00000,88,2.30000,0.92000,0.50000,1.04000,7.65000,0.56000,1.58000,520,2,2,1
13.69000,3.26000,2.54000,20.00000,107,1.83000,0.56000,0.50000,0.80000,5.88000,0.96000,1.82000,680,2,2,1
12.85000,3.27000,2.58000,22.00000,106,1.65000,0.60000,0.60000,0.96000,5.58000,0.87000,2.11000,570,2,2,1
12.96000,3.45000,2.35000,18.50000,106,1.39000,0.70000,0.40000,0.94000,5.28000,0.68000,1.75000,675,2,2,1
13.78000,2.76000,2.30000,22.00000,90,1.35000,0.68000,0.41000,1.03000,9.58000,0.70000,1.68000,615,2,2,1
13.73000,4.36000,2.26000,22.50000,88,1.28000,0.47000,0.52000,1.15000,6.62000,0.78000,1.75000,520,2,2,1
13.45000,3.70000,2.60000,23.00000,111,1.70000,0.92000,0.43000,1.46000,10.68000,0.85000,1.56000,695,2,2,1
12.82000,3.37000,2.30000,19.50000,88,1.48000,0.66000,0.40000,0.97000,10.26000,0.72000,1.75000,685,2,2,1
13.58000,2.58000,2.69000,24.50000,105,1.55000,0.84000,0.39000,1.54000,8.66000,0.74000,1.80000,750,2,2,1
13.40000,4.60000,2.86000,25.00000,112,1.98000,0.96000,0.27000,1.11000,8.50000,0.67000,1.92000,630,2,2,1
12.20000,3.03000,2.32000,19.00000,96,1.25000,0.49000,0.40000,0.73000,5.50000,0.66000,1.83000,510,2,2,1
12.77000,2.39000,2.28000,19.50000,86,1.39000,0.51000,0.48000,0.64000,9.90000,0.57000,1.63000,470,2,2,1
14.16000,2.51000,2.48000,20.00000,91,1.68000,0.70000,0.44000,1.24000,9.70000,0.62000,1.71000,660,2,2,1
13.71000,5.65000,2.45000,20.50000,95,1.68000,0.61000,0.52000,1.06000,7.70000,0.64000,1.74000,740,2,2,1
13.40000,3.91000,2.48000,23.00000,102,1.80000,0.75000,0.43000,1.41000,7.30000,0.70000,1.56000,750,2,2,1
13.27000,4.28000,2.26000,20.00000,120,1.59000,0.69000,0.43000,1.35000,10.20000,0.59000,1.56000,835,2,2,1
13.17000,2.59000,2.37000,20.00000,120,1.65000,0.68000,0.53000,1.46000,9.30000,0.60000,1.62000,840,2,2,1
14.13000,4.10000,2.74000,24.50000,96,2.05000,0.76000,0.56000,1.35000,9.20000,0.61000,1.60000,560,2,2,1
